pant	síveð
pengastreymsætlan	ætlan, ið vísir munin á inngjaldingum og útgjaldingum; hon kann vera gjørd út frá innkomuætlanini, sum vísir munin á inntøkum og kostnaði, men av tí at tíðarmunur er á inntøkum og inngjaldingum og á kostnaði og útgjaldingum, verður rakstrarúrslitið umroknað til pengaúrslit við avskrivingum, broytingum í goymslum, skuldarum og ognarum og við íløgum og fíggjarligum postum; pengastreymsætlanin kann eisini verða sett upp sum gjaldingar
pengastreymur	munurin milluminngjaldingar ogútgjaldingar í einum tíðarskeiði
pengastreymur av rakstri	munurin milluminngjaldingar ogútgjaldingar, ið koma av rakstrinum hjá einum virki: rakstrarúrslit + avskrivingar +/- broytingar í goymslum, skuldarum og ognarum
pengastreymur av rakstri og rentum	pengastreymur av rakstri +/- gjaldingar av rentum
pensiónsskylda	postur, ið kann koma fyri undir avsetingum í fíggjarstøðuni; talan er tá umavsetingímóti skyldum at gjalda pensiónir til starvsfólk
persónlig ábyrgd	tað, at eigarar í einum virki hefta við øllum, sum teir eiga fyri skuld hjá virkinum; síavmarkað ábyrgd
persónlig søla	persónligt samskifti millum keypara og seljara, áðrenn avtala um handil verður gjørd
persónligt innkomubýti	býti av innkomuni í samfelagnum millum persónar; sigini-talogLorenz-kurva
PEST	ein háttur at greina umheimin hjá virkinum sum heild, har ið mett verður um broytingar í politiskum, búskaparligum, sosialum og teknologiskum viðurskiftum í samfelagnum
P/E virði	sí P/E lutfall
planbúskapur	síætlanarbúskapur
PLC	product life cycle; ástøði um, at flestu vørur hava eina lívsgongd í fýra stigum: byrjan, vøkstur, búning og niðurgongd; síBoston-myndilin
politiskar avgerðargongdir	tá ið fleiri partar taka avgerðir, og hesir partar ikki eru samdir um málini, verða avgerðirnar neyðsemjur, og avgerðargongdirnar av hesum slagi verða nevndar politiskar, tí hesar treytir líkjast teimum, sum ofta eru at finna í politikki
polysentrisk mannafatan	tað at góðtaka aðrar mentanir í heiminum sum líka týðandi og ta, ein sjálvur er partur av; síetnosentrisk mannafatan
polysentriskprísáseting	tað, at eitt virki selur vøru fyri ymiskar prísir á ymiskum marknaðum, tí at munur er á kostnaðarlagi og lønarlagi í ymiskum londum; er prísmunurin ov stórur, er vandi fyri, at vørurnar vera seldar aftur frá einum lágprísmarknaði til ein háprísmarknað; síetnosentrisk prísástingogprísdifferentiering
portfoliogreining	partur av strategiskari greining, har millum annað verður mett um úrvalið av vørum og tænastum hjá einum virki og um kundarnar hjá virkinum
positionering	hvussu ein fyritøka vil hava, at kundarnir síggja vørur hennara
positioning	sípositionering
PR	public relations; virksemi, sum verður sett í verk at fáagoodwillí umheiminum
primerar keldur	upplýsingar, ið eru útvegaðar at lýsa eitt ávíst evni; sísekunderar keldur
primert virksemi	síhøvuðsvirksemi
primerur rakstur	síúrslit av primerum rakstriogEBIT
primer vinna	sífyrstalagsvinna
prísáseting	avgerð um, hvussu nógv vøra ella tænasta skal verða seld fyri; søluprísir verða ásettir eftir kostnaðinum fyri vøruna ella eftir marknaðartreytum og øðrum viðurskiftum ínærumhvørviellafjarumhvørvi; sípenetration priceogskimming price
prísdifferentiering	tað at selja somu vøru ella tænastu fyri ymiskar prísir til ymiskar marknaðir ella kundar; treytin fyri at kunna gera hetta er, at marknaðirnir/kundabólkarnir eru skildir sundur, soleiðis at tað ikki ber til at selja vøruna víðari frá øðrum marknaðinum til hin við vinningi; sípolysentrisk prísáseting
príselastisitetur	síprísviðkvæmi
príselastiskur eftirspurningur	síprísviðkvæmur eftirspurningur
prísfrávik	munur ímillum prís í fíggjarætlan og prís í roknskapi; prísfrávik kunnu vera í søluprísum, kostprísum og tímalønum
prískapping	tað, at útbjóðarar á einum marknaði nýta prísin sumávirkingarparametur
prískríggj	tað, at ein ella fleiri útbjóðarar brúka príslækkingar at forkoma kappingarneytum
prískrossviðkvæmi	lutfalslig broyting í eftirspurningi eftir einari vøru/ lutfalslig broyting í prísi fyri aðra vøru; fyri tvær vørur, ið erukomplementerar, er prískrossviðkvæmið negativt; fyri tvær vørur, ið erusubstituerandi, er prískrossviðkvæmið positivt
prísóelastiskur eftirspurningur	síprísóviðkvæmur eftirspurningur
prísóviðkvæmur eftirspurningur	tað, at ein lutfalsliga stór prísbroyting hevur lutfalsliga lítla broyting í eftirspurninginum við sær
prísstrategi	yvirskipaðar reglur fyri, hvussu prísir verða ásettir; sí prísáseting,penetration priceogskimming price
prístakari	tað, at ein útbjóðari er noyddur at taka tann prís, sum er á marknaðinum, fyri eina vøru ella tænastu; hetta er til dømis galdandi í fullkomnari kapping; sífullkomin kapping
prístogni	síprísviðkvæmi
prísur	pengavirði fyri eina eind av einari vøru ella tænastu; sísøluprísurogkostprísur
prísviðkvæmi	lutfalslig broyting í eftirspurningi/lutfalslig broyting í prísi; er talið numeriskt størri enn eitt, er eftirspurningurin prísviðkvæmur; er talið numeriskt minni enn eitt, er hann prísóviðkvæmur; síinnkomuviðkvæmi
prísviðkvæmur eftirspurningur	tað, at ein lutfalsliga lítil prísbroyting hevur lutfalsliga stóra broyting í eftirspurninginum við sær
proaktiv avgerð	tað at taka avgerð av sær sjálvum; eisini verður tosað um proaktiva atferð; síreaktiv avgerð
produktivitetur	síframleidni
progressivur skattastigi	tað, atinnkomaverður skattað við hægri skatti pr. vunna krónu, hægri ið innkoman er; sídegressivur skattastigiogproportionalur skattastigi
promotion	eitt av teimum 4 p’unum, sum erureklama,sales promotion,PR,persónlig søla,direct marketingogonline marketing; sí ávirkingarparametur,kunningarparametur,kappingarráðogsøluráð
proportionalur skattastigi	tað, atinnkomahjá skattgjaldara verður skattað við sama prosenti; sídegressivurskattastigi ogprogressivur skattastigi
proportiónslógin	sílutfalslógin
protektionisma	tað, at eitt land verjir vinnur innanlands mótikappinguttaneftir
provisión	ómaksgjald, sum bankar taka fyri at stovna lán og fyri aðrar tænastur; í sambandi viðkassakredittlántaka bankar ofta provisión av hámarkinum; sí eisiniprovisiónsløn
provisiónsløn	løn til seljara eftir, hvussu nógv hann selur fyri
public relation	síPR
pull-strategi	tað, at eitt virki í marknaðarførsluni vendir sær beinleiðis til endaliga brúkaran, sum síðani dregur vøruna ígjøgnum handilsliðini; sípush-strategi
punktgjøld	avgjald, ið verða lagt á ávísar vørur, til dømis bilar, rúsdrekka og tubbakk
push-strategi	tað, at eitt virki í marknaðarførsluni vendir sær til næsta millumlið, sum síðani skal trýsta vøruna ígjøgnum handilsliðini; sípull-strategi
