kalkulatión	síkostnaðarbýti
konjunktursveiggj	sveiggj í virkseminum í samfelagnum millumhákonjunktur(góðar tíðir) oglágkonjunktur(ringar tíðir); í ringum tíðum er oftaarbeiðsloysiog tøk framleiðsluorka, men í góðum tíðum er oftainflatión, tí at framleiðslan klárar ikki at fylgja við eftirspurninginum
konjunkturur	viðurskifti av ymiskum slag, ið ávirka gongdina í búskapinum (til dømis framleiðslu og eftirspurning) upp ella niður; síhákonjunktururoglágkonjunkturur
konsern	sísamtak
konsernbadwill	sísamtaksbadwill
konserngoodwill	sísamtaksgoodwill
konsernroknskapur	sísamtaksroknskapur
konta	bókhaldfyri eina ávísa ogn, skuld, inntøku, kostnaðarslag ella annað, sum viðkomandi virki vil kenna støddina á; síkontuskipan
kontaktparametur	síkunningarparametur
kontanturkostnaður	kostnaður, ið verður goldin í sama ári, sum hann er roknaður við í rakstrarroknskapin
konto	síkonta
kontubygnaður	síkontuskipan
kontuskipan	yvirlit yvir, hvussu konturnar í bókhaldinum eru skipaðar í kontuflokkar við kontunumrum; síkonta
korruptión	tað, at ein myndugleiki ella ein flokkur ger nakað skeivt á ein hátt, sum er ólógligur, ómoralskur ella ikki í samsvar við etiskan standard; korruptión kann vera at geva fólki órættvísan fyrimun fram um onnur, ogmuturkann vera uppií
kostnaðarbýti	kalkulatión; tað at býta kostnaðin í virkinum millum vørurnar fyri at vita, hvussu nógv hvør vøra kostar; sífult kostnaðarbýtiogkostnaðarbýti eftir skiftisháttinum
kostnaðarbýti eftir skiftisháttinum	býti av broytiliga kostnaðinum millum vørurnar fyri at vita, hvussu stórur broytiligi kostnaðurin er fyri hvørja vøru; sífult kostnaðarbýti
kostnaðarfunktiónir	í funktiónsbýttum rakstrarroknskapi verður rakstrarkostnaðurin býttur sundur í funktiónirnar:framleiðsla,sølaogfyrisiting
kostnaðarinflatión	prísvøkstur, sum kemur av, at framleiðslukostnaðurin veksur
kostnaðarlæra	læran um kostnaðarhugtøk og hvussu tey verða brúkt í virkisbúskapi at taka avgerðir
kostnaðarrokning	útrokningar av, hvussu stórur kostnaðurin fyri eina vøru er
kostnaðarroknskapur	útvegan av roknskaparligari vitan, ið leiðslan brúkar at taka búskaparligar avgerðir og at stýra virkinum
kostnaðarsløg	í slagbýttum rakstarroknskapi er rakstrarkostnaðurin býttur sundur í kostnaðarsløgini: vørunýtsla, løn, annarkontantur kostnaðurogavskriving
kostnaðarsundurbýtingar	kostnaður kann verða býttur sundur á ymiskan hátt, alt eftir hvat ætlanin er; til dømis:broytiligur kostnaðurogfastur kostnaður,beinleiðis kostnaðurogóbeinleiðis kostnaður, serkostnaður ogfelagskostnaður; síkostnaðarsløgogkostnaður
kostnaðarætlan	partur avrakstrarætlan
kostnaður	nýtsla av framleiðslufaktorum, gjørd upp í pengum (nýtsludefinitiónin); kostnaðurin av at seta eina avgerð í verk (offurdefinitiónin)
kostnaður goldin frammanundan	ognarpostur í fíggjarstøðuni hjá einum virki; av tí at kostnaðurin er goldin í árinum, men verður ikki nýttur fyrr enn árið eftir, eigur virkið hetta á við árslok
kostnaður, nýtsludefinitiónin	nýtsla av framleiðslufaktorum, gjørd upp í pengum; verður sett upp ímóti inntøkuni av tí, sum verður framleitt
kostnaður, offurdefinitiónin	kostnaðurin av at seta eina avgerð í verk, har mistur vinningur av hesi avgerð er roknaður uppí; verður brúkt at velja ímillum tvær ella fleiri møguligar avgerðir
kostprísfrávik	munurin millum kostprísir í fíggjarætlan og kostprísir í roknskapi
kostprísur	tann upphædd, sum tað kostar at útvega eina vøru, ella sum tað kostar at gera vøruna
kostvirði	virði á einari vørunøgd (til dømis vøra á goymslu), gjørd upp eftir kostprísum; sí FIFO,LIFO,miðalvirði,rullandi miðalvirðiogstakvørumeting
kreditnota	tá ið ein veitari tekur vøru aftur, ella vil veita avsláttur fyri brek við vøruni, hann hevur selt, skrivar hann kundanum eina kreditnotu sum fráboðan um, hvussu nógv kundin hevur fingið góðskrivað
kreditorar	síognarar
kredittfelag	stovnur, ið letur lán ímótiveðí fastari ogn; lánini verða fíggjað við at geva lánsbrøv út; sílánsbræv
kredittfelagslán	veðhaldslánfrákredittfelagi
kredittpolitikkur	sípengapolitikkur
kreditttíð til skuldarar	tann tíð, ið gongur frá tí, at vøran ella tænastan er latin, til kundin skal gjalda
kredittvirði	evni hjá virki at gjalda skuld í framtíðini; pengastovnar og aðrir ognarar meta um kredittvirðið hjá einum virki, har fleiri faktorar hava týdning, til dømisgjaldføriogsolvensur
kreppa	varandilágkonjunktururvið vaksandiarbeiðsloysi,yvirkapasiteti, lítlum eftirspurningi, lítlum íløguhugi og lítlum og ongum vøkstri í framleiðsluni
kritiski vegurin	sambandið millum teir kritisku arbeiðspartarnar í einari verkætlan (teir, ið ikki tola seinkingar) í einarinetverksgreining
kundi	persónur, virki ella stovnur, sum eitt virki selur til
kunningarparametur	ávirkingarparametur, ið er at kunnamálflokkarnar hjá virkinum umgrundparametrarnar; sísøluráð
kurant vøra	vøra, ið kann verða seld við vinningi, tí hon er so mikið eftirspurd; síókurant vøra
kursmissur	virðisminking á virðisbrøvum; kursmissur kemur eisini fyri í sambandi við lántøku frá kredittfelagi, har kursvirðið á láninum er lægri enn tað, sum skal gjaldast aftur; síeffektiv renta
kursur	prísurin fyri eitt gjaldoyra (gjaldoyrakursur) ella virðisbrøv (virðisbrævakursur)
kursvinningur	virðisøking á virðisbrøvum
kvalitativar forsagnir	háttaløg, ið verða brúkt at geraforsøgn, tá ið søgulig tøl um vøruna ikki finnast, tí talan er um eina nýggja vøru, til dømis analogihátturin,delfihátturin,marknaðargreiningogseljarametingar
kvantitativar forsagnir	háttaløg, ið nýta søgulig tøl um vøruna at geraforsøgnum sølugongdina í framtíðini, til dømistíðarseriugreiningarogkausalgreiningar
