fakturering sum inntøkutreyt	veiting sum inntøkutreyt
fíggingarstýring	partur av fíggjarstýring, sum hevur við fígging at gera; avgerðir um fígging av pengabindingum, sum standast av virksemi, keypi, framleiðslu og íløgum; síkapasistetsstýringog virksemisstýring
fíggingarætlan	partsætlan í heildarætlanini; fíggingarætlanin er um, hvussu virkið ætlar at fíggja virksemið og íløgurnar
fígging av rakstri	sírakstaríkast
fíggjarlig gearing	sígearingog gearingslutfall
fíggjarlig greining	roknskapargreining, har fíggjarlig lyklatøl verða nýtt at greina roknskapin hjá virkinum
fíggjarlig støðisogn	virðisbrøv ella kapitalpartar, sum virki eigur í øðrum feløgum; spurningurin, um slík ogn er støðisogn ella ogn í umferð, verður avgjørdur eftir endamálinum, sum virkið hevur við hesi ogn: er endamálið, at virkið ætlar at hava hesar ognir og ikki selja tær innan eitt ár, er talan um støðisogn
fíggjarligur effektivitetur	ein táttur í fíggjarligari greining, har hugt verður eftir, hvussu kapitaltungt virki er, samanborið við virksemið
fíggjarligur roknskapur	innkomuroknskapur, fíggjarstøða, pengastreymur og frágreiðingar, sum virki kunnger minst eina ferð um árið, soleiðis at eksternir áhugabólkar kunnu fáa vitan um virkið og taka avgerðir út frá tí; síkostnaðarroknskapur
fíggjarlóg	fíggjarætlan hjá landinum fyri eitt fíggjarár; fíggjarlógin, sum verður samtykt av Løgtinginum, vísir, hvussu nógv verður játtað til ymisk endamál
fíggjarpolitikkur	politisk átøk at ávirka eftirspurningin í samfelagnum við at broyta landsins inntøkur ella útreiðslur; við tálmandi fíggjarpolitikki verður skatturin øktur, og/ella verða útreiðslurnar lækkaðar, soleiðis at eftirspurningurin minkar; við stimbrandi fíggjarpolitikki verður skatturin lækkaður, og/ella verða útreiðslurnar øktar, soleiðis at eftirspurningurin veksur
fíggjarstýring	fíggjarlig stýring av einum virki í sambandi við virksemi, kapasitet og fígging og samskipan av hesum økjum; fíggjarstýring kann eisini verða býtt sundur í strategiska stýring, taktiska stýring og operativa stýring
fíggjarstøða	fíggjarliga støðan hjá einum virki ein ávísan dag, til dømis við árslok; fíggjarstøðan vísir virðið á ognum, eginpening og skyldur, sum virkið hevur: ogn = eginpening + skyldur
fíggjarstøðuætlan	partur av fíggjarætlan, ið vísir ætlaðu fíggjarstøðuna við endan á tíðarskeiðnum, sum ætlanin er um
fíggjarætlan	ein fíggjarlig ætlan fyri eitt stutt tíðarskeið, har tøl verða sett á ætlanina
fíggjarætling	arbeiði í sambandi við at gera fíggjarætlan
fjarumhvørvi	síumhvørvisum heild
fjarumhvørvi	síumhvørvi sum heild
fjølbroytt úrval	stórt úrval av vørusløgum; sífábroyttúrval
fjølmiðlar	partur avfjarumhvørvinum hjá einum virki; síumhvørvi sum heild,kappingarumhvørviognærumhvørvi
FKT	fastur kostnaður tilsamans
flatur skattastigi	proportionalur skattastigi
flutt úrslit	postur undir eginpeningi í fíggjarstøðuni
fløskuhálsur	knappurframleiðslufaktorur; fløskuhálsurin ger av, hvussu nógv kann verða framleitt av viðkomani vøru ella tænastu
FOB	free on board;Incotermsveitingartreyt, sum sigur, at vøran er latin, tá ið hon er komin umborð á skipið í tí havn, sum er nevnd eftir FOB, og at keyparin rindar fyri flutningin haðani
fokusstrategi	tað, at eitt virki vendir sær til eitt ávíst kundasegment; talan kann vera um kostnaðarfokus ella fokuseraða differentiering
forbýti av kostnaði	kostnaðarbýti, sum hevur til endamáls at meta um avleiðingarnar av møguligum avgerðum; síeftirbýti av kostnaði
forkalkulatión	síforbýti av kostnaði
formligfyriskipan	reglur um bygnað,arbeiðsbýti,myndugleika, ábyrgd, leiðslu og annað, sumleiðslan hevur sett í gildi í virkinum; síóformlig fyriskipan
forsøgn	ein meting av, hvussu stórur eftirspurningurin eftir einari vøru ella prísurin fyri eina vøru verður í framtíðini; hesar metingar kunnu vera stutt ella langt fram í tíðina, og tær kunnu verða gjørdar eftir kvalitativum ella kvantitativum háttalagi; kvalitativir hættir eru:seljarameting,delfihátturin,marknaðargreiningoganalogihátturin; kvantitativir hættir erutíðarseriugreiningarogkausalgreiningar; síkvalitativar forsagnirogkvantitativar forsagnir
fólkatalsfrøði	demografi; hagfrøðilig lýsing av fólkinum í einum øki eftir kyni, aldri, bústaði, inntøku, starvi, útbúgving, stødd á húsarhaldi og øðrum; fólkatalsfrøði kann vera ein partur av greiningini, tá ið eitt virki skal lýsaumhvørvi sum heild
framhaldandi rakstur	going concern; fortreyt í roknskaparpraksis, ið merkir, at virkið fer at halda fram við virkseminum so leingi afturat, at allar verandi verkætlanir verða framdar, og at virkið fer at svara allar sínar skyldur; søguligtkostvirði,endurútveganarvirði ogkapitalvirðibyggja øll á hesa fortreyt, sum eisini er grundarlag undir skipaðumavskrivingum, sundurbýting av ogn ístøðisognogogn í umferðog sundurbýting av skuld ílangfreistaða ogstuttfreistaða skuld
framleidni	framleiðslunøgd í einum tíðarskeiði í lutfalli við nýtslu av framleiðslufaktorum í sama tíðarskeiði; framleidni í einum virki verður ofta mett sum arbeiðsmegisframleidni: framleiðslunøgd/ arbeiðstímar; í einum landi verður framleidni mett sum: (BTÚí føstum prísum/arbeiðstímar)
framleiðsla	tann tilgongd, sum skal til fyri atframleiðslufaktorarnir føra til vørur ella tænastur; handil og flutningur er eisini framleiðsla í rúmari merking
framleiðsla sum inntøkutreyt	framleiðslan verður ofta nýtt suminntøkutreytí byggivinnu og skipabygging, tí at virkið hevur arbeiði í gerð fyri fremmanda rokning, og tíðarkarmurin fyri hvørja verkætlan gongur tvørtur um tvey ella fleiri roknskaparár
framleiðslufaktorar	tað tilfeingi, ið verður brúkt at gera vørur og tænastur; framleiðslufaktorar kunnu verða býttir sundur í trý:natúrligt tilfeingi,realkapital(tól og bygningar) ogarbeiðsmegi
framleiðslufunktiónin	samanhangið millum nýtslu avframleiðslufaktorum (input) ogframleiðslu (output)
framleiðsluhugsjón	hugburður um marknaðin, at kundarnir vilja hava vørur, ið eru lættar at fáa fatur á og hartil bílígar; virkisleiðsla, ið hevur henda hugburð, leggur dent á stórtframleidniog lítlanframleiðslukostnað; símarknaðarhugsjónogvøruhugsjón,søluhugsjón,marknaðarførsluhugsjónogsamfelagshugsjón
framleiðslukonsept	framleiðsluhugsjón
framleiðslukostnaður	ífunktiónsbýttum rakstrarroknskapi errakstrarkostnaðurin býttur sundur eftir funktiónum;bruttovinningurin er tá munurin millumsøluinntøku ogframleiðslukostnaðfyri selda vøru; sísølukostnaðurogfyrisitingarkostnaður
framleiðslustrategi	strategi umframleiðslustýringina, har støða verður tikin til, hvørjarframleiðslufaktorar virkið vil brúka, og hvussu framleiðslugongdin skal vera
framleiðslustýring	mannagongdir fyriframleiðsluna innan fyri teir karmar, sumframleiðslustrategiin hevur sett
framleiðsluuppseting	skipan av framleiðslu við til dømis maskinuppseting og hølisinnrætting; símiðstøðuuppseting,funktiónsuppsetingoglinjuuppseting
framleiðsluvirði	virði á allari framleiðslu í øllum vinnum í landinum í einum ári
framleiðsluvirki	virki, ið framleiðir vøru at selja; framleiðsluvirki eru innan handverk ella ídnað; síhandilsvirkiogtænastuvirki
framskriving	verður brúkt í renturokning at rokna framtíðarvirði á einari gjalding n ár frammi í tíðini við formlinum (1+r)n, har r er árligroknirenta; síafturskriving
franchise-keta	smásøluketa, harfranchisingverður nýtt
franchising	ein sølu- og distributiónsháttur, har ein fyritøka við einum væl kendum merki letur smásølum rættindi at marknaðarføra og selja vørur ella tænastur undir hesum merki í einum ávísum øki
frásøguháttur	uppsetingarháttur av rakstrarroknskapi, soleiðis at lesarin særbruttovinning,rakstrarúrslit,úrslit fyri skattogúrslit eftir skatt
frávik	sundurgreining av munum millumrakstrarætlanograkstrarroknskap, til dømis ístandardfrávik,nýtslufrávikogprísfrávik
fremmandapeningur	fígging, sum ikki ereginpeningur, til dømis lán og onnur skuld
fríar tænastur	almennar tænastur, sum borgarin ikki skal gjalda fyri beinleiðis, til dømis læknatænasta, skúlar og bókasavnstænasta
fríhandil	tað, at handil millum lond ikki verður ávirkaður avtolli, innflutningsavmarkingum ella øðrumhandilsforðingum
frí partabrøv	partabrøv, ið verða latin verandipartaeigarum fyri einki; kapitalurin til frí partabrøv verður tikin úrtiltakspeninginum
fríur marknaður	marknaður, har baraútboðogeftirspurningurgera av, hvussu prísurin verður
fullkomin kapping	marknaðarslag, har útbjóðararnir eru nógvir og smáir, og keypararnir eru nógvir og smáir, og vørurnar eru eins; hetta ger, at útbjóðarin erprístakari: hann má selja fyri tann prís, ið er á marknaðinum sum úrslit avútboði ogeftirspurningi
fult kostnaðarbýti	kostnaðarbýti, har allur kostnaður, bæðifasturogbroytiligur, verður lagdur á ta einstøku vøruna; síkostnaðarbýti eftir skiftisháttinum
funktionellur bygnaður	fyriskipanarbygnaður, sum skilir seg frá linjubygnaðinum við tað at eitt starvsfólk kann hava fleiri yvirmenn; sífunktiónsbygnaðuroglinjubygnaður
funktionelt innkomubýti	býti avbruttofaktorinnkomuni (BFI) ímillum framleiðslufaktorarnar, sum hava skapt innkomuna; BFI kann verða býtt sundur í lønir (arbeiðsmegi),avskrivingar (nýtsla avrealkapitali) og restinnkomu (arbeiði hjá sjálvstøðugum vinnurekandi og kapitalinnkoma)
funktiónir í virkinum	keyp, framleiðsla, søla og búskapur; eisini kunnu fyrisiting, starvsfólkamál og leiðsla sigast at vera funktiónir
funktiónsbygnaður	fyriskipanarbygnaður, har arbeiðsuppgávur av sama slagi verða flokkaðar í deildir eftir funktiónum, til dømis søludeild, framleiðsludeild, keypsdeild og búskapardeild
funktiónsbýttur rakstrarroknskapur	rakstrarroknskapur, ið er settur upp, soleiðis atrakstrarkostnaðurin er býttur sundur eftir funktiónunum framleiðslu, sølu ogfyrisiting
funktiónsuppseting	framleiðsluuppseting, ið ofta verður nýtt í framleiðslu, sum er stýrd av bíleggingum; sílinjuuppsetingogmiðstøðuuppseting
fyribyrgjandi góðskustýringarkostnaður	sígóðskukostnaðuroggóðskustýringarkostnaður
fyrisiting	funktión í virkinum; tað sama sum administratión, sum merkir at sita fyri ella at stjórna
fyrisitingarfunktiónin	sífyrisiting
fyrisitingarkostnaður	ífunktiónsbýttum rakstrarroknskapi verður kostnaðurin býttur sundur eftir funktiónunum framleiðslu, sølu og fyrisiting; fyrisitingarkostnaðurin er tí ein av kostnaðarpostunum; síframleiðslukostnaðurogsølukostnaður
fyrisitingarliga skipanin	partsskipaneftirskipanarástøðinum; fyrisitingarliga skipanin er um samskipan, bygnað, formligar reglur, forskriftir og arbeiðsgongdir; sísosiala skipaninogtøkniliga skipanin
fyrisitingarligi skúlin	skúli í klassiskari fyriskipan við hesum meginreglum: (1) ein yvirmaður eigur ikki at hava fleiri enn 6-8 fólk undir sær, (2) bygnaðurin skal hava so fá stig sum møguligt fyri at fremja effektivitet og samskifti, (3) ábyrgd og myndugleiki eiga at fylgjast, (4) eingin skal hava fleiri enn ein yvirmann; síbureaukratiski skúlinogvísindalig virkisleiðsla
fyriskipan	tvey ella fleiri fólk, sum samstarva um felags mál; fakið fyriskipan er um tilgongdir, bygnað, mentan og leiðslu í felagsskapum; sí fyriskipanarbygnaður,virkismentanogleiðsla
fyriskipanarbygnaður	formligskipanavarbeiðsbýti,myndugleika- og ábyrgdbýti, samskipan og forskriftum
fyritøka	virkiellasamtak(konsern)
fyrstalagsvinna	vinna, ið gagnnýtir natúruna, til dømis fiskiskapur, aling, landbúnaður og ráevnisvinna; síannaðlagsvinnaogtriðjalagsvinna
fýrafrælsini	íEUer avtalað, at fólk, vørur, tænastur og pengar kunnu flyta ella verða flutt frítt ímillum limalondini; henda avtala verður viðhvørt nevnd ‘tey fýra frælsini’
fýra p’ini	sundurbýting avávirkingarparametrum (kappingarráðum) í fýra p: product, price, promotion og place; sí grundparametur,kunningarparametur,søluráðogkappingarráð
Føroya Gjaldstova	stovnur undir Fíggjarmálaráðnum; ábyrgdarøki hjá gjaldstovuni eru: landsbókhaldið,fíggjarstýring, lønarútgjaldingar og stýring avgjaldførilandskassans
Føroya Landsstýri	útinnandi valdið í Føroyum; landsstýrið er samansett av løgmanni og landsstýrismonnum; umframt Løgmansskrivstovuna eru 8 onnur aðalráð undir landsstýrinum: Almannamálaráðið, Fiskimálaráðið, Fíggjarmálaráðið, Heilsumálaráðið, Innlendismálaráðið, Mentamálaráðið, Uttanríkisráðið og Vinnumálaráðið
føst ogn	ogn, ið ikki kann flytast, til dømis jørð og hús; síleysafæ
