TAKS	stovnur undir landinum, ið hevur toll, skatt og avgjøld um hendur
tollvirði	tað virði, sum vøran hevur, tá ið hon kemur inn á eitt tolløki, og sum virðistollur verður roknaður eftir; tollvirði er vanliga keypsvirði + tryggingarkostnaður og flutningskostnaður til tollmarkið; síCIF
TOWS	tað sama sum SWOT, har yvirlitið er sett upp í talvu við S og W vatnrøttum og O og T loddrøttum; á tann hátt sæst betur, hvørjar strategiir, virkið kann velja ímillum: SO, WO, ST og WT; síSWOT
toymisfyriskipan	fyriskipanarbygnaður, har starvsfólk samskipa og leggja arbeiði til rættis í bólkum
TQM	total quality management; síheildargóðskustýring
transaktión	ein hending, sum hevur fíggjarligan týdning, og sum kann mátast objektivt, til dømisgjaldingellaveiting; ikki allar hendingar, sum hava fíggjarligan týdning, eru transaktiónir
transaktiónsleiðsla	leiðsluháttur við fokus á at fáa arbeiðið gjørt; effektiv leiðsla er transaktiónin av lyftum um løn fyri gott avrik og av hóttanum við revsing fyri vánaligt avrik; sítransformatiónsleiðsla
transaktiónsmarknaðarførsla	marknaðarførslaundir umstøðum, har ein veiting frá øðrum partinum krevur eina mótveiting frá hinum partinum, tí at partarnir hava áhugamál, ið stríða ímóti hvørjum øðrum; sírelatiónsmarknaðarførsla
transaktiónsprinsippið	grundregla í roknskapi um, at inntøkur og kostnaður verða ásett fyrst, og síðani verður fíggjarstøðan lagað eftir tí; síavriksgrundað teori
transaktiónssporið	sambandið millum tær einstøku skrásetingarnar í bókhaldinum og ársroknskapin; hetta merkir, at allar skrásetingar skulu kunna verða fylgdar fram til ársroknskapin, og at tølini í roknskapinum skulu kunna verða greinað sundur í skrásetingarnar, sum tey eru samansett av; síeftirlitssporið
transfer-pricing	áseting av prísum fyri vørur og tænastur, ið verða handlaðar millum búskaparligar eindir í einari fyritøku, til dømis samtaki, soleiðis at hvør eind kann gera upp, hvat úrslitið í einum tíðarskeiði er
transformatiónsleiðsla	leiðsluháttur, har leiðarin roynir at menna og kveikja starvsfólkið og geva tí avbjóðingar við at taka áhugamál hjá starvsfólkunum við fyri at fáa felags visión, endamál og mál fyri virkið; sítransaktiónsleiðsla
trendur	gongdin í einari stødd, sum tíðin fer, til dømis gongdin í søluni av einari vøru í nøkur ár; trendur er langtíðartendensur; sílangtíðarforsøgn
triðjalagsvinna	vinna, ið fyri tað mesta fæst við at selja tænastur, til dømis handil, flutningur, fíggjarvirksemi og almennar tænastur; sífyrstalagsvinnaogannaðlagsvinna
trivnaður	hugtak í fyriskipan, ið hevur týdning, tá ið arbeiðsumhvørvi verður kannað
trong kapping	kapping millum vørusløg, ið nøkta sama tørv hjá brúkara; sísertokki,víð kappingogskotskivumyndilin
trygdargoymsla	síminstagoymsla
trygd sum inntøkutreyt	inntøkutreyt í roknskapi; eftir hesum skal virkið inntøkuføra søluna, tá ið garantiið rennur út, og tað verður ikki gjørt í praksis, tí tað er enn meira varið enn gjalding sum inntøkutreyt; tó eiga avsetingar at vera gjørdar ímóti garantiskyldum; sí eisinibíleggingogveiting
TVM	time value of money; sítíðarvirði á peningi
týdningur	regla í roknskapi um, at virki skulu upplýsa um alt, sum hevur týdning; reglan er í tráð við dygdarkravið í roknskaparteoriini um, at roknskapurin skal vera viðkomandi, ið ikki hevur nakra meining í sær sjálvum, tí um hann skal vera viðkomandi, má vera greitt, hvørji endamálini við roknskapinum eru
tænasta	gerð, sum annar partur í einum handli bjóðar hinum partinum
tænastujavni	partur av gjaldsjavnanum hjá einum landi, ið vísir inntøkur av tænastuveitingum til útlond og útreiðslur av tænastuveitingum frá útlondum; sígjaldsjavni,handilsjavniogvøru- og tænastujavni
tænastustig	evnini hjá einum virki at veita kundanum tað, sum hann krevur, innan ta tíð, hann krevur
tænastuvinna	vinna, ið fyri tað mesta selur tænastur
tænastuvirki	virki, ið selur tænastur; síframleiðsluvirkioghandilsvirki
tænastuvøra	markið millum ítøkiligar vørur og tænastur kann vera flótandi; vørur ella góðar, sum heilt ella fyri ein stóran part ikki eru ítøkiligar, eru tænastuvørur
tøk bruttotjóðarinnkoma	bruttotjóðarinnkoma + innkomuflytingar úr útlondum netto
tøk innkoma	innkomahjá húsarhaldum, eftir atinnkomuskatturer goldin; hugtakið hevur týdning í sambandi við greining av umheiminum hjá virkinum, har keypsorkan kann verða ávirkað av skattatrýsti; sítøk realinnkoma
tøkniliga skipanin	partsskipan í skipanarástøðinum; tøkniliga skipanin er um maskinur, bygningar, vørur, sum virkið selur, framleiðsluhættir og vitan í virkinum um hetta; sífyrisitingarliga skipaninogsosiala skipanin
tøknilógin	ástøði, sum sigur, at tá ið virki leggur um til hægri tøkni, so broytist kostnaðarmynstrið soleiðis, at fasti kostnaðurin verður størri, men broytiligi eindarkostnaðurin verður minni; um nøgdirnar eru nóg stórar, verður framleiðslan tískil bíligari við hægri tøkni; sífastur kostnaðurogbroytiligur kostnaður
tøk realinnkoma	innkoman roknað í keypsorku, eftir at beinleiðis skattur er drigin frá; sítøk innkoma
tøktkassalán	munurin millumkassalánshámarkogkassalánsskuld
tøkur kassakredittur	sítøkt kassalán
tøkur peningur	peningur, ið kann nýtast at gjalda við, til dømis kontantur peningur, innistandandi í banka ogtøkt kassalán; virðisbrøv, ið eru løtt at selja, kunnu eisini verða tald upp í tøkan pening; sívirðisbræv
tørvsósemja	tað, at nøktan av einum tørvi er ein forðing fyri at nøkta ein annantørv
tørvspyramidan	sítørvsvarðin
tørvsvarðin	sálarfrøðiligur myndil, sum sigur, at teir niðastu steinarnir í varðanum eru trotatørvir, og ovastu steinarnir eru vakstrartørvir; sambært hesum ástøði eru teir niðaru steinarnir í varðanum likamstørvur, trygdartørvur og sosialur tørvur, og teir ovaru eru sjálvsøkin tørvur og sjálvsmenningartørvur
tørvur	kropslig ella sálarlig ójavnvág, ið kann verða broytt til javnvág, um okkurt verður gjørt; hugtakið hevur týdning ísølubúskapi ogfyriskipan
