IAS	international accounting standards; roknskaparvegleiðingar, sumIASBhevur givið út
innkomuflyting	innkoma, ið verður goldin, og einki verður latið afturfyri, til dømisarbeiðsloysisstuðulog aðrar kontantar veitingar frá tí almenna til borgarar; sermerkt við innkomuflytingum er, at eingin mótveiting verður kravd samstundis; innkomuflytingar eru tí ikki við í bruttotjóðarúrtøkuni ella í almennari nýtslu; innkomuflytingar kunnu eisini vera gjaldingar millum lond, har ongar mótveitingar eru kravdar, og eru tárakstrarpostar í gjaldsjavnanum
innkomuóviðkvæmur eftirspurningur	tað, atinnkomuviðkvæmið er minni enn eitt, men størri enn null; talan er um vanliga vøru, ið er neyðug
innkomupolitikkur	tiltøk ella royndir hjá myndugleikunum at stýra innkomuvøkstrinum í samfelagnum fyri at tálma prísvøkstri og kostnaðarøking og harvið betrakappingarførið
innkomuroknskapur	annað orð fyrirakstrarroknskap; av tí at hesin roknskapur ikki bara er um raksturin, er hettað orðið meira sigandi
innkomuskattur	beinleiðis skattur, sum verður roknaður út frá skattskyldugu innkomuni hjá tí einstaka skattgjaldaranum
innkomuviðkvæmi	(lutfalslig broyting í eftirspurningi)/(lutfalslig broyting í innkomu); er innkomuviðkvæmið størri enn eitt, er talan umluksusvøru; er innkomuviðkvæmið millum eitt og null, er talan umneyðuga vøru; er innkomuviðkvæmið negativt, er talan uminferiøra vøru; síprísviðkvæmi
innkomuviðkvæmur eftirspurningur	tað, atinnkomuviðkvæmið er størri enn eitt; talan er um vanliga vøru, sum ber brá av at veraluksusvøra
innkomuætlan	annað orð fyrirakstrarætlan; av tí at henda ætlan ikki bara er um raksturin, er hetta orð meira sigandi
innlán	pengar, ið eru settir inn á kontu í pengastovni; innlán stendur sum skuld í fíggjarstøðuni hjá honum; síútlán
innovatión	nýtsla av nýggjum framleiðsluhættum ella marknaðarførsla av nýggjum vørum ella tænastum; treytin fyri innovatión er gransking, menning ella uppdagingar, men tað er í sambandi við nýtsluna, at tað fær búskaparligan týdning
inntøka	upphædd, sum eitt virki við rímiligari vissu kann sigast at hava vunnið í einum ári av at selja vørur ella tænastur; síkostnaðurogumsetningur
inntøkutreyt	treyt fyri, nær eitt virki skal rokna sær inntøku av virkseminum; sí bílegging,gjalding,framleiðsla,trygdogveiting
insolvensur	tá ið skuldin hjá einum virki er størri enn ognin, og eginpeningurin sostatt er negativur, er virkið insolvent; sí eisinigjaldføriogsolvensur
integratión	tað, at virki verður víðkað vertikalt í veitingarketuni og fer inn á øki hjá kundum ella veitarum, ella at tað verður víðkað horisontalt og tekur frá kappingarneytum; síhorisontal integratiónogvertikal integratión
intensivering	vakstrarstrategihar virki roynir at styrkja sína støðu á verandi marknaði og/ella við verandi vørum og tænastum; sí marknaðarpenetrering,marknaðarmenningogvørumenning
internationalisering	síaltjóðagerð
internet marketing	síonline marketing
irreversibil kostnaður	fastur kostnaður, sum leypur upp, tá ið framleiðsla/ søla fer upp um ávísa nøgd, men sum ikki fellur aftur, tá ið framleiðslan/ sølan fer niður um somu nøgd; sí eisinireversibil kostnaðurogfastur kostnaður í lopum
ISM	international safety management; góðskugóðkenning innan ferðafólkaflutning og farmaflutning
ISO-14001	umhvørvisstandardur, sum International Organisation for Standardisation stendur fyri
ISO-18001	arbeiðsumhvørvisstandardur, sum International Organisation for Standardisation stendur fyri
ISO-9001	góðskustandardur, sum International Organisation for Standardisation stendur fyri
ISO-góðkenning	góðkenning frá International Organisation for Standardisation
isokostlinja	kostnaðarlinja, sum vísir mongdarsamansetingar av tveimum framleiðslufaktorum, sum kunnu útvegast fyri eina ávísa upphædd; kostnaðurin er tann sami á einari ikostlinju; sívaraseting
isokvantkurva	mongdarsamansetingar av tveimum framleiðslufaktorum, sum geva somu framleiðslu av einari vøru; sívaraseting
ISP	ironic selling proposition; marknaðarførsla, ið nýtir speiskan boðskap fyri at raka málbólkin; síESPogUSP
