badwill	vánaligt umdømi; sísamtaksbadwill
búskaparligur politikkur	tað, sum ein stjórn ger fyri at ávirka búskapin í samfelagnum; dømi um búskaparligan politikk eru: at økja ella minka um almenna nýtslu og íløgur, at økja ella minka um skattatrýstið og at tryggja ella avmarka privata ognarrættin; sí arbeiðsmarknaðarpolitikkur,bygnaðarpolitikkur,fiskivinnupolitikkur,fíggjarpolitikkur,handilspolitikkur,innkomupolitikkur,pengapolitikkur,valutapolitikkurogvinnupolitikkur
búskaparligur vøkstur	vøkstur í framleiðslu av vørum og tænastum í einum tíðarskeiði, samanborið við undanfarna tíðarskeið; vøksturin kann verða mettur í ársins prísum, og tá er hann viðinflatión, men ofta verður hann gjørdur upp í føstum prísum, og tá er lagt upp fyriinflatión
Búskaparráðið	ráð, ið er sett av landsstýrismanninum í fíggjarmálum at fylgja við búskaparligu viðurskiftunum í landinum, at geva óheftar búskaparligar ráðgevingar og at skriva frágreiðingar um búskaparligu gongdina
búskaparrensl	síbúskaparlig ringrás
búskaparstýring	at taka avgerðir, sum hava búskaparligar avleiðingar fyri virkið; avgerðir kunnu vera stórar ella smáar: strategiskar avgerðir eru stórar, taktiskar eru hvørki stórar ella smáar, og operativar avgerðir eru smáar; búskaparstýring kann verða býtt í trý øki:virksemisstýring,kapasitetsstýringogfíggingarstýring; síoperativ stýring,taktisk stýringogstrategisk stýring
búskett	sífíggjarætlan
BVØ	síbruttovirðisøking
bygnaðararbeiðsloysi	arbeiðsloysi, ið kemur av broytingum í framleiðsluhættum, sum ger, at eftirspurningurin eftir arbeiðsmegi er øðrvísi samansettur enn útboðið av arbeiðsmegi; bygnaðararbeiðsloysi kann vera fakligt ella landafrøðiligt; fakligt arbeiðsloysi stendst eisini av, at fólk velja útbúgvingar, sum lítil eftirspurningur er eftir
bygnaðarliga sjónarmiðið	sjónarmið í roknskapi, sum leggur dent á bygnaðin í roknskaparskipanini sjálvari; grundhugsanin er at flokka transaktiónir, sum líkjast, og skráseta tær á samsvarandi hátt
bygnaðarpolitikkur	átøk at betra um bygnaðarligar fortreytir at fáa vøkstur í búskapin, til dømis at gera tað lagaligt at seta virksemi í gongd í økjum við stórum arbeiðsloysi ella at stimbra endurútbúgving; endamálið kann eisini vera at hjálpa nýggjum vinnum, ið hava tørv á serligari arbeiðsmegi; sí arbeiðsmarknaðarpolitikkur,vinnupolitikkurogvinnuskifting
bygnaður í fyriskipan	bygnaður er ein formlig skipan avarbeiðsbýti,myndugleika- og ábyrgdarbýti, samskipan og forskriftum
byrjanarjavni	saldujavni í bókhaldi í byrjanini av einum roknskaparári
býtishandil	handil, har ið keypt vøra verður goldin við aðrari vøru, ella at vøra verður seld fyri aðra vøru; síbýtisprísur
býtislutfall	lutfall millum útflutningsprísir og innflutningsprísir hjá einum landi; býtislutfall verður roknað sumvísitalfyri útflutningsprísir býtt við vísitali fyri innflutningsprísir, ið verður faldað við 100; talið vísir, hvussu prísirnir fyri útfluttar vørur eru broyttir samanborið við prísirnar fyri innfluttar vørur
býtisprísur	prísur fyri vøru í býtishandli, har ein vøra er partvíst gjald fyri aðra vøru
býtisrokning	at rokna kostnaðin fyri eina vørusending við fleiri vørusløgum og býta hann sundur millum ymsu vørusløgini, og síðani rokna eindarkostprísin fyri hvørja vøru
býtisvirði	í einum pengaleysum samfelagi varð virðið á einari vøru ásett í mongd av aðrari vøru
