U1	(bókstavurin) u
un*, 'un	(tlm.) =one(t.d.he's a wrong 'un)
unabashed	óttaleysur, djarvur, sum hevur gott treyst(i), óræddur, framligur, skammleysur; ósmæðin
unabated	1óviknaður, óskerdur, við somu megi, ikki linkaður, ikki avhæsaður, sum leikar í við sama lag(t.d.ódnin)2(um løn) óskerdur, fullur
unable	unable toikki førur fyri at
unabridged	óstyttur
unaccented	(ljóðfr.) óherdur, trýstleysur, við ongari herðing, við ongum trýsti
unacceptable	ikki góðtakandi, sum ikki kann góðtakastel.góðkennast, sum ein ikki kann gangael.geva seg undir, sum ein ikki kann taka við, sum ein ikki kann lata um seg ganga, sum ein ikki kann lata sær lynda
unaccommodating	ólagaligur, tvørur, óviðeiriligur, ringur at fáast við
unaccompanied	1sum kemurel.fer einsamallur, sum ongan hevur við sær2(um viðføri) innskrivaður3(tónl.)við ongum fylgispæli
unaccomplished	1ófullfíggjaður, óliðugur, ikki liðugur2sum ongar serstakar gávur hevur
unaccountable	1óskiljandi, ógreinandi, ófatiligur, sum ikki ber til at greiðael.siga frá, gátuførur;for some unaccountable reasonav onkrari ófatiligari orsøk2skilaleysur, óráðiligur, ikki ráðiligur, ábyrgdarleysur; sum ikki skal svara fyri, sum ikki skal standa til svars
unaccounted-for	unaccounted-for for1(um fólk) saknaður2(um annað) sum greiði ikki er fingið á
unaccustomed	óvanligur;unaccustomed toóvanur við at
unacknowledged	1(um fólk, avrik, týdning) ikki viðurkendur2(um kenslur) sum ein ikki hevur gjørt sær greitt (t.d.unacknowledged fears)
unacquainted	unacquainted withsum ein ikki veit um (t.d.unacquainted local customs)
unadapable	1sum ikki kann/vil laga seg til (t.d.umstøðurnar)2(flm.) ósmidligur (í verumáta)
unaddressed	(postm.) tilskriftarleysurel.áskriftarleysur, við ongari tilskriftel.áskrift
unadopted	(um veg) einskildur, privatur
unadorned	(forml.)óprýddur, einfaldur, skreytleysur
unadulterated	1(um løg) óblandaður2(fl.m.)óblandaður (t.d.pleasure),ektaður, reinur, ófalsaður, reinur og blektaður, sum er tað reina (t.d.nonsense)
unadventurous	sum einki hættar sær, sum vágar einki; keðiligur, slættligur (t.d.cooking)
unadvised	1óhyggin, tankaleysur, gáloysin, óskettin, óumhugsaður2sum ikki hevur ráðført seg við nakran, sum ongan hevur spurt til ráðs
unadvisedly	óhyggið, óskynsamliga, óklókt
unaffected	reinlyndur, reinlyntur, ektaður, sum ikki ger seg upp;unaffected byóávirkaður av
unaffordable	sum (næstan) eingin hevur ráð (at gjalda/keypa); órímiligur, sum ein ikki megnarel.sum ein er ikki førur fyri (at gjalda/rinda) (t.d.unaffordable rents)
unafraid	óttaleysur, óræddur,unafraid ofsum ræðist ikki, sum ikki er bangin fyri
unaided	við ongari hjálp, sum ger eitt sjálvur;the unaided eye (t.e.)við berum eygum
unaligned	1sum ikki stendur í raðel.røð2(um land) uttanveltaður, sum er ikki í samgongu, samgonguleysur
unallied	1ikki í (hernaðar)samgongu við2(lívfr.) ikki í ætt við, óskyldur (unallied species)
unalloyed	(skaldsk.)óblandaður, reinur(t.d. unalloyed pleasure)
unalterable	sum kann ikki broytast;an unalterable facttað er (ein) royndur lutur; tað ryggjast ikki
unambiguous	eintýddur, ótvítýddur
unamendable	sum ikki fæst í rættlag, sum kann ikki rættast
unamended	(um tekst) óbroyttur
un-American	(sø.)óamerikanskur (t.d.un-American activitiesóamerikanskt virksemi)
unanimity	full semja, einmæli
unanimous	einmæltur, sammæltur, samdur, sum øll eru á einum máli um
unannounced	ófráboðaður, sum ikki er fráboðaður, uttan at hava sagtel.boðað frá; óupplýstur
unanswerable	1(forml.)óvikandi, sum ikki vikast, rimmarfastur, sum ryggjast ikki, sum svitast ikki, sum ikki rekst aftur (t.d.unanswerable argument)2(um spurning) sum ikki kann svarast, ósvarandi, ósvaraður, sum einki svar hevur, sum onga loysn hevur
unanswered	ósvaraður
unappealable	sum kann ikki skjótast inn fyri hægri rætt
unappealing	lítið freistandi, dragandiel.lokkandi, lítið dámligur, ódámligur
unappeasable	ómettandi, ómettiligur, ið mettast ikki
unappeased	ónøktaður (t.d.hunger; passion)
unappetizing	óátuligur, óhugaligur, ógóðsligur, ónossligur, fúlsligur, fúlur, ógagnsamur /ógansa-/, ólíkligur,(tlm.)ólekkur
unapproachable	1stútutur, svinnur, undirstúrsin2óatkomiligur, óatkomandi, ikki atkomandi, ikki framkomandi(t.d.her er ikki framkomandi); sum ikki slepst uppá
unapt	1óskikkaður2dølskur, tungur3unapt tosum ikki hevur hug at; óvanur við at
unarguable	óreingiligur, ónoktandi, sum ikki ryggjast, sum eingin ivi kann verða um
unargued	1avgjørdur, ivaleysur, óreingiligur, sum eingin ivi kann vera um2sum einki orð er skift um, sum einki kjak hevur verið um
unarm	avvápna, taka vápnini frá
unarmed	1óvápnaður2(herm.)óbrynjaður, ikki stálstyrktur3(plfr.)verjuleysur, verndarleysur
unarmed combat	1sjálvverjukynstur2(herm.)handbrá, bardagi,(tlm.)slagsmál
unarmoured	óbrynjaður, ikki stálstyrktur
unascertained	ikki staðfestur, sum e-n ikki hevur rakað viðel.varnast;all unascertained persons interested in ...øll tey sum møguliga kundu hugsast at verið áhugað í ...
unashamed	sum ikki skammast av sær, sum ikki skammar seg; skammleysur;be unashamed ofikki skammast um
unasked	1óboðin, óbiðin, sjálvboðin, sjálvkravdur, ókravdur, av sær sjálvum, sjálvbiðin, av sínum eintingum, av sjálvsheintingum;unasked forsum ein hevur ikki biðið um (t.d.advice)2(um spurning) ósagdur, ónevndur, sum er ikki borin upp á mál
unaspiring	lítillátin, lítið framførur, smákrevjin, kravlítil
unassailable	1óvinnandi, ósigrandi, sum ikki verður vunnin, sum er eins fulli rættur; sum verður ikki tikin (t.d.an unassailable fortress)2lýtaleysur
unassisted	við ongari hjálp
unassorted	óskildur, blandaður
unasssuageable	ómettiligur, ómettandi (t.d.rapacity; love of power)
unassuming	lítillátin, smákrevjin, ósjálvsøkin
unattached	1sum er ikki uppi í nøkrum (felagsskapi, bólkio.tíl.)2óheftur, óbundin3falur, leysur, sum hvørki er gifturel.trúlovaður, ógiftur og ikki trúlovaður, leysur(t.d.kroppur)
unattainable	sum ikki fæst (hendur á), sum ikki er at fáa, ikki atkomandi
unattended	1sum kemur einsamallur, við ongum fylgisneyta2sum eingin hevur umsjónel.eftirlit við3sum liggur á láni, sum ongan góðan hevur, sum eingin skoytir um(t.d.um barn)4unattended lightsjálvvirkandi viti
unattractive	misháttur, lítið freistandi, dragandiel.lokkandi, lítið dámligur, ódámligur
unattributable	1sum eingin hevur rætt til, sum eingin kannar sær, sum eingin ber kannuna av2sum eingin kelduávísing er til
unauthorized	við ongum heimildum, í heimildarloysi, óviðkomandi
unavailable	1(um fólk) ikki tøkur, ótøkur; sum ikki er hjástaddur;he has been unavailable for commenttað hevur ikki borið til at fáa hann at gera viðmerkingar2(um lut) sum ikki fæst fatur á
unavailing	ónyttigur, gagnleysur, sum er til onga nyttu, til einkis, til fánýtis
unavoidable	1óundansleppandi, sum ikki slepstel.kemst undan, sum ikki fær verið øðrvísi, óumberligur2sum ikki vikast, óvikandi, sum er rimmarfastur, sum ikki rekst aftur, sum ikki ryggjast, sum ikki kann avsannastel.mótprógvast;be unavoidable detainedsum ikki fær komið
unavoidably	sum ikki slepstel.kemst undan;be unavoidably absentberast lógliga frá
unaware	be unaware of//thatikki vera einum greitt, vera óvitandi um;blissfully unawaresum (til alla Guds lukku) veit av ongum
unawares	catch/take unawareskoma óvart á, taka á bóli
unawed	ikki ovfarin (byav), sum ikki vekur virðing, sum ikki er virðingarvert
unbacked	1við ongari hjálp, óstuðlaður, sum ikki fær hjálpel.stuðul2(um ross) ótamdur3(ísamb.við kappríðing) sum eingin veddar uppá
unbalance1	1ójavnvág, at eitt er ikki í vøgu, ávøga2(flm.) sálarlig ójavnvág
unbalance2	1fáa ávøgu, missa javnvágina2(flm.) órógva, ørkymla, skaka, skelka
unbalanced	1(um lut) sum ikki er í javnvágel.javnvøgu2(um fólk) ójavn sintur, skjótur hvønn vegin, skjarrligur, óstøðugur, kvilkin, uppi á gosi, ørvitisligur, østur(eis. t.d.tað er ikki altíð at snáðin stendur bein á honum//henni)3(um roknskap) ikki uppgjørdur
unballast	(sigl.)taka barlast/kjølfesti úr
unbar	skjóta slá frá durum; lata upp
unbated	1(skaldsk.) óviknaður, ikki viknaður, ikki linkaður2(gl.vápnumviðv.) hvassur, ikki óhvestur; oddleysur, við ongum oddi
unbearable	ótolandi, møðsamur; stríggin, ræðuligur
unbeatable	1makaleysur, frálíkur, einsýnur, einskilaður, millum teir bestu, tikin úr leikum, framúrskarandi, sum ikki hevur sín makael.líka, sum einkiel.eingin kann javnmetast við2(í kappingum) sum eingin vinnur á
unbeaten	óvunnin, ósigraður, sum ikki er vunniðel.sigrað á, sum ikki hevur verið fyri ósigri, sum ikki hevur tapt
unbecoming	1ósámiligur, ósømiligur, óhóskandi, sum ikki sømir seg(to, forfyri)2(gl.,um klæðir) sum klæða einum illa, sum passa illa
unbeknown,unbeknownst	(forml.) unbeknown, unbeknownst to meso at eg ikki veit//visti um tað; uttan at eg veit//visti av
unbelief	vantandiel.tvørrandi trúgv, vantrúgv, mistrúgv
unbelievable	ótrúligur, óhugsandi
unbeliever	ein ið ikki trýr, vantrúgvandi
unbelieving	vantrúgvin, ikkitrúgvandi
unbelt	1loysa reimina (svørðið)2læna pengar frá e-m
unbend	1beina, beinka2lina, linka3(sigl.)sláa segl undan; (um trossa) loysa4(óáv.um fólk) taka sær av løttum, kasta av sær, stuttleika sær,(tlm.)slappa av
unbending	1óbendandi, óvikandi, stívur, strangur, stívrendur, fattur2hvílandi, sum hvílir
unberthed	við ongari koyggju, sum onga koyggju hevur;unberthed passagerferðafólk við ongum koyggjuplássi, deksferðafólk
unbias	partloysi, uttanveltað/óheft støða
unbiased,unbiassed	óheftur, óvildarligur, óvildar-, uttanveltaður, partleysur, uttanparta, lutleysur, fordómaleysur, sum heldur við hvørgumel.ongum parti,(tlm.)ópartískur
unbidden	1óboðin2ikki boðin við3sjálvboðin, sjálvkravdur, av sær sjálvum, óbiðin, sjálvkravdur, ókravdur, sjálvbiðin, av sínum eintingum, av sjálvsheintingum
unbind	1loysa (upp)2lata leysan, loysa (ein) úr fjøtrum, sleppa (einum) leysum
unbitted	1við ongari meil/meilu; við ongum boksli2(flm.) ótálmaður, við ongum tamarhaldi, óhóvsamur, óstýriligur
unbleached	óbleiktur
unblemished	lýtaleysur, sum ikki kann lastast, ólastandi, ódálkaður; reinur, óspiltur
unblessed,unblest	1óvígdur, ikki vælsignaður2óreinur, óndur, forbannaður3ólukkuligur, ússaligur, vesaligur
unblinking	1(skaldsk.) sum ikki blunkar (t.d.unblinking eyes),sum lítur fast at (t.d.an unblinking stare)2unblinking faithóvikiligt álit (in á), turkatrúgv
unblock	1(um frárenning, rør) reinsa2(um samáðingar) fáa á glið aftur (t.d.talks)
unblown	1sum er ikki sprottin2ómóður, sum er ikki pøstur
unblushing	ósmæðin, frekur, framligur, uttan at skammast (av sær), uttan at rodna av skomm, ikki illa við; skammleysur (t.d.a comedy of manners, encased in the most unblushing melodrama)
unbolt	skjóta sláina frá
unbolted	1ikki stongt við slá2(um mjøl) ósáldað
unbooked	1ikki flutt/skrivað (í bók)2bókleysur; óskúlaður, ólærdur3ikki bílagdur, ikki umbiðin (frammanundan) (t.d.unbooked hotel rooms)
unborn	óføddur, óborin;as innocent as a babe unbornósekur sum barn í móðurlívi
unbosom	siga einum(t.d.frá hjartamálum sínum), siga einum loyndarmál, lata upp
unbound	1óbundin2fríaður, bjargaður, loystur (úr bondumel.fjøtrum)3(um bók) óinnbundin
unbounded	1óavmarkaður, markleysur, við ongum marki, óendaligur, endaleysur, har einki mark er fyri, óskerdur2(um bók) óinnbundin, ikki innbundin
unbowed	1(forml.)sum ikki letur seg kúga, ókúgaður, ósigraður2rættur, beinur
unbrace	1loysa, lina2slaka, geva út, isa, lora, lina3taka sær av løttum, (tlm.) slappa av
unbracket	klombrur enda;unbracketedsum ikki stendur í klombrum
unbreakable	1sum ikki brotnar;(fakl.)brotdyggur2(um reglu, áseting) sum ikki má broytast3(um dirvi) sum ikki letur seg basa
unbred	óvandur, ófólkaligur, óflongdur, illa vandur, óskikkiligur; sum onga læruel.skúling hevur
unbridgeable	sum ikki er vinnandi á, sum ikki slepst uppum, ógongdur;unbridgeable gulfógongd gjógv
unbridle	1loysa meilina;-dvið ongari meil2(bú.)the forces of world capitalist market were unbridled and spread quicklyforðingarnar vóru strikaðar, og mátturin í kapitalistmarknaðinum spreiddist skjótt
unbridled	(fl.m.)óspektur, ótamdur, óstýriligur, ólátaður, sum ikki hevur fyrilit, fyrilitsleysur, ansaleysur
unbroken	1óbrotin, heilur(t.d.glass)2(um gongd, tíð) støðugur, áhaldandi, áhaldin, uttan íhald, óslitin, samfeldur(t.d.í trý samfeld ár), varandi, framhaldandi, samfastur, sífeldur, tráur(t.d.vindur), sam-(t.d.samveðurel.samviðri), (um vindeis.)sívindaður(t.d.vesturættin er so sívindað)3(um fólk) ikki kúgaður, ókúgaður, sum ikki letur seg basa4(um ross) ótamdur5(um jørð) óveltur, ódyrkaður6[íyms.samb.]an unbroken recordmet, sum framvegis stendur
unbuckle	loysa(t.d.reim)
unbudgeable	óvikandi, óvikaligur, óvikiligur, stinnur, avgjørdur, støðufastur, rimmarfastur, óbendiligur, fastur sum í berginum, sum ikki slakar, sum ikki fer frá sínum, áráðin
unbudging	sum slakar ikki, sum fer ikki frá sínum, óvikandi
unbuild	ríva niður (t.d.a house)
unbundle	syndra (sundur), loysa sundur; taka sundur, skilja sundur
unbundled	(teld:um forrit, tólbúnað) seldur í smáumel.hvørt sær
unbundling	(teld.)søla av forritum og tólbúnaðum í smáumel.hvørt sær
unbung	sláa spunslið úr (t.d.a cask)
unburden	lætta;unburden one’s consciencelætta samvitskuna;unburden oneself tosiga einum frá(t.d.vandamálum sínum), siga einum(t.d.loyndarmál)
unbuttable	sum stendur rimmarfast, sum ikki rekst aftur, sum vikast ikki, sum ryggjast ikki, sum svitast ikki, óvikiligur
unbutton	kneppael.knappa upp
unbuttoned	1ókneptur, óknappaður2(fl.m.)fríur, óformligur
uncalled	1ókallaður2(handilsm.)uncalled capitalikki inngoldið fæfeingi, ikki inngoldin kapitalur3uncalled-forsítað
uncalled-for	óynsktur, óbiðin, óboðin, ókravdur, óneyðugur, óhóskandi (t.d.remark)
uncanny	1óhugnaligur, óunniligur, ódámligur (t.d.an uncanny feeling that she was being watched);gátuførur, trølsligur, ónatúrligur, dularfullur, yvirnatúrligur, óvanligur (t.d.anuncannysense of direction;he has an uncanny ability to pick a winner)2ótrúligur, ómetaligur, ófatiligur (t.d.with uncanny accuracy; the resemblance is uncanny )
uncap	fara úr(t.d.húgvu), strúka húgvuna av; taka lok av; (um fløsku) lata upp
uncapped	three previously uncapped players have been selectedtríggir leikarar, sum ikki áður hava spælt á landsliðinum, eru úttiknir
uncapsizable	sum hvølvist ikki
uncared-for	órøktur, sum eingin skoytir um, sum ongan góðan hevur
uncaring	líkasælur (t.d.attitude);sum ikki hevur samkenslu, harðhjartaður, kaldligur
uncase	taka upp úr (pakka); avdúka
uncashed	ikki innloystur (t.d.cheque)
unceasing	støðugur, áhaldandi, sum er í heilum, sum ikki slitnar sundur, sum ikki helmar í, alsamur, uttan íhald, við ongum steðgeel.sliti
unceremonious	1(um framsøgn/útsøgn) óhátíðarligur, formleysur2(um framferð) sum sigur tað bart út; sum einki ger burturúr
unceremoniously	sum um einki var, uttan orð ella boð(t.d.uttan orð ella boð reistist hann frá borðinum og fór); uttan nakað hávasták/hóvasták
uncertain	1óvissur, ivandi, ótryggur; sul ilt er at siga nakað um, sum illa ber til at siga við vissu (t.d.our plans are still uncertain)2(um framtíðina) óvissur, ivasamur (t.d.future; it is uncertain whether he will come)3(um veðrið) svikaligur (t.d.uncertain weather)4[íyms. samb.]of uncertain ageilt at siga við vissu, hvussu gamal hann//hon//tað er;in no uncertain termssagt stutt og greitt
uncertainty	óvissa, ivi; ótryggleiki
unchain	loysa (úr leinkjum/fjøtrum), sleppa (einum) leysum
unchallengeable	óreingiligur, ónoktandi, sum ryggjast ikki, sum eingin ivi kann verða um
unchallenged	1(um framsøgn, útsøgn) ómótmæltur, sum ikki er mótmæltur2(um leiðara) viðurkendur av øllum, sum eingin ivi er um, sum øll styðja3(tá ið ein ferðast) uttan at verða steðgaður, ótarnaður
unchangable	óbroytiligur, óbroytandi, sum ikki broytist
unchanging	óbroytiligur, óbroytandi, sum ikki broytist
uncharitable	1miskunnarleysur, harðhjartaður, harður; strangur, kaldur, grótharður, jarnharður, eirindaleysur, náðileysur2sum finst hvassliga at,(tlm.)fordømandi;put an uncharitable interpretation onat leggja tað versta í eitt
uncharted	ikki kortlagdur; ókendur, ókunnigur, ógranskaður, ókannaður;be in uncharted territory/waters (fl.m.)vera á ókendum leiðum
unchecked	1ótálmaður, ótarnaður2sum eingin hevur eftirlit við3óstýriligur, óspektur, ótamdur, ólátaður, sum hevur ikki fyrilit, fyrilitsleysur, ansaleysur
unchewed	ótugdur;they swallowed the food without chewing ittey svølgdu matin ótugdan
unchristian	1ikki kristin; ókristiligur;go unchristianverða avkristnaður2(flm.) ókristiligur (t.d.price)
unciform	krókbogin, krókskapaður
uncircumsised	óumskorin
uncivil	1ófólkaligur2illa vandur
uncivilized	1frumstaddur (t.d.tribe)2ómentaður, ósiðmentaður, ósiðaður, óskúlaður; ófantaligur, grovur
unclad	1tátavunclothe2tát lh, lí ongum klæðum, nakin
unclaimed	óheintaður, sum eingin kannar sær
unclarified	ógreiddur, óloystur, sum ikki er greiddur (enn), sum onga loysn hevur fingið
unclasp	krøkjael.hekta upp; loysa(t.d.spenni); lata upp
unclassifiable	sum ikki ber til at flokka, sum ikki ber til at skipa í bólkarel.deildir
unclassified	(viðv.skjølum) sum almenningurin sleppur framat, ikki loyniligur, alment atkomuligt
uncle	móðurbróðir, morbróðir, faðirbróðir, farbróðir, maður at fasturel.mostur, gubbi,(eis.nýtt um veðlánara);cry/say unclegevast (á hendur), geva skarvin yvir
unclean	skitin, ikki reinur, dálkaður, grómutur
unclear	óklárur, gruggutur;unclear about/as toí iva um
Uncle Sam	USA, Sam gubbi
Uncle Tom	(am., niðr.)[svartur maður sum roynir at vera væl við tey hvítu, sum roynir at toknast teimum hvítu]
uncloak	1fara úr frakka2(fl.m.)avdúka
unclog	opa/reinsa;unclog a drainopa/reinsa tipta frárenning
unclose	1lata upp2avdúka
unclosed	1upplatin2(um mál) óavgjørdur, sum ikki hevur fingið endaliga viðgerð
unclothe	lata úr
unclothed	óílatin, ikki ílatin, nakin
unclouded	heiður, skýleysur, klárur, ljósur;unclouded happinessgleði, sum einki órógvar
unclubbable	1ótillagaður, ikki tillagaður, ósosialur;unclubbable boysdreingir við tillagingartrupulleikum2sum ikki er vertskapligur (ikki vertskapsfólk), lítið vertskapligur
unclutter	rudda, hampa um, beina burtur (t.d.unclutter the garage)
uncluttered	1ruddiligur (t.d.a clean, uncluttered home will always appear elegant)2einfaldur; ikki ovurprýddur; ikki ov fullur, ikki ovfyltur, ikki rokafullur, ikki floytifullur, ikki kjokkfullur, ikki troðfullur, ikki á tremur, ikki yvirfyltur
unco1	(á skotskum) margháttligur, løgin
unco2	(á skotskum) avbragds-, framúr;the unco guid (niðr.)tey heilagu
uncoil	1vinda burtur av, rulla út2(við ongum ávirki) rulla seg út (t.d.the rope -ed)3(um fólk) rætta seg upp
uncoloured	1ikki litaður, ólitaður2(fl.m.,um frásøgn) uttan at gera ov nógv av, uttan skrøgg, sum eitt í royndum er
uncombed	ógreiddur, ókembdur
un-come-at-able,uncomeatable	(tlm.)svinnur
