w.	(st.)1weight2with
wady	1síwadi2[fólk sum úr Meksiko roynir at sníkja seg inn í USA]
wafer1	1(tunn keks) ísvafla, vafla;thin as a waferpappírstunnur2(átr.)altarbreyð3(reytt) pappírsinnsigli (at líma á brævbjálva)
wafer2	innsiglael.lata aftur við pappírsinnsigli
wafer biscuit	vafla (sum verðure etin aftur við ísi)
wafer-thin	1(um fólk) pappírsligur, ógvuliga klænur2ógvuliga tepur (t.d.majority)
waffle1	1(kaka) vafla2(tlm.)tvætl, møsn, roksan aftur og fram, vevjan uppísaman; at tøva
waffle2	1tvætla, møsna, roksa, vevja uppísaman2(serst. am.)tosa uttanum, mala uttanum, tøva
waffle iron	vaflujarn
waffling	(tlm.)ógreiður, óklárur, óskilligur
waft1	1lot2angi, roykur
waft2	(gl., sigl.) langt signalflagg (sum gongur út í spíss)
waft3	verða borin, koma rekandi, reka (ígjøgnum luftina) (t.d.cooking smells -ed along the hall; the smell of bacon -ed out from the kitchen)
wag1	1(um hund) at láta við halanum2skálkur, íspegil, kúllur, stavnur;play the wag from school (avstr.)skulka
wag2	1peiggja við, flyta eitt (spakuliga upp og niðurel.aftur og fram), (um høvdið) rista við, skaka við (høvur), (um halan á hundi) láta; (um fugl) drifta(t.d.fuglurin drifti velinum)2(við ongum ávirki) sveiggja, dingla, darla, rørast3rýma, sleppa sær búrtur; skulka4[íyms. samb.]his tongue -s incessantlyhatta tegir ongantíð, leikindini ganga í heilum á honum;tongues are waggingtað gongur sum rótasúpan;he wagged his finger at me (uml.)hann lyfti fremstafingri ávarandi ímóti mær
wage1	løn, arbeiðsløn;the -s of sin is deathløn syndarinnar er deyði (Róm. 6, 23)
wage2	wage war fara í hernað ímóti, kríggjast, hava kríggj, fara í kríggj við
wage bill	lønarútreiðslur (flt), lønarkostnaður; lønir
wage bracket	lønarflokkur
wage contract	lønarsáttmáli
wage differential	lønarmunur
wage dispute	lønarstríð, lønarósemja
wage drift	lønarvøkstur, lønarglíðing
wage-earner	løntakari, yrkistakari; eis.salary earner
wage freeze	lønarsteðgur; eis.pay freeze, salary freeze
wage hike	(am.) lønarhækking; sípay increaseel.wage increase
wage increase	lønarhækking; eis.pay increase
wage level	lønarstig
wage packet	lønarbjálvi
wage pause	lønarsteðgur
wage-push inflation	(bú.)dýrtíð/inflatión sum stavar frá lønartrýsti/lønarglíðing
wager1	1tað ið er lagt á í vedding, spælipeningur, puljael.innsatsur2vedding
wager2	vedda, vedda um, seta í veð, satsa uppá;I’ll wager that (gl.)eg veddi uppá at
wage rate	lønarstig, lønarsatsur
wage restraint	hóvsemi í lønarkrøvum, at vera hóvligur í lønarkrøvum
wage scale	lønartalva; eis.wage table
wage settlement	(eftir samráðingar) lønarsemja
wage sheet	1lønarlisti2lønarkostnaður
wages office	lønarskrivstova
wage talks	lønarsamráðingar
wageworker	arbeiðsmaður, verkamaður
waggery	fjákalótir, fjant, fják, skálkabrøgd, skemt
waggish	(gl. tlm.)skemtandi, skemtingarsamur, kátur
waggle1	1sveiggjan, dandan, ristan, vríggjan2(um hala) at láta við
waggle2	1sveiggja, fara aftur og fram, vríggja, danda, rista2(um hala á hundi) láta við
waggly	1óstøðugur, vinglandi2vríggjandi, sum vríggjar3sum letur við (halanum)
wagon	1vognur, arbeiðsvognur2(jarnbr.)góðsvognur3(hjá børnum) spælivognur4[íyms. samb.]be/go on the (water) wagonStað at vera turrlagdur, verða/gerast fráhaldsmaður;fall off the wagondetta útí (fara at drekka aftur);hitch one’s wagon to a starseta sær høg mál
wagoner	vognstýrari
wagonette	(gl.)[fýrahjólaður vognur við tveimum síðubeinkjum aftan fyri vognstýraran]
wagon-lit	(fr.)svøvnvognur, sovivognur (í toki)
wagtail	(dý.)citrine wagtail mýrierla(Motacilla citreola); grey wagtailáarerla(Motacilla cinera); white wagtailerla kongsdóttir(Motacilla alba)
wahhey,wahoo	síyahoo
waif	1(um fólk) heimleyst barn, vanrøkt barn2strokahundur, útiløgukattur;waifs and straysbørn ið ongan góðan eiga og sum reika runt og bidda
wail1	1gremjan, venan, eymkan; harmur2(um lúður, vind) ýl, ýlan
wail2	gremja seg, geva seg, eymka seg, vena seg, lemja seg, gráta og illa láta; gráta; gremja seg um, gráta um, sorka, vera harmur um;the Wailing Wallgrátimúrurin (í Jerusalem)
WailingWall	the Wailing Wallgrátumúrurin (í Jerúsalem)
wain	(gl., skaldsk.)vognur, vagnur
wainscot1	bróstaviður, bróstaklæðing, veggklædningur, panel
wainscot2	brósta, klæða við viði
wainscoted	klæddur við viði
wainscoting	bróstaklæðing, panel; tilfar til bróstaklæðing
waist	1lív, miðja (t.d.he put his arms around her waist); stripped to the waistberur upptil2(mál) síwaistline3(partur av kjólao.tíl.)lív4(am. eis.)blusa; kjólalív5miðjan á einum6(partur av luti) miðja (av einum)
waistband	1líning (á skjúrti), kjólalíning; buksulíning, brókalíning2belti, reim
waistbelt	belti, reim
waistcoat	vestur, troyggja
waist-deep	sum røkkur upp á miðju (t.d.she was waist-deep in water)
waist-high	sum røkkur upp á miðju
waistline	1miðjuvídd, vídd um miðjuna2(sum partur av kjóla) miðja, lív
waistliner	it is a -liner hatta fitar
waist pettie	undirskjúrt (við elastikki)
wait1	1at bíða, bíðitíð, bíðingartíð (t.d.a long wait; there is a 10-minutes’ wait between the trains)2[íyms.samb.]lie in wait forliggja og lúra eftir einum; (sí eis.waits)
wait2	1bíða; vita, hvussu fer2(um akfar) bíða (t.d.the car was -ing at the door)3(við ávirki) bíða eftir einum;wait one’s chancetaka sær løgir;wait one’s turnbíða til tess ein eigur4[íyms. samb.]be -ingliggja og bíða (t.d.the report was -ing when we came back)5[ísamb. viðfs//hj]waitabout/aroundsita (stillur) og einki gera(t.d.tí ein bíðar eftir onkrum);waitattable(s) (forml.)ganga fyri borðum, ganga til handa,(tlm.)varta upp;waitbehindsita eftir, eftir at hini eru farin;waitforbíða eftir;wait dinner for sbyikki fara til borðs, fyrr enn ein er komin;wait for it! (tlm.)1bint frið!; sissa teg!2(sum inngangsorð ísamb.við eitthvørt, sum fer at gera fólk kløkk) ja bíðið, nú skulu tit hoyra!;waitforsby//sthtobíða eftir einum at (t.d.wait for her to make the first move; wait for the weather to improve); waitinbíða heima eftir onkrum;waiton 1bíða eftir (t.d.the outcome)2borðreiða, ganga fyri borðum; borðreiða fyri einum, seta á borðið, varta ein upp; avgreiða ein (t.d.will you wait on me?)3(am.)bíða eftir4avgreiða (viðskiftafólk)5(gl.)vitja ein; fara í fríggjaraørindum til ein(s);wait on sby hand and footvera findarblíður við ein, bera ein á lógvum;may good luck waitup onyougóð lukka í teg, eydnan fylgi tær;wait sthoutbíða inntil eitt er av (t.d.we sheltered in a doorway to wait out the storm); wait tobíða eftir at (t.d.get on the bus);-ing to happensum kann henda hvørja løtu; sum liggur og bølirwaitup(am.)bíða//bíðið eftir mær (gakk//gangið ikki so skjótt); bíða//bíðið eitt sindur;waitup forsita uppi og bíða eftir (t.d.for sby)
waiter	1tænari2bakki at hava matel.drykkjuvørur á
waitestate	(teld.)bíðistøða
waiting	1at bíða, bíðing2borðreiðing, at ganga til handa, servering
waiting game	play a waiting game game1bíða sær løgir2reka drákpolitikkel.køvingarpolitikk (so at avgerðirnar koma í drák)
waiting list	bíðilisti (eftirt.d.at sleppa í skúla, á sjúkrahúsosfr.)
waiting maid	kamargenta
waiting man	tænari
waiting period	(eis. trygg.)bíðitíð
waiting room	1bíðistova, bíðirúm2(jarnbr.)bíðirúm, bíðisalur
waiting staff	borðreiðingarfólk
waitingwoman	síwaiting maid
waitress	borðterna, borðreiðslugenta, borðreiðslukona,(tlm.)serveringardama, servitrisa
waits	býartónleikarar; jólatónleikarar, jólasangarar
waive	1(forml.)sleppa einum, siga frá sær (t.d.waive a right); the politician waived any right to privacy with his scandals politikarinsegði privatlívið frá sær í sambandi við gølurnar, hann hevði fløkt seg inn í2(forml.)lata fara (í fyrstu syftu)m síggja av (einum) (t.d.waive formalities)3(forml.)kveistra burtur, kveistra frá sær, kasta aftur, vísa burtur, havna
waiver	1(løgfr.)uppgáva, frágangur2tað ikki at broyta hugsan (t.dthe president did not waiver in his belief in him)
wake1	1(írskt) vøkunátt, vøka (uppi yvir deyðum fólki)2ervi3(sigl.)kjalarvørrur;in the wake of (eis. fl.m.)í kjalarvørrinum á, beint í hølunum á4(árligur) undirhaldsmarknaður, stuttleikamarknaður (ísamb.við keypsstevnur við skemti og gaman)
wake2	1vakna, vakna upp (úr svøvni)2vera vakin3(gl.)vaka4(við ávirki) vekja ein (úr svøvni)5(gl.)vaka uppi yvir einum6[íyms. samb.]she woke mefrom/out ofa bad dreamhon vakti meg úr ringum dreymi;wake up = 1, 2; wakeup to 1vakna upp til (t.d.I woke up to a sunny day)2varna(st) eitt, skilja eitt, gerast einum greitt (t.d.realities)
wakeboard	[fjøl nýtt eins og vatnskíð]
wakeboarding	[skreiðing á stuttari, breiðari fjøl togað av motorbáti]
wake current	(sigl.) kjalarvørrur;vanl.barawake
wakeful	1vakin; alvakin, klárvakin2í andvekri, vøku- (t.d.wakeful night)
wakeless	óslitin (t.d.sleep)
waken	1vekja2vakna
wakes	(í Norðuronglandi) ídnaðarsummarfrí; (árligur) stuttleikamarknaður
wake-up call	1(serst. am.á hotelli) veking2(serst. am., fl.m.)ávaring
wakey-wakey	(tlm.)vakna, vaknið, útpurring
wale	(serst. am.)síweal1
Waler	ross ættað úr New South Wales, avstralskt ross
Wales, Cymru	(landafr.) Wales; síWelsh,Welshman
walk1	1gonga2spákingartúrur, gongutúrur, túrur (t.d.an hour’s//a five minute walk; a-three.mile walk)3(gl.)leið, ruta(t.d.hjá postbera)4ferð (t.d.a steady//slow walk)5(um ross) at ganga6gøta, stíggjur, spákingarbreyt7(gonguháttur) gongulag (t.d.a funny//stately walk; I recognized her walk; a silly walk)8(í urtagarði) gøta9[íyms. samb.]walk of lifesamfelagsstøða, starvsstøða, stætt, samfelagsstætt; (lívs)starv; (sí eis.ropewalk, sheepwalk); from all walks of lifeúr øllum samfelagsstættum;take a walk1fara út at spáka2slepp tær burtur!;take sby for a walkfara út at spáka við einum, spáka sær ein túr við einum
walk2	1[A](óáv.)1ganga, spáka, fara (t.d.go by car or walk);spáka;(serst. bíbl.um drúgva ferð) ferðast2(um ross) ganga (fet fyri fet)3(um dreygel.spøkilsi) ganga aftur, spøkja, ganga í hamferð (t.d.the ghost -s)4(tlm.,úr starvi) fara5(tlm.,um lut) hvørva; verða stolin2[B](áv.)1(á gøtu, vegi) ganga á; ganga og vála í (t.d.walk the streets)2(øki) reika, ferðast (t.d.walk the country)3(um ross) lata (tað) sleppa at ganga4(um hund) fara túr við5(um súkklu) leiða6(um fólk) fara við, fylgja einum til (t.d.walk him to the bus stop)7(við hørðum) draga, hála (t.d.they -ed him out of the room);draga ein runt í (t.d.walk sby all over the town); walk sby homefylgja einum til hús, fylgja einum heim8(tlm.um royndo.tíl.)greiða eitt væl og virðiliga, standa seg væl (t.d.an exam; an interview)3[ísamb. viðn]walk the boardsleika á palli;walk the chalk1prógva, at ein er edrúur við at ganga eftir hvítari kritstriku2(fl.m.) skikka sær væl, duga sær hógv, ansa sær;walk the plank1(um fanga hjá sjórænarum) ganga plankan (út)2(fl.m.) verða koyrdur, fáa sekkin;walk the streets(um skøkju/horu) ganga og dyrgja á gøtuni, dyrgja;walk the walkhalda orð,we're environmentalists who walk the walkvið eru umhvørvisfólk ið gera tað vit siga/halda tað vit lova4[ísamb. viðfs//hj]walkaway 1fara, rýma (t.d.she -ed away laughing)2(um rýming) leypast, rýma, fara til stroks;walkaway from 1rýma frá, smoyggja sær burtur frá, skáka sær undan (t.d.a problem);ikki taka við (t.d.a challenge)2(fl.m.)vinna lættliga á, vinda burturúr;walkaway with 1vinna lættliga (t.d.the election)2fáa, vinna (t.d.walk away with the first prize)3stjala, nápa;walkinganga seg beint inn í;walkin onfara brestandi inn, kløkka;walkinto 1ganga seg inn í; renna beint á (t.d.walk into a lamppost)2fáa arbeiði uttan roks (t.d.walk into a job)3(fl.m.)eta (gramliga), leggja í vaðið (t.d.walk into a cutlet);deila;walk into the trapfara beint/lúkst í felluna;walkoff 1rýma, fara2(við ávirki)walkoffa headachefara út at ganga fyri at fáa høvuðverkin at hvørva;he -ed me offhann fór (avstað) við mær;walk sby off his feetpøsa ein, lúgva ein;walkoff with 1fara (avstað) við (t.d.walk off with sby’s wife)2fáa, vinna (t.d.walk off with the first prize); he -ed off with the show (sjónl.)hann stjól/tók alla leikmyndina, fólk sóu bara hann;walkon(sjónl.)vera tiltaksleikari;walk on airkenna seg væl fyri;walkout(tlm.)fara í verkfall; rýma (av fundi fyri at vísa misnøgd);walkout onsleppa einum upp á fjall, svíkja ein, rýma frá, venda sær frá einum, venda einum bakið, kasta ein, sláa hondina av (einum), skúgva (ein) burtur;the students -ed out on the professorstudentarnir rýmdu frá fyrilestrinum hjá professaranum;the young man she -sout with(hasin) ungi maðurin, hon gongur saman við;walk (all)oversby (tlm.)1vinna lættliga á einum2fara illa við einum, ‘traðka’ á ein, fara við einum sum hundi;walkthrough(fl.m.)læra ein eitt, ganga ígjøgnum eitt við einum (t.d.walk her through the reasons for doing it)
walkabout	1at ganga og válael.reika; spákingartúrur2[íyms. samb.]go walkabout1(um tey kongligu) ganga ein túr; ganga runt og tosa við fólk2(avstr.,um upprunafólk) fara út í oyðiland at finna røturnar3(ítr.,um leikara) ikki førur fyri at savna seg um dystin, vera hugspjaddur4(skemt.;um lut) hvørva, fara undir heilt
walkaway	(am. tlm.)lættur sigur; lættliga vunnin dystur
walker	1gangandi (fólk), gongumaður, gongufólk;I am not much of a walkereg gangi ikki nógv; eg eri eingin gongumaður2(hjá avlamisfólki) gongugrind, gongustativ, rullistativ
walker-on	(sjónl.)leikloysingur, ífylluleikari, statistur
walkies	(sagt við hund):go walkiesganga túr
walkie-talkie	farradiotelefon, walkie-talkie
walk-in	1so stórur at tað slepst inn í tað (t.d.a walk-in cupboard)2(am.)sum farast kann inn í beint frá gøtuni (t.d.a walk-in apartment)
walking1	1gonga, gongutúrar2síwalkingrace3geingi;the walking is slipperyringt geingi
walking2	gongu- (t.d.boots; shoes)
walking delegate	[umboð fyri yrkisfeløg sum vitjar arbeiðspláss]
walking frame	(hjá avlamisfólki) gongugrind, gongustativ
walking papers	(am.)uppsagnarbræv, uppsøgn, frákoyring
walking part	leiklutur sum ífylluleikari/statistur
walking race	kappgonga
walking stick	stavur
walking tour	gongutúrur, gonguferð
walk-on	(sjónl.)leikloysingur, ífylluleikari, statistur
walk-on part	leiklutur sum ífylluleikari/statistur; at hava lítlan leiklut
walkout	1mótmælisverkfall (at rýma av arbeiðsplássinum)2at rýmael.fara sum mótmæli
walkover	1(tlm.)lættur sigur; lættliga vunnin dystur2(stjm.)val við ongum mótvalevni
walk-up1	(am., tlm.)lyftuleys bústaðahús, fjølbýlishús við ongari lyftu//ongum lyftum
walk-up2	(am. tlm.)við ongari lyftu
walkway	takt gongubrúgv
wall1	1garður, múrur2í rúmi) bróst, veggur3(í víggirðing) verjugarður, vallgarður, virki4(fyri brimi, vatnflóð) verjugarður byrging, flóðgarður, brimgarður5(á kassa) síða6(likam.)veggur7(fl.m.)múrur (t.d.a wall of silence)8[íyms. samb.]the Wall (sø.)berlinarmúrurin;wallofdeathdeyðans veggur (har menn á motorsúkklum koyra á steyrrættum veggjum);takethe wallganga næst húsaveggi9[ísamb. viðfs]bang one’s headagainsta wall (fl.m.)renna seg fastan;offthe wall (am. tlm.)1síoff-the-wall2í øðini(overum; t.d.he was off the wall over the incident)3(um skuldseting) ógrundaður, sum einki hald eru í, sum er burtur av allari leið;have one’s backtothe wall (fl.m.)vera illa kroystur, hava gingið seg fastan;drive sbytothe wall (fl.m.)gera, at ein verður illa fyri;go to the wall (fl.m., tlm.)1verða skumpaður til viks, víkja; lúta; liggja undir, vera við undirlutan2(um handil) fara á heysin;push sby to the wallskumpa ein til viks;drive sbyupthe wall (tlm.)gera ein spinnandi óðan í høvdinum (sansaleysan);drive sby up against the wall=drive sby to the wall (tlm.)gera, at ein verður í øðini;go up the wall (tlm.)gerast/verða í øðini
wall2	wall in1múra inni, steingja inni2girða við garði (t.d.a garden);víggirða;wall offskilja sundur við garði//veggi; skildra sundur/av;wall up1múra aftur (t.d.a window)2(fólk) múra inni
wallaby	(dý., avstr.)harukenguru, vallabia, vallabi (smávaksið kenguruslag avMacropus-ættini)
walla(h)	(tlm., í samansetingum)-maður//-kona (í India, fólk í ávísum starvi, t.d.the laundry walla(h); a ticket walla(h))
wallaroo	(dý.)stórvaksið kenguruslag
wall bar	(til fimleik) rim
wallboard	(am.) bróstpláta; síplasterboard
wall bracket	veggoki
wallchart	veggjarmyndatalva (at heingja upp á bróstið til skúlabrúks)
wallcovering	bróstklæðing
wall-cress	(plfr.)fjallakarsi(Arabis)
walled	umgirdur við múri, innilokaður
wallet	1pengamappa2(gl.)biddaraposi, posaprinsur
walleye	1(dýralfr.)glareyga, glígginieyga2at vera rangoygdur (úteftir)
walleyed	(am.)rangoygdur, sum skeitir úteftir
wallflower	1(plfr.)gyllinilakkur, morgylta (skreytblóma)(Cheiranthus cheiri)2(fl.m.)veggjaprýði3smæðin genta (um konufólk ið situr og ongan dans fær)
wall fruit	[frukt av klivplantum, sum krøkja seg í vakstrargrind]
wall garden	múrgirdur urta-el.blómugarður
wall hanging	vegg(jar)tjald, veggjarteppi
wall knot	(sigl.)slag av knúti
wall mirror	bróstspegl, bróstspegil
Wall of Death	deyðans veggur (har menn á motorsúkklum koyra á steyrrættum veggjum)
Walloon1	valloni (franskmæltur belgiumaður)
Walloon2	1vallonskur2vallonskt (mál)
wallop1	1dygtel.meint slag; slagmáttur2Srúsdrekka,(serst.)øl, bjór (t.d.a quick bite and a pint of wallop)3with a wallopvið buldur og brak; puts hey, dums (t.d.down he went with a wallopputs hey, har lá hann);he landed wallop in the mudvið einum dumsi datt hann í díki; hann datt í díki, so langur hann var
wallop2	(tlm.)smyrja, bukael.lemja av, sláa, vinda burtur úr (einum)
walloping1	(tlm.)ósigur, avsmyrjing, avsmurningur, avbuking, at vera avhølvaður
walloping2	veldigur, øgiligur, ómetaligur
wallow1	1at svimja í (einum), at bólta sær, at dusa sær í2(stað har dýr grópa og veltast) runudíki
wallow2	rulla, veltast, velta sær,(fl.m. eis.)bólta sær(iní einum);be -ing in moneypeningur trýtur honum//henni ikki, svimja í pengum
wall painting	veggmálningur, veggjarmálningur, bróstmálningur, kálkmálningur, fresko (málningur ið er málaður beinleiðis á bróstið)
wallpaper	tapet, veggpappír
wallpaper music	bakgrundstónleikur, tónleikur aftanfyri
wallpaper stripper	tapetloysari (guvutól)
wall plate	(handv.)syll, múrlekt
wall plug	(ravm.)stunguteygil, grúgva, stikkkontakt
wall ribs	veggrimar, bróstrimar (til kropsvenjingar)
wall seat	1bonkur fram við brósti2(á matstovu) veggjarpláss, pláss við stovubróstið
wallsheet	veggjarmyndatalva (at heingja upp á bróstið til skúlabrúks)
wall sign	skjaldrarlýsing (stór lýsing ið fevnir um allan skjøldurin)
wall socket	(ravm.) stikkkontakt, stungudós
Wall Street	[gøta á Manhattan í New York (amerikanski fíggjarmiðdepilin)]
wall table	matborð har sum annar endin er festur í bróstið (t.d.í borðkróki)
wall tie	(handv.)múrakker
wall-to-wall	1horn í horn (t.d.carpet), sum røkkur úr veggi til vegg2(fl.m.)lýstur út í æsir (t.d.coverage of the event);hópur av (t.d.parties)
wall unit	veggjarskáp
wally	(tlm.)býttlingur, tápulingur, tvass, møsn, goffari, greytheili, ney, dylhøvd, apuspjót
walnut	1(plfr.)valnøt2(tilfar) nøtarviður
Walpurgis Night	valborgarmessunátt, valborgarmessuaftanskvøld (náttin til 1. mai)
walrus	(dý.)roysningur(Odobenus rosmarus)
waltz1	1valsur2(tlm.)eitt ið er einki fyri
waltz2	valsa, dansa vals (við);(tlm., fl.m.) waltz off withfara við;waltz throughklára lættliga
wambling	1støplandi, sløðrandi, stakrandi, sum støplar/sløðrar/stakrar2vánaligur, ódugnaligur (t.d.teacher)
wan	1bleikur, gráurel.gulur í andliti, sum eitt grámilti í andlitinum2linur, veikur (t.d.smile)
wand	1stavur2gandastavur, rúnarkelvi3(tónl.)taktpinnur
wander1	spákingartúrur
wander2	1ganga, reika (t.d.through the streets)2(longur burtur) strúka, flakka, valtra3(um eygnabrá) flákra4(um gøtu, á) buktaskjótast, fara í buktum, lykkjuskjótast5(við ávirki) ganga runt í (t.d.she found him -ing the streets);reika runt í (t.d.the countryside6[íyms.samb.]my attention -edeg hevði ilt við at savna meg (um málið), eg fylgdi ikki við (eina løtu);my thoughts/mind -edtankarnir reikaðu;his mind is beginning to wander(um gomul) hann er ikki altíð klárur, hann er í ørviti viðhvørt7[ísamb. viðfs//hj]wanderfromthe pointvíkja frá málinum;wanderofffara út einsamallur, vála runt;wander off the pointvíkja frá málinum;his eyes/gaze -ed to the TVeygu hansara leitaðu yvir at sjónvarpsskíggjanum
wanderer	1ferðamaður, ferðandi sveinur2(fólk ið ferðast úr stað í stað uttan at hava serstaka ætlan við tí) fjakkari, farumkring
wandering	1sum ferðast, ferðandi2reikandi, sum reikar, valtrandi, sum valtrar, flakkandi, sum flakkar, stroka-3óstøðugur, flakkandi (t.d.wandering eyes)4(um talu) ósamanhangandi
Wandering Jew	the Wandering Jew ævinligi/ævigi jødin/gýðingurin
wandering rheumatism	(lækn.) flog, flogstingur
wanderings	(skaldsk.)ferðing, at ferðast, valtran, flakkan, flakk, reiking, reikan
wanderlust	ferðahugur
wane1	1minking, lækkan, niðurgongd2(um mánan) skerjing, minking(t.d.nú er skerjandi sól; mánin minkar);on the waneí minking, lækkandi, dalandi; í afturgongd3(handv.)vankantur (á timbri)
wane2	minka, hvøkka, líða, halla, hvørva, lækka, dala, fjara burtur; (t.d.the power of the landowners waned during this periodvaldið hjá jarðardráttunum fjaraði spakuliga burtur í hesum tíðarskeiði
waney	við vankanti
wangle1	(tlm., fl.m.)snild, snildir(flt),pret, finka, vælir, triks
wangle2	1(tlm.)fáael.útvega sær við snildum (t.d.I -d an invitation out of George)2fáa í lag;he managed to wangle his leavehann fekk borið tað soleiðis í bandi, at hann fekk farloyvi
wank1	have a wank; sí wank2
wank2	(óvand.)fleyga sær
wanker	(óvand.)neyt, býttlingur, tápulingur, vøttur, hosa, kloddi
wanky	Sbýttligur, býttisligur, fjákutur, fávitskutur
wanna	(tlm.)= want to
wannabe	(tlm.)hermari, hermikráka, eftirapari
want1	1trot, skortur,(tlm.)mangul (t.d.supply);neyð2(um kenslur) saknur (t.d.he felt a vague want; a long-felt want)3trong kor (t.d.live in want),fátækt; neyð (t.d.freedom from want)4-s flttørvur, áneyðir, neyðsyn (t.d.my wants are fewmær tørvar ikki nógv)5[ísamb. viðof]want of-trot(t.d.orkutrot), -skortur(t.d.rávøruskortur), -neyð(t.d. vatnneyð, hoyneyð), -loysi(t.d. fiskaloysi) (t.d.it revealed a want of skilltað sást á øllum brøgdum/sjónligt, at dugnaskapur vantaði);for/from want of (forml.)at eitt vantar/vantaðiel.skortar/skortaði;it was not for want of tryingtað var ikki tí, at tey//hanno.tíl.ikki royndu//royndi;be in want of1einum tørvar (t.d.a hair-cut)2tørva, vanta, mangla (einum tørvar/vantar/manglar)
