y.	(st.)year(s)
yatter1	(tlm.,um fólk) suss, sjóð, møsn, roks, snakk, bjarv
yatter2	sussa, sjóða, møsna, roksa, snakka, bjarva
yaw1	(sigl., flogm.)at gira /gi-/, giran, at vera óstøðugur á kósini
yaw2	(sigl., flogm.)gira /gi-/, mala illa, vera óstøðugur á kósini (helst í undangongu)
yawl	1(sigl.)jolla /-ll-/, árabátur2(sigl.)tvímastrað skip (har afturmastur er munandi lægri enn frammastur)
yawn1	1geisp, geispan; at gapa2(fl.m.)ógvuliga keðilig søga, veitslael.hending(o.tíl.)(t.d.the movie//party was a yawn); what a yawn!harragud sum tað er//var keðiligt3keðiligt fólk; keðiligur lutur, keðiligt ting
yawn2	geispa; gapa;yawn one’s head offgapa/geispa so at kjálkabeinini fara úr lið; fáa ganir av einum;a yawning chasmsteyrrætt dýpi;an old man, with the grave yawning in front of himgamal maður ið stendur við øðrum beininum/fótinum í grøvini;yawn a replysvara geispandi
yawp1	kjaftaslit
yawp2	gáka; kjaftast
yaws	(lækn., hitalandssjúka)yaws, guineakoynur, framboesia, hindberjasjúka
Ychromosome	y-kromosom
yclept	(gl.)kallaður, róptur, nevndur
yd	yard, yards
ye1	(gl. el. skotskt)tit (t.d.ye gods!);tygum
ye2	(gl.)the (t.d.Ye Olde Tea Shoppe)
yea1	(am.) yeajaatkvøða
yea2	(gl.)ja
yeah	(serst. am. tlm.)ja; so?
yealing	(skotskt) javnaldri
yean	(um seyð, geit) lemba
yeanling	1lamb; geitarlamb2nýlembt lamb, nýlembt
year	1ár;once a yeareina ferð um árið2árgangur /år-/ (t.d.the girls of my year)3[íyms. samb.]the first and second -s(um næmingar, studentar) fyrsta og annað árs næmingar//studentar;last yearí fjør;the year before lastfyrraárið;this time last yearí fjør um hetta mundið;this yearí ár; (handilsm.)year to date ár til dagfesting, higartil í ár4[ísamb. viðs]put -s on sbygera ein nógv eldri; gera, at ein eldist nógv ár;take -s off sbygera, at ein yngist nógv; gera, at tað lætnar fyri einum5[ísamb. viðfs]oldbeforeone’s -saldur sæst//sást skjótt á einum;wisebeyondone’s -sklókur eftir aldrinum; nógv klókari eftir aldrinum enn, ein hevði væntað;yearbyyearár um ár;for-s,in-s í mong ár;a manofhis -sein maður á hansara aldri;overthe -s sum frá líður;peryear um árið
yearbook	árbók
year-end closure	ársendi, árslok
yearling	1ársgamalt barn2veturgamal;a yearling ramveturgamal veðrur
yearlong	sum varirel.hevur vart í eitt ár
yearly	1árligur (t.d.a yearly festival)2árs- (t.d.her yearly income)
yearn	leingjast illa (einum leingist illa), tráleingjast(foreftir)
yearning1	longsil, tráan
yearning2	langtandi, trásjúkur
yearningly	langtandi
year's-end account	(handilsm.) nýggjársuppgerð (kontuútprent)
year shoot	(plfr.) árssproti
yeasayer	1jabróðir2bjartskygt fólk
yeast	ger
yeast dough	gerdeiggj
yeast plant	gerplanta
yeast powder	gerpulvur
yeasty	1sum gerar, gerkendur, ger-2skúmandi, froyðandi3(fl.m.)grunnur, grunnskygdur; sum hevur ongan frið á sær, sum hevur ófrið á sær, rusutur, sum ikki bindur frið, ófriðarligur, kvilkin
Yeats	
yegg	(am.,S)innbrotstjóvur, búrtjóvur, pengaskápstjóvur
Yehuda	(am.) jødi
yell1	ýl, skríggj, geyl
yell2	ýla, skríggja, geyla
yellow1	1gult litingarevni2gulur litur3eggjarreyði
yellow2	gulna, verða gulur, lita gulan
yellow3	1gulur2Sræddur, sum er ein ræðuskítur3(um blað) gølu- (t.d.journalism)
yellow-band	[(lyktarpelio.tíl.) merktur við gulum strípum sum tekin um at parkering er bannað]
yellow-bellied	Sræddur, mótlítil, ódjarvur
yellow-bellied sapsucker	(dý.)reyð spónspæta(Sphyrapicus varius)
