y.	(st.)year(s)
yatter1	(tlm.,um fólk) suss, sjóð, møsn, roks, snakk, bjarv
yatter2	sussa, sjóða, møsna, roksa, snakka, bjarva
yaw1	(sigl., flogm.)at gira /gi-/, giran, at vera óstøðugur á kósini
yaw2	(sigl., flogm.)gira /gi-/, mala illa, vera óstøðugur á kósini (helst í undangongu)
yawl	1(sigl.)jolla /-ll-/, árabátur2(sigl.)tvímastrað skip (har afturmastur er munandi lægri enn frammastur)
yawn1	1geisp, geispan; at gapa2(fl.m.)ógvuliga keðilig søga, veitslael.hending(o.tíl.)(t.d.the movie//party was a yawn); what a yawn!harragud sum tað er//var keðiligt3keðiligt fólk; keðiligur lutur, keðiligt ting
yawn2	geispa; gapa;yawn one’s head offgapa/geispa so at kjálkabeinini fara úr lið; fáa ganir av einum;a yawning chasmsteyrrætt dýpi;an old man, with the grave yawning in front of himgamal maður ið stendur við øðrum beininum/fótinum í grøvini;yawn a replysvara geispandi
yawp1	kjaftaslit
yawp2	gáka; kjaftast
yaws	(lækn., hitalandssjúka)yaws, guineakoynur, framboesia, hindberjasjúka
Ychromosome	y-kromosom
yclept	(gl.)kallaður, róptur, nevndur
yd	yard, yards
ye1	(gl. el. skotskt)tit (t.d.ye gods!);tygum
ye2	(gl.)the (t.d.Ye Olde Tea Shoppe)
yea1	(am.) yeajaatkvøða
yea2	(gl.)ja
yeah	(serst. am. tlm.)ja; so?
yealing	(skotskt) javnaldri
yean	(um seyð, geit) lemba
yeanling	1lamb; geitarlamb2nýlembt lamb, nýlembt
year	1ár;once a yeareina ferð um árið2árgangur /år-/ (t.d.the girls of my year)3[íyms. samb.]the first and second -s(um næmingar, studentar) fyrsta og annað árs næmingar//studentar;last yearí fjør;the year before lastfyrraárið;this time last yearí fjør um hetta mundið;this yearí ár; (handilsm.)year to date ár til dagfesting, higartil í ár4[ísamb. viðs]put -s on sbygera ein nógv eldri; gera, at ein eldist nógv ár;take -s off sbygera, at ein yngist nógv; gera, at tað lætnar fyri einum5[ísamb. viðfs]oldbeforeone’s -saldur sæst//sást skjótt á einum;wisebeyondone’s -sklókur eftir aldrinum; nógv klókari eftir aldrinum enn, ein hevði væntað;yearbyyearár um ár;for-s,in-s í mong ár;a manofhis -sein maður á hansara aldri;overthe -s sum frá líður;peryear um árið
yearbook	árbók
year-end closure	ársendi, árslok
yearling	1ársgamalt barn2veturgamal;a yearling ramveturgamal veðrur
yearlong	sum varirel.hevur vart í eitt ár
yearly	1árligur (t.d.a yearly festival)2árs- (t.d.her yearly income)
yearn	leingjast illa (einum leingist illa), tráleingjast(foreftir)
yearning1	longsil, tráan
yearning2	langtandi, trásjúkur
yearningly	langtandi
year's-end account	(handilsm.) nýggjársuppgerð (kontuútprent)
year shoot	(plfr.) árssproti
yeasayer	1jabróðir2bjartskygt fólk
yeast	ger
yeast dough	gerdeiggj
yeast plant	gerplanta
yeast powder	gerpulvur
yeasty	1sum gerar, gerkendur, ger-2skúmandi, froyðandi3(fl.m.)grunnur, grunnskygdur; sum hevur ongan frið á sær, sum hevur ófrið á sær, rusutur, sum ikki bindur frið, ófriðarligur, kvilkin
Yeats	
yegg	(am.,S)innbrotstjóvur, búrtjóvur, pengaskápstjóvur
Yehuda	(am.) jødi
yell1	ýl, skríggj, geyl
yell2	ýla, skríggja, geyla
yellow1	1gult litingarevni2gulur litur3eggjarreyði
yellow2	gulna, verða gulur, lita gulan
yellow3	1gulur2Sræddur, sum er ein ræðuskítur3(um blað) gølu- (t.d.journalism)
yellow-band	[(lyktarpelio.tíl.) merktur við gulum strípum sum tekin um at parkering er bannað]
yellow-bellied	Sræddur, mótlítil, ódjarvur
yellow-bellied sapsucker	(dý.)reyð spónspæta(Sphyrapicus varius)
yellow-billed	(fugl.) nevgulur
yellow-billed cuckoo	(dý.)grágeykur(Coccyzus americanus)
yellow-breasted bunting	(dý.)bringugulur spurvur(Emberiza aureola)
yellow-browed bunting	(dý.)eyggulríputur spurvur(E. chrysophrys)
yellow-browed warbler	(dý.)nilksljómari(Phylloscopus inornatus)
yellow camomile	(plfr.)gul gásaurt(Anthemis tinctoria)
yellow-covered literature	ónærabókmentir, ónæri(s)ligur lesnaður, skendskarel.vánaligar bókmentir
yellow crazyants	(dý.) gular svakmeyrur (Anoplelepis gracilipes)
yellow dock	(plfr.) kubbut hømilia (Rumex obtusifolius)
yellow dog	Sóreinur og vanvirðisligur maður
yellow-dog	Sóreinur og vanvirðisligur
yellow-dog contract	(am.S) [sáttmáli sum bannar arbeiðsfólki at gerast limur í yrkisfelagi]
yellow fever	(lækn.)gulur fepur
yellow flag	1sóttarhaldsflagg2(plfr.) gul mækja (Iris pseudacorus)
yellow girl	(am., niðr.)Sljósholdað svørt genta
yellow gurnard	(dý.) knurrhani (Trigla lucerna)
yellowhammer	(dý.)gulspurvur(Emberiza citrinella)
Yellowhammer State	Alabama; eis.Cotton State
yellow-headed blackbird	(dý.)gullheysur(X. xanthocephalus)
yellow iris	(plfr.) mækjuslag
yellowish	gulligur
yellowish,yellowy	gulligur, ígulur
yellow jack	1gulur fepur2(sigl.)gult flagg, sóttvarnarflagg
yellow jacket	(am.)vespa(Vespa crabro)
yellowlegs	(dý.)lesser yellowlegs lítil gulstelkur(Tringa flavipes); greater yellowlegsstórur gulstelkur(Tringa melanoleuca)
yellow oat grass	(plfr.)skyggjandi gullhavri(Trisetum flavescens)
yellow ochre	(ljóst) ryðleirel.okkur
yellow pages	(tlf.)yrkisskrá, gulu síðurnar (í telefonbók)
yellow peril	(sø.) the yellow perilguli vandin
yellow pimpernel	(plfr.)lundararmingi(Lysimachia nemorum)
yellow poplar	(plfr.)tulipántræ(Liriodendron)
yellow press	gølubløðini
yellow rattle	(plfr.)snjallabjalla(Rhinanthus minor)
yellow ribbon	(am.)[gult band sum skal minna um og vísa samhuga við hermonnum í stríð]
yellow-rumped warbler	(dý.)drunngulur ljómari(Dendroica coronata)
yellow spot	(í eyga) gulur blettur
yellow turnip	(plfr.)kálrót
yellow wagtail	(dý.)gulerla(Motacilla flava)
yellow wren	(dý.) leyvljómari (Phylloscopus trochilus)
yellowy	gulligur
yelp1	1(um hund) at kyrla, kyrlan2ýl, at ýla, róp, at rópa (t.d.a yelp of pain)
yelp2	(um hund) kyrla; ýla, rópa
Yemen	(landafr.) Jemen
Yemeni1	jemenbúgvi
Yemeni2	jemenskur
yen1	leingjast (einum leingist), hava øgiligan hug at
yen2	1(japanskur myntur) jennur, jenn2(tlm.)ógvisligur hugurel.longsil(foreftir)
YEO	Youth Employment Officer
yeoman	(sø.)óðalsbóndi, óðalsmaður, ognarmaður,(skaldsk.)høldur;yeoman servicemunagóð hjálp
yeomanry	1(sø.)óðalsmannastætt, óðalsbøndur2(sø.)sjálvboðið reiðlið (bøndur sum valdu at verða hermenn og sjálvir áttu rossið teir riðu á)
yep	(tlm.)ja, je
yer	(tlm.)you
yes	1ja; jú; ája, so, nú so2[íyms.samb.]yes?1ja?2(ivingarsamur) nú so?; nú?, ha?, skilja tygum?3(sagt av krambakalli) hvat vilja tygum hava?;yes and nobæði ja og nei
yes-man	(tlm.)jabróðir, beggjatrælur; ein ið samtykkir við øllum tí, ið yvirmenninir sigael.gera; eitt einki
yesterday1	gjárdagur;the day before yesterdayfyrradagin;-’s paperblaðið frá degnum fyri;it’s -’s newshatta eru gomul tíðindi
yesterday2	í gjár;yesterday morningí gjáramorgunin, í gjár á morgni
yesteryear	(gl.)í fjør;the heroes of yesteryeartær gomlu hetjurnar;the snow of yesteryearbrátt er alt gloymt/farið; so fer!
yestreen	(skotskt) í gjárkvøldið
yet1	1enn;she is not here yethon er ikki komin enn; uppaftur, enn;yet more beautifuluppaftur vakrari2(eftir hástig) higartil (t.d.the best//worst yet)3[íyms. samb.]yet againenn einaferð, einaferð afturat;yet anotheruppaftur ein;as yet (forml.)enn (t.d.as yet nothing has been decided);higartil (t.d.as yet unknown); he has yet to do ithann hevur framvegis ikki gjørt tað; enn vantar/tørvar honum at gera tað;nor yetheldur ikki;yet othersuppaftur aðrir//aðrar//onnur
yet2	(sum mótsetning) hóast (tað), kortini, men (t.d.he is poor, yet he is content)
yeti	andstyggiligi kavamaðurin
yew	(plfr.)vanligur taksviður(Taxus baccata)
YHA	the Youth Hostel Associationgongufelag, ferðafuglafelag
yid	Sjødi, gýðingur
Yiddish1	jiddiskt (mál hjá jødum í Mið- og Eysturevropa og í USA)
Yiddish2	jiddiskur
yield1	1avgrøði, grøði, ávøkstur, fruktir, skurður, framleiðsla(t.d.mjólkarframleiðsla) (t.d.milk yield)2(av íløgu) vinningur, úrtøka, úrtøkupartar; rentuvinningur3[íyms. samb.]current/true yieldbeinleiðis renta (av lánsbrævi);yield to maturityverulig renta(t.e.beinleiðis renta og dráttarvinningur av lánsbrøvum)
yield2	1[A] 1geva (t.d.the same result; a solution to the problem)2(um kúgv) mjólka væl/illa (t.d.the cow - good milk);vera (t.d.these trees will yield good timber)3(um vinning) kasta av sær, geva av sær (t.d.investments -ing 15 p.c.)4(geva øðrum) lata frá sær, geva frá sær, handa/flýggja einum (t.d.yield control of the firm to her),geva frá sær (t.d.responsibility);(jørð) lata (frá sær), avhenda, lata øðrum, lata av hondum2[B](óáv.)1geva, lata2(um frukttrøo.tíl.)bera (t.d.the apple trees yield well)3(um fólk,forml.)slaka fyri4(í ferðsluni) halda aftur/av(tofyri)5slaka(tofyri; t.d.blackmail; pressure; temptation; he -ed to their prayers); yield to temptation (eis.)lata seg freista; víkja(tofyri; t.d.yield to force);eftirlíka, lata sær eftirlíka6(um lut) geva eftir(tofyri; t.d.the door -ed to their blows; his legs began to yield)3[íyms. samb.]yield the pointslaka (í kjaki)4[ísamb. viðfs//hj]yieldto 1síomf.: A4, B3, 42(forml.)verða avloystur av;yield to no one inikki standa aftan fyri nakran viðvíkjandi; ikki vera aftari/slakari/minni mentur(o.tíl.)enn onnur viðvíkjandi;yieldup 1síomf.: A42(til fíggindan) geva upp í hend-urnar á, lata (t.d.the fortress; the town);lata frá sær, flýggja út (t.d.prisoners)3(forml.)geva (t.d.the seas -ed up a rich harvest of fish)4(loyndarmál) siga, lata frá sær;yield up the ghostdoyggja, sálast, andast
yielder	a good yielderkúgv ið mjólkar væl
yielding	1(um tilfar) bleytur, boyggjandi, bendandi, gyrðin, liðiligur2(fl.m.,um fólk) eftirlátligur, viðeiriligur, linur, lagaligur3a yielding yearár sum roynist væl (fíggarliga)
yield point	(stfr., hagfr.)flotmark(viðv.javnvág millum upp- og niðurgangandi kreftir)
yield report	(handilsm.) úrtøkufagreiðing;we hereby have the pleasure of submitting your yield report for the period...við hesum senda vit tær úrtøkufrágreiðingina fyri tíðarskeiðið...
yikes	(gl. tlm.;at vísa órógv/ótta; tíðum fyri at látast sum ein er óttafullur fyri at fáa skemtiligan virknað) uff, puh, puff, huff (t.d.I had a dip in the 40. degrees pool (yikes!)
yip1	goyggj; ýl, geyl
yip2	goyggja; ýla, geyla
yippee	óført, frálíkt, jubi
Y-junction	veggreining (har vegur fer sundur í tveir vegir)
YMCA	Young Men’s Christian Association= KFUM
yo	(serst. am.)hey!, halló!
yob	1(tlm.)drák, ruffur2(tlm.)bartrog, óvætti, vittuggi
yodel1	jodlan, at jodla
yodel2	jodla
yoga	joga (indisk heimspeki)
yoghurt	jogurt
yogi	jogi (fólk ið fæst við jogavenjingar)
yo-heave-ho	(sigl.)takið á!, o hiiibb
yoicks	[róp til hundarnar ísamb.við revaveiði]
yoke1	1ok;a yoke of oxenoksatoymi2(á kjóla) beristykki3(flogm.)rætt, stýri (til at hava eftirlit við floghæddini)4(sigl.)róðurarmur
yoke2	1leggja ok á; leggja undir ok, spenna (oksar) fyri2(fl.m.)sameina, binda saman, teingja saman
yokefellow	1felagi, vinmaður, starvsfelagi, kammirátur2hjúnafelagi, maki
yokel	(góðvarin) bygdardrongur, tøðhólkur, bygdarfrell
yoke lines	(sigl.)róðurlínur
yokemate	síyokefellow
Yokohama	
yolk	1eggjarreyði2(á seyði) natúrligur ullarfiti;in the yolk(um ull) óvaskað
yomp	1(herm.)marsjera við allari útgerð á baki2tvassa, tvarra, tøssa, hokka, skjølka
yon	síyonder
yonder1	(gl., skaldsk.)hin;the yonderhin (t.d.side),tann seinni
yonder2	(gl.)har yviri;down yonderhar niðri, hinumegin
yonks	(tlm.)eitt langt og annað breitt;we waited for yonksvit bíðaðu eitt langt og annað breitt
yoof	Sungdómur, tey ungu
yoo hoo	hey, halló
yore	(gl.) of yoreí forðum, í fyrndini, fyrr í tíðini;in days of yoreí gomlum/fornum døgum
york	(í krikket) kasta einyorker;síyorker
yorker	[í krikket; kast har bólturin rakar stikiðel.marksúlurnar í neðra]
Yorkshire	(enskt greivadømi)
Yorkshire fog	(plfr.)ullhært legugras(Holcus lanatus)
Yorkshire pudding	[slag av bakstri sum verður etið saman við neytasteik]
you	1tú, tegel.tær; titel.tykkum; tygum2(íbreið. merk.)ein, tú, man, fólk3[íyms. samb.]you fool!tín býttlingur/býttlingi!;you are another (tlm.)tað kanst tú sjálvur vera;you never can telltað er ilt at siga/vita;sweaters are not quite youtær klæðir ikki troyggjur, troyggjur sita ikki væl uppi á tær
you’d	1you had2you would
you’ll	you will//shall
young1	1ungur; óroyndur, grønur2[íyms.samb.]young childrensmábørn;young peopleunglingar, ungfólk, ungdómurin, ungdómar, unga fólkið;young personsíleitorðið
young2	ungar, hvølpar, (hjá sjófugli) pisur (t.d.animals with their young); with youngkviðin;a young oneein ungi;the young1tey ungu, ungdómurin, unga fólkið2ungarnir, pisurnar
young books	unglingabøkur, bøkur ætlaðar ungdóminum
youngish	ungur, rættiliga ungur
young lady	1ung kvinna, ungt konufólk2(gl. el. skemt.)genta (hjá onkrum)
youngling	1unglingi, ungt fólk ella dýr2(plfr.)lítil sproti, nál3óroynt fólk
young man	1ungur maður, ungt mannfólk2(gl. el. skemt.)drongur (hjá onkrari)
young marrieds	(am.)nýgift (hjún)
young offender	ungur brotsmaður; ungt fólk, sum hevur brotið lógina
young person	(løgfr.)[ung fólk millum 14 og 17 ár]
youngster	1barn2unglingi, tannáringur3stavnur, jassur (t.d.a pert answer from a snotty youngster)4(skaldsk.)drongur, piltur, knassi, kári, glunti, gluntur
Young Turk	1(sø.) ungturkur2(fl.m.) íðin ábótarmaður; broytingarhugaður maður, ungur uppreistrarmaður
younker	(gl.)ungharri; unglingi
your	tín, títt; tínir, tíni; tykkara;(forml.)tygara; sín, sítt, sínir, sínar, síni
you’re	(st.)you are
yours	tín, títt, tínir, tínar, tíni; tykkara; tygara;what’s yours ? (tlm.)hvat vilt tú hava (at drekka);Yours affectionately/faithfully/sincerely/truly;síaffectionatelyosfr.
yourself	1(sumfn)tú sjálvur, teg sjálvan, tær sjálvum,tygum sjálvur//sjálvan//sjálvum; sjálvur2[sum afturbentfn] teg, tær, tín(t.d. you must defend yourself);tygum3(samsvarar viðyouí týdninginum: tú, ein, man) sjálvur4[íyms.samb.]be yourself ! (am., tlm.)tak tær um reiggj!
yourselves	(fn flt)tit sjálvir, sjálvarel.sjálv, tykkum sjálvarel.sjálv; tit, tygum; sjálvir, sjálvarel.sjálv
youth1	1ungdómur (t.d.in my youthtá ið eg var ungur;eternal youth)2(fólk) ung fólk, ungfólk, unglingar, ungdómar, ung, tey ungu3(einstakur; fltyouths)ungur maður, ung genta, ungt fólk, unglingi4[íyms.samb.]a friend of my youthein ungdómsvinur mín
youth2	unglinga-, ungdóms- (t.d.youth movement)
youth centre	ungdómsmiðstøð; ungdómsheim
youth club	ungdómsklubbur
youth employment officer	yrkisráðgevi
youthful	ungdómsligur, raskur
youth hostel	vallaraheim
youth prison	ungdómsfongsul
youth revolt	ungdómsuppreistur
youth worker	ungdómsráðgevi, frítíðarpedagogur
you’ve	(st.)you have
yowl1	ønskriligt ýl, (langt og óhugnaligt) ýl
yowl2	ýla ønskriliga
yo-yo1	1(leika) jojo2(am., tlm.,um fólk)býttlingur, tápulingur
yo-yo2	1ganga upp og niður; sveiggja; renna aftur og fram; vingla, sløðra, stakra2[íyms.samb.]yo-yo sby aroundbeita ein sum ein hund
yo-yo3	sum gongur upp og niður, sum sveiggjar, sveiggjandi
yucca	(plfr.)hermanshvíld(Yucca)
yuck	tvæt, møsnl; uff, oy
yucky	spýggiligur, ólekkur
Yugoslav1	(sø.)jugoslavi
Yugoslav2	(sø.)jugoslavskur, sum er íel.úr Jugoslavia
Yugoslavia	(landafr.; sø.) Jugoslavia
yuk	síyuck
yule	(gl.)jól
yule log	[stór viðarklóta sum eftir gamlari siðvenju verður løgd á eldin jólaaftan]
yuletide1	jóltíðir /jøl-/
yuletide2	jóla-
yum	umm!, namminamm!
yummy	(tlm.)leskiligur, átuligur; eigiligur,(tlm.)lekkur
yum-yum	namminamm, umm, á
yuppie	(st.)young urban professionalmúgvandi ungt fólk, ið býr í útryðjuni á býi, ríkur ungur forstaðarbúgvi
YW	You're Welcome
YWCA	Young Women’s Christian Association= KFUK
