E.	(st.)East India(n); East Indies
earnest1	1tryggingarfæ; veð, veðhald, prógv (t.d.as an earnest of his good intentions)2forsmakkur (t.d.an earnest of future favours); an earnest of things to comeforsmakkur av tí ein kann vænta sær
earnest2	1lálvarsamur; inniligur, sannur, falsleysur2nálvara, álvarsemi;in earnestí álvara;are you in earnest ?álvaratos?in good (el. dead) earnestí ramasta álvara
earnest money	handpeningur; festarfæ; tryggingarfæ
earnestness	álvara, álvarsemi
earning capacity,earning power	vinnuevni
earnings	løn, inntøka, vinningur
earnings beforetax	(handilsm.)úrslit undan skatti
earnings-related	inntøkuásettur, lønarásettur, inntøkutongdur (t.d.benefits; pension);eis.income-related
ear pendant	(prýði) oyralokkur
earphone	høvuðlurt
earpiece	oyrnasnigil
earplug	oyraproppur; oyrastikk
earreach	hoyrnarringur
earring	oyrnaringur, oyrnalokkur
earshot	hoyrnarringur
ear-splitting	ræðuligur (gangur)
earstud	oyrnasteyti
ear tag	oyramerki
earth1	1jørð (t.d.heaven and earth; earth and water; the plane fell to (the) earth)2mold (t.d.a lump of earth; clayey earth); the history of the earthjarðarsøgan3the earthjarðarknøttur, jørðin (t.d.the earth revolves round the sun);fold4(ravm.)jarðfesti, jarðsamband5revabøli; híð6[íyms.samb.]comeback(el.down) toearth (fl.m.)koma niður aftur á jørðina;down to earthjarðbundin, turrisligur;it is not the earth (tlm.)tað er ikki øll verðin; (síeis.cost2); moveheaven andearthseta himmal og jørð í røring;how(, what, where) on earth ?hvussu í víðu verð? hvussu í Guðs garði?feel likenothing onearth (tlm.)vera illa fyri, vera ússaligur;look like nothing on earth (tlm.)líkjast ongum, síggja út sum eitt hím;paythe earthrinda í dýrum dómum;run toearth (áv.)jagstra(t.d.ein rev) inn í holuna;(fl.m.)finna fram til; fáa endaliga greiðu á;takeearth, go (el. run) to earthkrúpa inn í sína holu
earth2	1gróðurseta, seta niður; hyppa, breiða mold á2jagstra(t.d.ein rev) inn í holuna;(óáv.t.d.um rev) leita sær inn í holuna3(ravm.)jarðfesta, (streym) jarða
earthborn	menniskjaligur
earthbound	jarðfestur; jarðbundin; við kós móti jørðini
earth closet	turrklosett, bukka
earth crust	jarðskorpan, jarðarskorpan
earth crust movements	jarðskorpurøringar
earthen	mold-; leir-
earthenware	leirvørur, -ker, -íløt
earth folding hole	(jarðfr.) sjúnki
earthing-up	(landb.) tað at hyppael.ryggja
earth lead	jarðleiðing
earthling	jarðarbúgvi, jarðbúgvi; deyðiligur; barn av hesum heimi
earthly	jarðligur, verðsligur, veraldarligur; jarðar-; jarðbundin; hugsandi;of no earthly usetil onga verðsins nyttu;not an earthly Sikki vet av møguleika
earthly-minded	jarðbundin, verðsligur
earthmover	stór gravimaskina
earthnut	(plfr.)= pignut stór jarðarnøt(Conopodium majus)
earth pressurebalance	(jarðfr.) trýstjavnvág
earthquake	jarðskjálvti, landskjálvti
earth sciences	[vísindi um jørðina og náttúru hennara: jarðfrøði, havfrøði, veðurfrøði]
earth shock	(gl.) (staðbundin) jarðskjálvti; síearthquakeogearth tremor
earth slip	(jarðfr.) skriða, skriðulop, omanlop
earth tremor	staðbundin jarðskjálvti, seismiskur jarðskjálvti
earthward	til jarðar, ið vendir móti jørðini
earthwork	bakaður moldgarður, vøllgarður; moldarbeiði
earthworm	(dý.)reyðmaðkur(Lumbricidae)
earthy	1jarðkendur, moldkendur; mold- (t.d.an earthy smell)2(um fólkel.málburð teirra) opinskáraður, bersøgin, bart út (t.d.their good-natured vulgarity and earthy humour)
ear trumpet	(gl.) hoyrnartrakt, hoyrnarpípa
ear wax	oyrnavoks
earwig1	(dý.)tvísterta(Forficula auricularia)
earwig2	rópa ein heilavillan
earwitness	hoyrnarvitni, hoyrnarvátti
ease1	1hugnaður, hvíld2náðir, linni, lætti3(viðv.atburði) ósmædni (t.d.a certain ease which marked him as a man of the world)4(viðv.pínu) lætti, linni (t.d.the medicine brought instant ease)4(viðv.tvingsli) lætti; lættleiki (t.d.the ease with which he did the work)5(um klæði) rúmd, vídd;ateaseí friði og náðum;(herm.)í hvíldarstøðu;be at easekenna seg væl, kenna seg heima (t.d.I feel quite at ease among them); ill at easeilla heitin;live at easevera vælbjargaður;put at easesissa, ugga;stand at ease (herm.)standa í hvíldarstøðu;a lifeofeaseein trygg tilvera;takeone’s easegera sær lívið lætt;witheaselættliga, ódarvaður
ease2	1linna (t.d.the pain)2lætta (t.d.one's mind, the situation)3loysa, fría, bjarga4loysa, slaka (t.d.a rope)5flyta varliga (t.d.ease the piano into place)6lata ganga spakuliga7(sigl.)lora, geva út;ease the helm! (sigl.)snara róðrinum aftur á beint! lætta róðrinum!8minka,easedownminka um ferðina (t.d.ease down the car to 20 miles); easeoff(sigl.)geva út á endael.segli; fara út frá;ease off the sheets (sigl.)geva skeytini út;easeup(el.off)taka sær av løttum;the tension between Italy and France is easing offspenningurin er linkaður í sambondunum millum Italia og Frakland;(óáv)farast, minkast;(tlm.)hvíla; easeup onspara
easel	myndafótur (hjá listmálara),staffeli
easement	1(løgfr.)ítak, treyt, (lóggild) skerjing av ognarrætti2lætti (t.d.of tension);linni (t.d.of pain)
easily	1lættliga, saktans, meira enn so (t.d.you can easily make it)2nógv (t.d.he is easily the strongest of the boys); easily learned (, repaired osfr.)lættur at læra (, umvælaosfr.)
easiness	ró, rógv, friður, hvíld, spekt, náðir; hugnaður(osfr. smb easy)
east1	eystur; eystari partur;the EastEysturlond, Fjareystur;(am.)eysturstatirnir: eastbynorth høgur eystan;a cold windfromthe easteystaneftir;inthe east of í eystara partinum av (t.d.Asia);onthe east eystureftir;tothe east eystureftir;to the east ofeystanfyri (t.d.it lies east of the Rhine);eystur um (t.d.go east of the island)
east2	1leystligur, eyst-; eystari (t.d.the east entrance)2hjeystan, eystureftir
east3	fara í ein eystan, fara eystureftir
eastbound	fara eystureftir, móti eystri
East China Sea	(landafr.)the East China SeaEysturkinahav
EastEnd	the East Endeystari (fátækur) partur av London
easter	eystanstormur, nógvur vindur eystan
Easter1	páskir
Easter2	páska- páskar- (t.d.egg, holidays)
Easter Day	páskadagur
EasterEve	páskaaftan, leygardagurin reyði
Easter Island	(landafr.)Páskaoyggin
easterly1	eystur-, eystan- (t.d.wind, storm);eystan (t.d.the wind is easterly); easterly currenteystfall
easterly2	eystureftir, í ein eystan (t.d.sail easterly)
Easter Monday	annar páskadagur
eastern	1eystur- (t.d.the eastern side; eastern Europe),eystari (t.d.the eastern part of the country),úr eystri; eysturlendskur2(úr Miðeystri, Asia) eysturlendskur
Eastern Church	the Eastern Churchgrikskkatólska kirkjan
EasternEmpire	(sø.)the Eastern EmpireEysturrómverska ríkið
easterner	1eysturlendingur2(am.)fólk úr eysturstatunum
Eastern Hemisphere	(landafr.)the Eastern Hemisphereeystara knatthálva
easternmost	eystastur
Easter Sunday	páskadagur
Eastertide	páskirnar
East Indiaman	(sigl.)eysturindiafari
East Indies	the East IndiesEysturindia
easting	1(sigl.)sigling eystureftir;run her easting downsigla skip eystur um Hornið2(sigl.) broytt eysturlongd
East Timor	(landafr.) Eysturtimor (land í Asia)
East Timorese1	eysturtimori, eysturtimorbúgvi
East Timorese2	eysturtimorskur
eastward1	eystur; eysturleið
eastward2	eystligur, eystan (t.d.in an eastward direction)
eastwards	eystureftir, í ein eystan
easy	1róligur, makligur (t.d.walk; pace),hóvligur, høgligur (t.d.path, road),lagaligur, tollyndur2vera væl fyri,in easy circumstancesí góðumkorum3lættur (t.d.task)4(um verumáta) fríur, ósmæðin, natúrligur (t.d.manner)5viðeiriligur, lagaligur (t.d.easy to get on with)6(niðr.)leysur (t.d.morals)7(um pening) lættir at fáa fatur á;easy moneylættvunnar krónur8í minsta lagi (t.d.she was an easy 28; an easy three hours? work; it weighs an easy 200); with an easy majorityvið stórum meirluta9[íyms.samb.] easycircumstancesgóð kor, góðar umstøður;easy does it!goeasy !lagaligur! varin!go easy on (tlm.)spara, halda aftur, halda eftir; ikki fara harðliga við;honours(are) easy(í bridge) harrabløðini eru javnt býtt; easymajoritystórur meiriluti; easymoneylætt vunnin peningur;the money market is easierpeningamarknaðurin er lagaligari;over easy(um steikt egg) vent;be inEasy Streetvera vælbjargaður, hava góð veldir;takeit easygev tol! bint frið!;take life easytaka lívið lætt;oneasy termsvið lagaligum treytum;of easyvirtuelættlivandi
easychair	hvíldarstólur
easy-going	ábyrgdarleysur, líkasælur; tollyndur, viðeiriligur, róligur; sum tekur alt lætt
easy mark	(am.;at lumpa fólk)Slættur fongur
easy over	(um steikt egg) vent
easy-peasy	(tlm.) sum er einki (petti) fyri, sum fót(ur) í hosu, ógvuliga lætt, sum eftir ánni, sum eftir lunni, tað gongur sum brent,(skemt.)sum at stinga fress(el.frens)
easy rider	(am.)góður samlegufelagi; gittari
easy street	be in easy streetvera væl fyri fíggjarliga
eat1	eta, fáa sær; skræða í seg; eatawaytæra, mata, máa; eatone’sheadoffikki gera nyttu fyri føðina; eathis head off Shvessa í hann, skelda hann út; eatone’sheartoutbøla yvir síni sorg, gremja seg, líða uttan at nakran varir;eatintoeta seg inní, tæra, máa burtur av;don’t eatme!et meg ikki! skræð meg ikki sundur!;they eatout ofhis hand (fl.m.)tey eta av hansara hond; tey eru í hansar valdi;the meat eatswellkjøtið smakkar væl;what’seating you? (am.)hvat bagir? hvat baggar? hvørjum bølir tú yvir? eatone’swordseta orð síni aftur í seg
eat2	aveat
eatable	1letandi (t.d.the food was scarcely eatable);leskiligur (t.d.the pie was very eatable)2eatables n fltmatur, matvørur
eaten	aveat
eaten-up	(landb.)avbitin
eater	átari;be a slow eatereta spakuliga, mjatla
eatery	matstova
eating	1nmatur (t.d.pheasants are excellent eating)2ltærandi, nívandi
eating disorder	(sálarfr.)etingarólag
eats	S matur, føði
eau-de-Cologne	kølnarvatn, eau de Cologne
eau-de-vie	konjakk
eaves	takskegg;dripping from the eavestakdropi
eavesdrop	lurta, lúra
eavesdropper	lúrari, lurtari
eavesdropping	lurti- (t.d.eavesdropping equipment)
ebb	1nfjøra,ebb and flowfjøra og flóð2(fl.m.)afturstig, niðurgongd;be at a low ebbvera lágt í metum; standa seg illa, vera lágur (t.d.public morality was at a low ebb); our party was at a low ebbflokkurin var í stórari afturgongd, tað sá svart út hjá flokkinum3sfjara4(fl.m.)svinna, minka (t.d.ebbing strength);lækka, ganga aftur á hondina; ebbawayfjara burtur
ebb tide	fjøra; (fl.m.)niðurgangstíð
EBIT	(st.) earnings before interest and tax vinningur fyri rentur og skatt; the company's EBIT were higher than expectedvinningur felagsins fyri rentur og skatt var størri enn væntað
Ebonics	[enskt málfrábrigdi sum afroamerikanarar tosa]
ebonite	ebonitt
ebony1	íbinviður, svartviður
ebony2	svartur sum íbinviður
e-book	(teld.)ravbók (eis.ebook; stytting avelectronic bookogravindalig bókellaravindabók)
ebracteate	(plfr.)við ongum studningsblaði
EBRD	(st.)European Bank for Reconstruction and Development
ebullience	eldhugi, ovfarakæti
ebullient	fýrin, sprækin, eldhugaður, ovfarakátur
ebullition	(evnafr.)uppkók;(fl.m.)bullan, vellan, sjóðan;near ebullitionum at kóka yvir
EC	(st.)Earth Closet; Established Church; Engineering Corps; East Central [postøki í London];European Community EF; Electricity Council
eccehomo	1(lat.) sí/sjá mannin (orð Pilatusar tá ið hann vísti meinfýsnum jødum illa viðfarna Jesus við tornakrúnu á høvdinum)2(í list) málningur av Jesusi við tornakrúnu á høvdinum
eccentric1	ósammiðjaður ringur; serlingur, serskøltur
eccentric2	óvanligur, serkendur, serur, løgin
eccentricity	serlyndi, servitska, eksentrisitetur
Ecclesiastes	Prædikarin (í bíbliuni)
ecclesiastic	prestur, kirkjumaður
ecclesiastical	kirkjuligur, kirkju- (t.d.history, year)
ECE	(st.)Economic Commission for Europe
ECG	(st.) electrocardiogram; export credit guarantee(s)
echelon	1(herm.)álopsbylgja; hereind;assault echelonálopseind;combat echelonstríðseind;reserve echelontiltakseind2(fl.m.)trin, stig, tignarstig (t.d.the higher echelons)
echidna	(dý.)mýriigul(Thachyglossus aculeatus)
echinate(d)	(plfr.)tinda-
echinus	(dý.) igulker (Echinoidea); vanl.sea urchin
echo1	(flt -es)afturljóð (t.d.in his works one hears a faint echo of Shakespeare),bergmál, dvørgamál;to the echoso tað ljóðar eftirí
echo2	1gella, snjella; ekkóa, geva afturljóð; varpa aftur (um ljóð) (t.d.the forest echoed with their laughter; their laughter echoed through the forest)2endurtaka, sigael.taka uppaftur (t.d.echo every word he says)3hóska til (t.d.chair coverings in colours that echo the carpet)
echo chamber	ekkórúm
echoic	ljóðmálandi
echo sounder	ekkólodd
echo sounding	ekkólodding
eclectic1	eklektikari (heimspekingurel.listamaður ið sjóðar saman tað honum tykir best)
eclectic2	(heimsp, eis niðr.) úrveljandi, samanskipandi, eklektiskur; settur saman av ymsum hugrákum
eclecticism	eklektisisma
eclipse1	myrking,eclipse of the sun, solar eclipsesólarmyrking;eclipse of the moon, lunar eclipsemánamyrking
eclipse2	myrkja (fyri), skugga á; káma, bera av (t.d.she eclipsed all her rivals)
ecliptic	sólarbogin (árliga rás sólarinnar á himmalkúluni)
eclogue	hirðayrking
ecobiological	umhvørvislívfrøðiligur, umhvørvislívfrøði-
ecobiologist	umhvørvislívfrøðingur
ecobiology	umhvørvislívfrøði
ecocide	(almenn) eitran av umhvørvi, umhvørvisoyðing
ecofreaks	(uml.)víðgongd umhvørvisfólk
eco-friendly	umhvørvisvinarligur
ecological	vistfrøðiligur, umhvørvisligur
ecological farming	vistfrøðiligur landbúnaður
ecologist	vistfrøðingur
ecology	vistfrøði, økologi
econometrics	[búskaparfrøðigrein ið nýtir støddfrøði og hagtøl til tess at lýsa ymsar búskaparskipanir]
economic	fíggjarligur, búskaparligur, peningaligur; vinnulívs- (t.d.economic crisisvinnulívskreppa); economicplanningætlanarbúskapur; economicplantnýtsluplanta; economicrefugeehentleikaflótti
economical	sparin, tilsíggin(ofvið) (t.d.an economical housewife); economical in usedrúgvur;hj(t.d.live economically); these goods cannot be produced economicallytað loysir seg ikki at framleiða hesa vøruna
economically active	vinnuvirkin
economic geography	búlandafrøði, búskaparlandafrøði
economic refugee	hentleikaflóttafólk
economics	búskaparfrøði
Economics Minister	búskaparmálaráðharri
economist	búskaparfrøðingur
economize	spara, vera sparin; economizeon (eis.)halda hús við
economy	1búskapur (t.d.money economy; the nation’s economy)2húsing3sparni, sparsemi;practise economyvera sparin; sýna sparsemi4economies fltsparingar;make economiesspara, fremja sparingar5economies of scalestórvirkisfyrimunir
economy campaigne	spariátak
economy class	(t.d.í flogfari) vanligt pláss, bíligt pláss (mótsettbusiness class)
economy cut	sparing (t.d.in Government expenditure)
economy drive	spariátak
economy house	(am.) lítilslig hús
economy size	(handilsm.) sparistødd, stór stødd, økonomistødd (keyparin fær lutfalsliga meira av vøruni og lufalsliga bíligari enn hvat vanlig stødd kostar)
econut	S umhvørvistur
ecosystem	vistskipan
ecotourism	vistferðavinna
ecotype	(plfr.)staðbrigdi
ECS	(st.)European Communication Satellite
ecstasy	hugtøka, øsing, fagnaður, eldhugi;be in ecstasiesvera uppgløddur(overav),vera ovurfegin um, vera findarglaður um, vera hugfangaður av; vera í sjeynda himli
ecstatic	hugtikin, ovurfegin, findarglaður, eldhugaður
ECT,E.C.T.	(st.)electroconvulsive treatment hvøkkviðgerð
ectoparasite	(dý.)uttansníkur,útvortissnultari
ectoplasm	1(lívfr.) ytra lagið á ávísum kyknum2[serstakt evni sum verður hildið at liggja uttan um dreygar/spøkilsi og aðrar skapningar í sambandi við andlig virksemi]
ectotrophic	símycorrhiza
ECU	(st.)European Currency Unit
Ecuador	(landafr.)Ekvador
ecumenical	(al.)vanligur, almennur, økumeniskur (sum virkar fyri at sameina øll kristin)
eczema	(lækn.)eksem
eczematous	eksemkendur, eksemfongdur
E. D.	(st.)election district; ex dividend; extra duty
ed.1	(st.)edited, edition, editor; educated, education
Ed.2	(st.)Edward
edacious	grammur, slúkin
edaphic	(plfr.)mold-, lendis-
Ed. B. (, D.)	(st.) (am.)Bachelor(, Doctor)of Education
EDC	(st.)Economic Development Committee; European Defence Community
eddy1	íða í sjógviel.luft, meldur (hvirla) (t.d.of dust; of mist)
eddy2	mala (í klingur), hvirla, hurla
eddy current	meldurstreymur
edelweiss	(plfr.)edelveiss(Leontopodium alpinum)
edema	(lækn.)troti, moldartroti (vætufylling í likaminum)
edematous	trotakendur
Eden	Eden, paradís
edentate	tannleysur(eis. dý.)
edentates	(dý.)tannloysingar(Edentata)
edentulous	tannleysur
edge1	1egg, bit (á kníviosfr.)2jaðari, trom, kantur3útjaðari, útryðja (t.d.a house on the edge of the forest)4(á bók) rond5(fl.m.)broddur6(tlm.)(lítið) undandrag(on, overá,t.d. the Republicans had an edge over the Democrats);fyrimunur7[íyms.samb.]give the (sharp el. rough) edgeofone’s tongue to sbyloysa av;take the edgeoffdoyva; taka broddin av;take the edge off the appetitetaka tað ringasta av svongdini;beonedgevera ilskur, vera fjálturstungin; vera ágrýtin(toeftir at);have an edge onhava (lítla) kenning;have an (el. the) edge on (el. over) (eis.)vera (eitt sindur) frammanfyri, hava undandragið; vera við yvirlutan;put an edge onhvessa, skerpa;set sby’s nerves on edgefáa ein at bíta á kampi;set sby’s teeth on edgefáa ein at bíta á kampi;his tone got an edgetoittónin gjørdist hvassur;give an edge toskerpa (t.d.one’s appetite),styrkja, herða á
edge2	1skerpa, hvessa, brýna, eggja2kanta, randa (t.d.edge the blouse with lace; edge the beds in the garden with brick)3troka, førka, skumpa (t.d.edge him off the road)4rykkja5flyta varisliga, lirka (t.d.edge the cupboard into the corner)6(óáv.)hála (t.d.in, out),ganga eftir lið, sníkja seg (t.d.he edged into the room); edge one’s way through the crowdtroka seg ígjøgnum mannamúgvuna7edgeoneggja8edgesby outtreingja ein burtur; so dánt vinna á einum
edged	hvassur (t.d.knife, remark); play with edged tools (fl.m.) (uml=) spæla við eld
edgelegend	randarskrift (á mynti)
edgeline	vegjaðaralinja, vegjaðarastrika, kantstrika
edge-plane	kanthølva
edgeplaner	kanthøvil
edger	kantklippari (til grasvøll)
edgetool	eggjarn, -vákn, -tól;play with edge tools (uml =)spæla við eld
edgeways	upp eftir enda; á liðini, eftir liðini;I cannot get a word in edgewayseg fái ikki orðið upp
edging	rond, kantur; bordi, borði; karmur, umgerð
edgy	1hvassur; ilskur, bitutur, bítskur2fjálturstungin, uppskakaður
edible	1letandi;edible fatfløt, tálg;edible fishmatfiskur, fiskur til matna2n edibles fltmatvørur
edict	(løgfr.)fyriskipan, reglugerð
edification	uppbygging
edifice	1(stórur og prýðiligur) bygningur (t.d.the state capitol is an imposing edifice topped by a large dome)2skipan, bygnaður (t.d.it looks as if the whole political edifice of the country is about to collapse)
edify	hava uppbyggjandi árin á
edifying	uppbyggjandi
Edinburgh	Edinborg
edit.	(st.)edited; edition; editor
edit1	ritstjórnan (t.d.do the final edit on the report)
edit2	1geva út; ritstjórna(eis.íteld.)2(teld.)rætta, broyta;edit accountbroyt kontu3(um film) klippa (til);edit outtaka burturúr
Edith	
editing	ritstjórnan
editing table	(film.)klippiborð
edition	útgáva; upplag
editor	útgevari; ritstjóri; blaðstjóri; (íteld.)ritil
editorial	1noddagrein2lleiðara-, útgevara-, ritstjórnar-; editorialofficeritstjórnarskrivstova;theeditorialoffice(s), theeditorialstaff (eis.)ritstjórnin
editorialize	bera fram sjónarmið blaðsins (í oddagrein);(niðr.)koma við persónligum metingum í tíðindasending
editor-in-chief	ábyrgdarblaðstjóri
editorship	ritstjórnarstarv;under the editorship ofritstjórnað av;during his editorshipmeðan hann var ritstjóri;have the editorship ofvera ritstjóri á
EDP	electronic data processingteld
EDS	(st.íhandilsm.ofta nýtt innanhýsis á skrivstovum) Electronic Data Systems
EDT	(st.)Eastern Daylight Time [fýra tímar eftir Greenwich tíð]
educ.	(st.)education(al); educator
educable	sum kann venjast
educate	læra, kenna, ala; búgva út, læra upp; venja; menna (t.d.one’s taste); be educated (eis.)fáa sína útbúgving
educated	(bókliga) mentaður, útbúgvin;educated guessskilaætl
education	1uppaling, uppvenjing2mentan3útbúgving (t.d.he got next to no education);frálæra, skúlaverk4upplýsing,it is quite an education to listen to himtað er beinleiðis mennandi at lurta eftir honum5námsfrøði (t.d.professor of education)
education act	skúlalóg
educational	uppvenjandi, uppvenjingar-; lærandi, útbúgvingar-, kenslu-; námsfrøðiligur, pedagogiskur (t.d.educational work; educational toys)
educational guidance	lestrarvegleiðing
educationalist	uppalari, námsfrøðingur;educationists flt (uml.)skúlafólk
educational maintenanceallowance	lestrarstudningur; sí eis.financial aid to students
educationist	síeducationalist
Education Secretary	undirvísingarmálaráðharri
educative	uppvenjandi, mennandi
educator	uppalari, námsfrøðingur, pedagogur;= educationist
educe	kalla fram, draga fram; vinna burturúr, fáa burturúr
Edward	
Edwardian	[sum stavar frá tíðarskeiði Edward VII (1901 -10)]
E.,e.	(st.)earth; east(ern); Earl; Easter; English; engineer(ing); elasticity
e.e.	(st.)errors excepted fyrivarni við feilum
EEA	(st.) (European Economic Area)EBS (Evropiskt Búskaparligt Samstarv)
EEC,E.E.C.	(st.)European Economic Community
EEG,EEG	(st.)electroencephalogram
eel	(dý.)állur, álur(A anguilla); as slippery as an eelhálur sum álur; (á enskum eis.common eel, European eel)
eelgrass	(plfr.)=grass-wracklangt bendlatang(Zostera marina)
eel pot	álafella
eelpout	(dý.)úlvfiskur(Zoarces viviparous)
eel spear	ljóstur
eel trap	álafella
een	(skotskt.)eygu
e’en	(st.)even
EEOC	(st.)Equal Employment Opportunity Council
e’er	(st.)ever
eerie,eery	óhugnaligur; sjaldsamur; bangin, ræddur
