Q1	(bókstavurin) q
quadroon	fjórðingsnekari
quadrumane	fýrahent dýr, fjórhent dýr
quadrumanous	(dý.) fýrahentur, fjórhentur
quadruped1	ferføtt dýr, ferføtla
quadruped2	ferføttur, fjórføttur
quadruple1	1ferfalda, fjórfalda, fýrafalda2(við ongum ávirki) ferfaldast, fjórfaldast, fyrafaldast
quadruple2	1ferfaldur, fjórfaldur, fýrfaldur; ferliðaður, ferliða-2fýravelda- (t.d.quadruple alliance); the quadruplefýra ferðir størri
quadruplet	fjórburi
quadruplex	ferfaldur, fjórfaldur
quadruplicate1	in quadruplicate í fýra eintøkum
quadruplicate2	ferfalda
quaff1	1drykkur (t.d.porter is a dark, malty quaff)2kulkur
quaff2	(skaldsk.drekka (úr), tøma, kulka í seg (t.d.he quaffed pint after pint of good Berkshire ale)
quaffable	drekkandi, sum kann drekkast
quag	síquagmire
quaggy	mýrikendur, bleytur
quagmire	kyksendi, flotkelda, mýri, mýra, fen, feni
quail1	(dý.)lynghøna, vaktil, pippus(C. coturnix)
quail2	vera fyri ongum, vera mótlítil, falla í fátt; hopa forfardur aftur eftir hæli(atundan einum)
quaint	1kynstriga gjørdur (t.d.quaint contrivance)2løgin, margháttligur (t.d.idea)3gamal og hugnaligur (t.d.a quaint old village)
quake1	(tlm.)jarðskjálvti
quake2	skelva, nøtra, piprast(withav), biva;quake in one’s boots/shoesskelva av ræðslu, rista í brókunum, vera bebbaræddur
Quaker	kvekari (fólk ið er limur í ensk-amerikanskari puritanskari trúarrørslu)
Quakerism	kvekaralæra
quaking grass	(plfr.) hjartagras (Briza)
qualification	1útbúgving, skúling (t.d.has he any academic -s?)2fingið prógv, staðið prógv3førleiki, dugnaskapur, dugileiki4treyt, fortreyt (t.d.the only qualification required is a sense of humour)5(í framsøgn) avmarking, skerjing; fyrivarni;without qualificationvið ongari avmarking, við ongum fyrivarni, treytaleysur;our audit has not given reason for qualification of opinion (handilsm.)grannskoðanin hevur ikki givið orsøk til fyrivarni
qualification requirements	førleikakrøv(flt)
qualified	1førur fyri, skikkaður til, dugnaligur (sum dugir væl),(fortil)2skúlaður, útbúgvin (t.d.qualified teacher, qualified nurse)3sum hevur rætt(fortil)4(um framsøgn) avmarkaður, treytaður (t.d.qualified acceptance),við fyrivarni
qualifier	1(málfr.)undirliður (setningslutur, ið lýsir annan setningslutel.orð, ið lýsa onnur orð gjøllari,t.d.lýsa lýsingarorð navnorð og hjáorð sagnorð)2(ítr.)úrtøkudystur3(løgfr.)styrkimarking
qualify	1(til almannaveiting) hava rætt til(oft.d.unemployment benefit; maternal leave)2gera seg føran fyri, geva førleika, gera lesnaðin lidnan(assum, t.d.a doctor, a teacher; she qualified in 2004);útbúgvael.skúla seg(fortil, t.d.he had qualified for the post),gera seg skikkaðan(fortil)3(ítr.)vinna úrtøkukapping(fortil)4(heimsp.)skilgreina (t.d.qualify as good or bad)5(málfr. eis.)lýsa (t.d.adjectives qualify nouns)6(fl.m.)orða hóvligari (t.d.qualify a statement),doyva, slaka, veikja, milda (t.d.qualify criticism)7[íyms. samb.]qualifyas 1síomf.: 22kallast, rópast, sigast at vera (t.d.that does not qualify as an answer);vera (t.d.an expert);kunna verða góðkendur sum (t.d.a political refugee); that does not qualify him as an experthatta ger hann ikki til ein serfrøðing;qualifyfor 1sí 2,eis.)hava rætt til2(revsing) fáa (hann fekk 10 ár); hava uppiborið (t.d.a stiff reprimand); qualify sby for1(til almannaveiting) geva rætt til (t.d.extra benefits)2(útbúgvingaro.tíl.)geva einum atgongd til, sleppa til (t.d.a course)3(starv, arbeiði) geva førleika til, vera skikkaður til (t.d.a job); qualify sby to1gera ein føran fyri, gera ein skikkaðan til (t.d.teach English)2geva einum myndugleika til, geva einum heimild til (t.d.that does not qualify her to give advice to others)
qualifying match	(ítr.) úrtøkudystur
qualifying tournament	(ítr.)undankapping
qualitative	sum er eyðkent fyri okkurt, ser-, eginleika-; góðsku-, dygdar-
quality1	1góðska, dygd, virði, tæri2eginleiki, serkenni, natúr, mura, lyndi; tæri, tilfarið í einum (t.d.the cheese has a rubbery quality); he has got the right stuff in himgott tæri er í honum3(handilsm.)góðska, dygd; slag4[íyms. samb.]qualities1eginleikar (t.d.his personal qualities; the plant’s antiseptic qualities);(um fólkeis.)tað góða við einum/einari2=qualitity papersdygdarbløð;of qualitydygdar-;people of quality (gl.)tignarfólk, tað frægarael.betra fólkið;quality of lifelívsvirði;give a taste of one’s qualityvísa, hvat dugur er í einum
quality2	dygdar- (t.d.product)
quality assurance	góðskutrygd
quality audit	góðskuskoðan
quality auditor	góðskuskoðari, góðskumetari
quality consciousness	góðskutilvitan, góðskutilvit
quality control system	góðskustýringarkervi
quality evaluation	góðskumeting
quality improvement	(handilsm.) góðskubetring
quality management	góðskustýring
quality management system	góðskustýringarskipan
quality papers	dygdarbløð
quality plan	góðskuætlan
quality planning	góðskuráðlegging
quality-related costs	(kostnaður ið stendst av at fáa góða góðsku) góðskukostnaður
qualms	1samvitskubit2himpr, hink, óvissa, ivi
quandary	tvístøða, ráðaloysi, kløtur, knípa
quango	(st.)quasi-autonomous non-governmental organization sjálvstøðugur umboðsstovnur, sum er stovnsettur og styðjaður av stjórnini (t.d.-s such as the Police Complaints Board, the Equal Opportunities Commission and the Research Councils)
quantifiable	sum ber til at mála, sum kann málast
quantification	ummálsáseting
quantifier	(í skilvísiel.logikk[i]) magnari; orðasamband
quantify	máta, mála, metael.ætla um nøgd(t.d.mongd, stødd, persónleik); sum kann málast, mátast, metastel.ætlast um; (t.d.she distrusted attempts to quantify personality traits)
quantitative	1sum kann málast, mátast, metastel.ætlast um (nøgd, mongd, stødd)2(hagfr.) mongdarligur
quantity	1nøgd, mongd, stødd, rúgva (t.d.his work has improved in quantity and quality)2(av ávisum luti) mongd, nøgd, tal (t.d.a large quantity of food)3(ljóðfr. eis.)longd4(tónl. eis.)lutfalslig longd á tóna5(handilsm. viðv.vørumo.tíl.)mongd, nøgd6(stfr.)síunknownquatity7[íyms. samb.]in quanties1(handilsm.)í stórum nøgdum, í stórum vørupartíum2(fl.m.)í hópatali (t.d.it is found in quantites in the streets);í hópatali, í murlutali, í urgutali, í margatali;he is a negligible quantityhann hevur lítið upp á seg;bill of quantities (viðv.bygging) nøgdarlisti
quantity surveyor	[mongdar- og kostnaðarmetingar ísamb.við bygging],(uml.)ráðgevandi verkfrøðingur
quantum	1nøgd, skamtur; lutur, partur2(alisfr.)skamtur, kvantur
quantum leap	1(alisfr.)kvantalop, skamtalop2(fl.m.)lop, nýbrot; risalop
quantum theory	(alisfr.)skamtaástøði, kvantaástøði
Quar’an	the Quar’an Koranin
quarantine1	sóttverja, sóttarhald, karantena
quarantine2	hava í sóttarhaldi
quark	(alisfr.)kvarkur
quarrel1	1klandur; ósemja, stríð2(orðadráttur) deiling, kegl, samanbrestur2[íyms. samb.]have a quarrel with (eis.)hava nakað inni við ein; hava nakað at finnast at;have no quarrel with (forml.,um fólk) einki hava at finnast at viðvíkjandi (t.d.the decision); it takes two to make a quarreltað er ongantíð bara ein (ið elvir til klandur);pick a quarrelelva klandur, keglast
quarrel2	1koma til ósættis, koma til ilnar (teirra millum); keglast, klandrast2[íyms. samb.]we won’t quarrel about thathatta skal ikki elva til ósemju okkara millum;quarrel with1(um fólk) koma til ilnar; keglast við2(um framsøgn/útsøgno.tíl.)hava nakað at finnast at, siga seg ósamdan við, mótmæla (einum), siga ímóti;quarrel with one’s bread and butter (uml.)spilla fyri sær sjálvum, máa støðið undan sær sjálvum
quarrelsome	klandursamur, trætin, knarrutur
quarry1	1(veitt dýr) veiðidýr, bráð, fongur, veiði2grótbrot3(fl.m.)kelda (sum gevur kunnleika)4(rombuskapaður) glasrútur; flís
quarry2	1bróta, høgga, spreingja2(fl.m.)gravael.grópa fram (t.d.information)3kanna; granska (t.d.in documents)
quarry-faced	sligið (grót)
quarry light	rútur (at seta í blýkarm)
quarryman	maður ið arbeiðir í grótbroti
quarry stone	sligið grót; byggisteinur (ferhyrntur, tilhøgdur steinur)
quart	1(rúmmál1/4gallon, í Bretlandi 1, 136 litur);try to put a quart into a pint pot (t.e.royna eitt, sum ber ikki til)2fýra kort á rað,quartfýra kort á rað;quart majoress, kongur, frúgv og jassur í sama liti
quarter1	1fjórðingur2(um tíð) korter (t.d.a quarter past six)3(av ári) ársfjórðingur (t.d.a -’s rent)4(um stað) landspartur, grend, bygdarlag, heraðshorn, ætt(t.d.úr øllum ættum), leið5(skúlam.)hálva6(í býi) býlingur, býarpartur (t.d.the Chinese quarter)7(í stríði) griður (t.d.ask for quarter)8(am.)fjórðingsdollari (25 cents)9(sigl.)loring (aftastur partur á skipi hvørjumegin afturendan)10ódn, støða, sessur11(á dýri) fjórðingur12(mánaskifti) kvartalaskifti13(rúmmál; korniviðv.) 8 bushels (uml.290 litrar)14(vekt) 12, 7 kg: sí eis.quarters15[íyms. samb.]quarter of an hourkorter; (um klokku)a quarter of five (am.)trý korter til fimm;at a quarter past threeeitt korter til fýra;at a quarter to threetrý korter til trý16[ísamb. viðfs]fromthat quarterfrá honum/henni, at hann/hon;you can expect no help from that quartertú skalt ikki vænta, at hann hjálpir tær;lies the wind in that quarter ?er hatta lagið nú?, vendir nøsin soleiðis nú?;in the highest quarterá hægsta stað;applytothe proper quartersnúgva(el.venda) sær á rætta stað
quarter2	1býta/skera sundir í fýra (t.d.a tomato)2(taka ein fjórðing burturav (t.d.the dose);minkael.lækka niður í ein fjórðing3(skjald.)punta (í skjaldarmerki), seta í (puntað) skjaldarmerki4(um veiðihund) leita5[íyms. samb.]be -ed1(herm.)útvegael.veita innivist2(sø.,um brotsmann) lima sundur
quarterage	ársfjórðingsgjald, ársfjórðingsløn
quarter binding	(um bók) skinnryggur
quarter-bound	(um bók) við skinnryggi
quarter day	ársfjórðingsdagur, fyrsti dagur í ársfjórðingi (tíðum gjalddagur), gjalddagur, termin
quarterdeck	(sigl.)afturdekk
quarterfinal	(ítr.)fjórðingsfinala
quarter leather	skinnryggur
quarter light	luftingargluggi (í framhurð á bili)
quarterly1	ársfjórðingsrit
quarterly2	ársfjórðingsligur, fjórðings-; fýrskiftur, ferskiftur
quarterly3	um fjórðingsárið, fýra ferðir um árið
quartermaster	(herm.)[kvartermeistari (yvirmaður sum hevur ábyrgd av bústaði, vistum og útgerð hjá hernaðareind)]
quartern	1(rúmmál:1/4 pint,í Bretlandiuml.)1, 4 dl2fýra punda breyð
quarter plate	[fotografisk plátael.filmurel.ljósmynd ið er1/2x 31/4inchestil støddar]
quarters	1bústaður, innivist, vist, hús, tilhald, leigað kamar2(herm.)hermannabúðir; sí eis.quarter13[íyms. samb.]crew’s quarters (sigl.)manningarrúm4[ísamb. viðfs]atclose -s1búgva trongt, tætt saman, tætt upp at (hvør øðrum)2(herm.)í návíggi, í nærstríði;fromall -s, from every quartersúr øllum heraðshornum, úr øllum ættum;in high quartersfrá hægsta staði;in certain quartersí ávísum bólkum; í ávísum støðum;come to close quartersgerast áfastir, bresta saman
quarter sessions	[fram til 1971: dómstólur, ið sat fýra ferðir um árið]
quarterstaff	fiktistavur, fektistavur
quartet(te)	fersongur, fertónleikur, tónalag til fersongel.fertónleik, kvartett
quarto	1fjórðingsbrot, fýrablaðað arkabrot; ark, brotið í fýra bløð(t.e.8 blaðsíður)2bók í fjórðingsbroti
quartz	(steinfr.)kvarts;quartz mineralkvartssteinslag
quartziferous	kvartshavin
quasar	(stjfr.) kvasarur (ovurstórur, ógvuliga fjarskotin stjørnulíkur lutur sum sendir frá sær ovurnógva orku)
quash	1kúga, berja niður (t.d.quash a rebellion);steðga2(illgitingar, tíðindi, graml) steðga (einum), beina fyri(t.d.hasi sleygisøguni); (um vón) syndra3(løgfr.)ógilda, ónýta(t.d.ein dóm) (t.d.a verdict; a conviction)
quasi	hálv- (t.d.quasi-official), eitis-, at síggja til, ætlandi, at vísa seg, kvasi-
quatercentenary	fýrahundraðáradagur
quaternary1	1fýratal2(jarðfr.)kvarterøld, kvartertíð (okkara jarðfrøðitíð)
quaternary2	1fjórskiftur, sum er í fýra lutum2(jarðfr.)kvarter-
Quaternary Period	(jarðfr.; tíðin: 2.588 ± 0,005 mill ár síðan) kvarterøld, kvartertíð
quaternion	fýramannabólkur
quatrain	fýraregluørindi
quatre	(í kortum) fýrini, (í terningaspæli) fýrarin
quatrefoil	(byggl.)ferblað
quaver1	1(um rødd) skelvan, darran2(tónl.)áttingsnóti
quaver2	1(um rødd) skelva, darra2sigael.syngja við darrandi rødd3(tónl.)tremulera
quay	bryggja, atløgubryggja, kai
quayage	1bryggjugjald, atløgugjald2atløgupláss3bryggjulongd
quayside	bryggja, bryggjukantur
quean	1(á skotskum) ung genta2(gl.)teys, flenna, konufólk, kvendi
queasy	1sum fær ilt fyri hjarta, sum klíggjar, sum er illa til passar2(um maga) ringur, veikur, viðkvæmur3kræsin, vandin4[íyms. samb.]a queasy conscienceat vera samvitskusamur;be queasyvilja spýggja;feel queasy about (tlm.)vera ivasamur um, himprast, vera í døpurhuga um, hava samvitskubit, hava ringa samvitsku av onkrum
Quebec	
queen1	1drotning2(í kortum og talvi) frúgv;queen of clubskleyvarfrúgv3(Ssamkyndur) gjeikari, bøssi(serst.tilkomin og skaputur)4(gl.)skaputur, uppgjørdur
queen2	(í talvi) fáa frúgv upp;queen it (tlm.)vera ráðarík (t.d.she is not going to queen it here); queen it over sbybeita ein, fara við einum sum einum hundi
Queen Anne	(byggl., uml.)síðbarokk, síðbarokkur (enskt byggisnið um ár 1700)
Queen Anne’s lace	(plfr.)villur kervil
queen bee	drotningarbýfluga, drotningarbi, drotning
queen cake	korennukaka (sum hevur serligt skap,t.d.sum hjartariel.rútari)
queen consort	maður hjá ríkjandi drotning
queen dowager	einkjudrotning
queenhood	drotningartign
queenlike	síqueenly
queenly	drotningarlig, drotningar-, sum sømir seg drotning, tignarlig;her -ly dutiesskyldur hennara sum drotning
queen mother	einkjudrotning, drotningarmóðir (móðir ríkjandi drotningar)
queen of the meadows	(plfr.)atarmjaðarurt(Filipendula ulmaria)
queen post	(byggl.)dvørgur (stútta sum gongur úr bjálka upp í mønu)
queen regent	drotning sum ríkir sum verji (tí ríkisarvingin hevur ikki rokkið lógaldur [ikki myndigur])
queen regnant	ríkjandi drotning
Queen’s Bench Division	(løgfr.)[høvuðsdeildin í yvirrættinum]
queen scallop	1(dý.)síqueen scallop, queen shell2(sø., skjald.)jákupsskel (í skjaldarmerki)
queen scallop,queen shell	(dý.) slag av jákupsskelel.vørpuskelel.hørpuskel (ættinPectenidea)
Queen’s Counsel	sícounsel1
Queen’s English	viðurkent enskt mál, skúlað (enskt) mál
Queen’s evidence	1krúnvitni (skuldsettur, sum til tess at sleppa betur sjálvur, gevur seg til at vitna ímóti sínum samseku)2síKing’s evidence
Queensland	landslutur í Avstralia
Queen's Speech	(stjmf.) trónutala
queer1	(tlm.)bøssi, djeikari
queer2	(tlm.)oyðileggja, spilla (fyri sær) (t.d.queer one’s chances); queer sby’s pitch (fl.m.)leggja fót fyri ein, spilla fyri (einum)
queer3	1løgin, margháttligur, undarligur; ikki rættsiktaður, klikkaður2(tlm.)samkyndur
Queer Street	(gl.S)find oneself in Queer Street koma illa fyri fíggjarliga, vera gyrdur í brøkur
quell	1(ófrið, uppreistur) knúsa, kúga, sláa niður, berja niður (t.d.quell a rising)2(um kenslu) sissa (t.d.quell his fear)
quench	1sløkkja (t.d.quench a fire, quench the thirst)2køva3halda niðri4(viðv.stáli) bráðkøla
quencher	leskidrykkur, tostadrykkur (t.d.a great-tasting quencher without calories)
quenchless	1(skaldsk.)ósløkkiligur, ósløkkjandi2ósigrandi, óvinnandi, sum ikki sigrast á, sum ikki verður vunnið á, sum verður ikki tikin
quern	(hand)kvørn
querulous	1knarrutur, mjarrutur2misnøgdur, ónøgdur
query1	1spurningur, fyrispurningur2spurnartekn
query2	1spyrja um, fregnast um (tí ein ivast í, at tað er, sum tað eigur at vera); spyrja seg fyri;query it with the managerspyrja seg fyri hjá stjóranum2ivast um (eitt), seta spurnartekn við (eitt) (t.d.I queried the wisdom of the decision);gera at ivamáli, ivast í3spyrja (t.d.“Why not?“ he queried)4tráspyrja (t.d.the officers)
quest1	1leitan, leiting(of, foreftir);go in quest forfara at hittael.finna, fara at leita upp2leiting (eftir e-m), rannsóknarferð3(skaldsk., uml.)riddaraferð
quest2	fara at hittael.finna, leita upp(about, foreftir)
question1	1(sum verður settur) spurningur2(sum verður havdur á lofti) spurningur (t.d.the Northern Irish question);evni, mál, søk;question!latið okkum fara(el.snúgva okkum) aftur til málið!;question of guiltskuldarspurningur (t.d.the jury decides the question of guilt); question of fact (løgfr.)veruleikaspurningur3kjak, ivi (t.d.there is some//no question about his qualifications)4(gl.)píning, pínsla5[íyms. samb.] (róp á fundi)question!halt teg til málið!;it is a question oftað er ein spurningur um, tað snýr seg um (t.d.money); it is just/simply a question of + -ingtað er bara ein spurningur um at, tað ræður bara um at (t.d.putting in a few screws); there wasnoquestionof+ -ingtað kom ikki upp á tal; tað var óhugsandi, tað bar ikki til, tað var ikki hugsingur(el.talingur) um, tað hendi seg ikki6[ísamb. viðs]aska questionseta (fram) spurning;begthe question1biðja fólk spyrja um, seta fram spurningin um2bíta seg sjálvan í halan (um próvførslu sum endar aftur í sama stað);looka questionhyggja spyrjandi at;popthe question (skemt.)fríggja til;pressthe questionkrevja svar;puta question (to)seta (fram) spurning, seta einum ein spurning;put the questionseta málið til atkvøðugreiðslu, atkvøða um málið7[ísamb. viðfs]beyondquestionivaleysur, sum eingin ivi er um;the matterinquestionhetta málið;the person in questionavvarðandi; tann, sum talan er um;at the place in questioná staðnum, ið røtt verður um; á staðnum, ið umrøtt verður;callin/intoquestionivast í;come into questionkoma til umrøðu, verða umrøddur;make no questionofivast ikki í;that is open to questiontað er ivasamt, tað er vøkkult við tí;that isoutof the questiontað er ikki hugsandi, tað er tað ikki hugsingur um, tað hendir seg ikki, ómøguligt, tað ber snøgt sagt ikki til;withoutquestion1uttan at himprast, har var leyst og liðugt beinanveginel.áðrenn hálvtalað var orð2ivaleyst, óivað (t.d.he was the greatest, without question)
question2	1spyrja, avhoyra (t.d.question witnesses); those questionedtey spurdu2ivast í (t.d.I do not question his motives)
questionable	1ivasamur, ivingarsamur2illgrunaverdur3tvískiltur
question area	spurningsøki, spurningaøki
questioner	spyrjari
question mark	spurnartekn
question master	tann ið skipar fyri spurnakapping
questionnaire	spurnablað; oyðublað;complete a questionnaire incorporated in this Policyat fylla út eitt oyðublað til hetta tryggingarskjal
question paper	(skúlam.) (próvtøku)uppgáva
question time	spyrjitíð (í undirhúsinum)
queue1	1bíðirøð, hali;jump the queuetroka seg framum í bíðirøðini2(teld.)bíðirøð, hali3(gl.)nakkaflætta
queue2	(up)queue fara í bíðirøð, standa í bíðirøð
queue-jump	farael.troka seg framum í bíðirøð
quibble1	1smálig atfinning2snildi, tvískildel.ullint orðing, hártogan;that’s a quibblehatta er hártogan3uttanumtos, undanførsla
quibble2	1bera fram smáligar atfinningar2nýta orðsnildi, vera tvískildur, orða seg ullint3leggja ov stóran dent á smálutir4tosa uttanum, skáka sær undan (einum), snúgva sær undan (einum)
quibbler	hártogari
quibbling1	orðsnildi, hártogan, uttanumtos, undanførsla
quibbling2	sum nýtir orðsnildi
quick	1skjótur, kvikur, snarur, bráður, sum kveitir (t.d.a quick look),stuttur; skjótur (t.d.quick action),raskur2(viðv.viti) kvikur, gløggur, næmur3(viðv.fatan) gløggur, góður (t.d.eye//ear)4[íyms. samb.](as) quick as a winkógvuliga skjótur, sum eitt snarljós, fokel.skot, flogkvikur;be quick !skundael.kvika tær!, ver kvikur!;be quick aboutvera skjótførur, gera skjótt av, skunda sær við (t.d.quick one’s work); be quick to1vera skjótur at (t.d.criticize)2gera skjótt av, vera skjótur í (t.d.she was quick to dress);bequicktolearnvera næmur;quick to take offencenærtikin, tykkin;aquick oneein lítlan;have a quick tempervera snarsintur, snarurel.skjótur fyri nøsini;cutto thequick1skera meint2(fl.m.)raka meint, fara gjøgnum mønu og merg (t.d.your suspicion cut me to the quicktað at tú hevði illgruna til mín, harmaði meg; tín illgruni særdi meg;make quick work ofsíshort2(make short work of);(sí eis.quick fix); the quick (gl.)tey livandi(t.d. eis.hvør kyka var horvin)
quick-acting	(eis.lækn.) bráðvirkin, sum virkar skjótt;quick-acting medicineheilivágur, sum virkar skjótt/beinanvegin, (t.d.vaccines are not quick-acting but rely on the gradual build up of anbtibodies in the person's blood)
quick bread	bakstur (sum ikki krevur gongd)
quick-change	sum skjótt kann verða skiftur; sum er skjótur at skifta (á sær);quick-change artistumskapanarlistamaður
quick-drying	bráðtornandi, skjóttornandi, sum tornar skjótt;quick-drying concretebetong sum tornar skjótt
quicken	1skunda undir; ganga skjótari, fáa gongd á, hurta undir, seta ferð á2(við ongum ávirki) seta ferð á, ganga skjótari3(um barnakonu) kenna lív; (um fostur) kvaklast4[íyms. samb.]his heart –ed (skaldsk.)hjartað á honum fór upp at tita;quicken one’s pace/stepganga skjótari, taka dik á seg, taka rend á seg;cause the pulse to quickenfáa hjartað at sláa títtari
quickfire	1(um kanón) sum skjýtur títt, snarskjótandi2(fl.m.)ógvuliga skjótur, sum eitt snarljós, fokel.skot, flogkvikur
quick fix	skjót og ómakaleys loysn (sum roynist illa sum frá líður)
quick-freeze	snarfrysta, bráðfrysta
quickhatch	(dý.) jarvur (Gulo gulo)
quickie1	1ein lítil2eitt fríggj, eitt lítið
quickie2	snar-, skund-
quicklime	brent kálk
quickly	1(við nógvari ferð) skjótt (t.d.we'll have to walk quickly to get there on time;quickly now, you two, daddy's waiting in the car!)2(eftir lítlari løtu)skjótt (t.d.he replied very quickly; he quickly realized that she wasn't telling the truth)
quick march	(herm.)vanlig hergonga
quicksand	kyksendi; eis.sinking sand
quickset	(hedge)runnagirðing, kjarrgirðing, hvíttyrnirunnar (sum girðing)
quick-setting	(um betong) bráðtornandi, skjóttornandi, sum tornar skjótt;quick-drying concretebetong sum tornar skjótt
quick-sighted	gløggskygdur
quicksilver	(evnafr.)kviksilvur, kyksilvur
quickstep	1(herm.)marsjgongd, marsjstev2(dansur) kvikkstepp, quickstep
quick-tempered	bráðsintur, bráðlyntur, bráðlyndur, illsintur, sum hevur góða tendring, sum hevur stutt fjús, snarførur, bráður, bráðrisin, snurrutur, brandakendur, snarleittur, skjóturel.snarur fyri nøsini, kvikur á nálini, (vera uppi) sum ein boði, (vera) sum ein eldur
quick test	(lækn.)snarkanning
quick time	(herm.)marsjstev
quick-witted	1vakin, kvikur, snarráðin, skjóttonktur, ráðsnarur2hittinorðaður, rittin, rittinorðaður, sum dugir væl at svara aftur
quid1	skrá(tubbak)
quid2	(tlm.) (sterling)pund
quiddity	1eitt ið er sniðfundigt2kjarni (í onkrum)
quidnunc	sneyt, sneytari
quid proquo	nakað fyri nakað (sum veiting afturfyri)
quids in	be quids in hava góða støðu, liggja væl fyri
quiescence,quiescency	hvíld, friður; óvirkni, kyrrstøða, stillstøða
quiescent	hvílandi, í hvíld, í friði, í náðum; óvirkin
quiet1	1(við ongum gangi) kvirra, stilli2(órógvaður) friður, rógv
quiet2	sissa;quiet downsissast;anything for a quiet lifeein ger nógv fyri at fáa húsfrið(el.húsnáðir);keep sth quietdylja eitt, leggja lok yvir eitt;on the quietí loyndum, í smog
quiet3	1(við ongum gangi) stillur (t.d.try and be as quiet as you can);(um maskinu) ljóðveikur, sum heldur lítlan gang2(við ongum virksemi, órógvi) róligur, friðarligur, kvirrur (t.d.place; time);í frið og náðum (t.d.have a quiet drink)3(uttan at almenningurin er við) sum bara tey næstu (næstrafólk, vinir) eru boðin við til, í stillum (t.d.have a quiet wedding);stillisligur, stillfarandi, varligur (t.d.diplomacy);í frið og náðum (t.d.I’ll have a quiet word with her)4(um sinnalag) stillur, stillførur, hóvligur, sinniligur, friðarligur, spakur, sum ongan háva ger, lítið framførur5(um útsjónd) mjúkur og kámur, ikki áleypandi (t.d.colours)6[íyms. samb.]anything for a quiet lifeein ger alt fyri at fáa húsfrið;keep quieteinki gera, ikki leggja seg uppí, binda frið;keep sth quietdylja eitt, leggja lok yvir eitt;keep quiet about iteinki siga um tað
quieten	1(við ongum ávirki) sissast, stillast2(við ávirki) sissa, fáa (ein) at binda frið;quieten down=quieten; quieten the tensionslætta sjógv, fáa fólk at sissast
quietism	1sálarró(gv), sálarfriður2(átr.)kvietisma
quietude	friður, rógv, hvíld, kyrra
quietus	bani, deyði, banahøgg
quiff	doddur, fruntur; ennispurla, ennislokkur
