J2	(st.)Judge; Julius; Justice
jam3	1kroysta, kleima (t.d.he jammed his finger in the door);trýsta (t.d.one’s clothes into a suitcase)2tippa (t.d.the river was jammed with log); be jammedvera fastur (t.d.the ship was jammed in the ice); Svera gyrdur í brøkur;get(el.become) jammedseta seg fastan;Sgyrdur í brøkur; fara í baklás (t.d.the lock has jammed)3(óáv.)taka, vera trongur, vera trekur, læsa; læsast4(útv.)órógva (sending) við óljóðssendara5S(í jass) improvisera6jam the brakes onbremsa harðliga, høgga bremsurnar í
JAMA	(st.)Journal of the American Medical Association
Jamaica	1(landafr.) Jamaika2jamaikaromm
Jamaican1	jamaikabúgvi
Jamaican2	jamaikiskur, í/úrel.á/av Jamaika
jamb	durastavur; (í vindeyga) síðukarmur
jamboree	1(tlm.)gildi, veitsla (t.d.the film industry's annual jamboree in Cannes)2skótastevna
jamb stove	bileggarovnur, bíleggjaraovnur
James	(bíbilskt) Jákup;(sø.)James, Jákup;scallop of St Jamesjákupsskel
jam-full	á tremur
jammer,jamming station	óljóðssendari
jammy	1Sleskiligur, eiggiligur; framúr góður (t.d.he has a jammy job)2einki fyri3beistaheppin4kleimin (t.d.fingers)
jam pot	súltutoyskrukka
jam roll	rullukaka; kjøtrullael.deiggjrulla við fyllu
jam session	samkoma við jass-tónleikarum har spælt og improviserað verður til tess at hugna sær; jam-session
Jan.	(st.)January
jane1	S konufólk; genta; konufólka-ves
Jane2	
Janeiro	
Janet	
jangle	1sskeldast; skurra, skorra, ringla, glinta; kima (t.d.phones jangled in the offices)2s (áv.)skrambla (, skurraosfr.)við;it jangles my nervestað fer heilt inn á bein3nkegl, kjaftaslit, klandur, træta; skurran, ringlan, glintan
jangly	skurrandi (t.d.tone of voice)
Janissary	
janitor	duravørður; skúlatænari;(am.)húsavørður
janitress	kvinnuligur duravørður, kvinnuligur skúlatænari, kvinnuligur húsavørður
Janizary	janitsjarur (turkiskur hermaður)
jankers	S revsivenjingar
jannock	(stb.)ektaður, reiðiligur, heiðurligur, beinleiðis; fínur
January	januar
Janus-faced	1við janushøvdi (høvdið á rómverska gudinum Janus, sum hevði tvey andlit, so tað bar honum til at síggja frameftir og aftureftir; merkir oftast: tvey heilt ymisk lyndiseyðkenni) (t.d.the Janus-faced nature of American society)2(fl.m.)svikafullur (t.d.a Janus-faced politician)
Jap	(tlm.)= Japanese
Japan1	(landafr.)Japan
japan2	lakkarbeiði; japanlakk
japan3	lakka (við japanlakki)
Japanese1	1japan(ar)i2japanskt (mál)
Japanese2	japanskur
jape1	(gl.)skemt
jape2	1skemta2gera gjøldur við e-m, hava/halda e-n fyri gjøldur; háða
japer,japester	síjester
jar1	leirílat, krukka; glas (t.d.jam jar); (tlm.)eitt krússel.glas av øli
jar2	1grísl, skróv, níst, skurran2risting, skjálvti (t.d.we felt a slight jar when the engine joined the train);stoytur3(fl.m.)skelkur (t.d.the news gave me a jar);samanbrestur, kegl, træta
jar3	on the jará glopp, gloppa
jar4	1(um ljóð) skurra, nísta, grísla (t.d.the chalk jarred against the blackboard),skróva; gnella2(um rørslu) rista, skaka; ristast, nøtra, titra, skelva (t.d.the window jarred in the frame)3(fl.m.)vera í stríð við, hóska illa saman, ikki samljóða (t.d.our opinions jarred)4skeldast, keglast;(áv.)koma illa við, skelka (t.d.she was jarred by the burglary)5jaronsbyerta ein, særa ein;jar on sby’s earsskurra í oyrunum á einum;jar on sby’s nervesganga einum upp á nervarnar;jarwith(el. against)skurra ímóti; vera í stríð við, ikki samljóða við; (um lit) skríggja ímóti; (síeis.jarring)
jardinière	skreytpottur; skreytgrind undir blómum
jargon	sjargon; óskiljandi sermál; embætismál;(niðr.)krákumál, blandingsmál; uppgjørt mál
jarring	1skurrandi, grovur, uttan samljóð2ristandi, skelvandi (t.d.motion)3(fl.m.)skakandi, skelkandi; særandi; ertandi
jarvey	(írskt:) leigukuskur
jasmine	(plfr.)jasmin(Jasminum)
jasper	1(steinfr.)jaspis; jasperredjaspisreyður2(am.)bóndaflókur
jaspideous	(steinfr.) líkur jaspis, jaspishavin
jaundice	1(lækn.) gulusótt2(flm.) øvundsjúka, illnati, illgrunasemi
jaundiced	1sjúkur av gulusótt2øvundsjúkur;jaundiced with envygulur av øvund (t.d.he had a somewhat jaundiced view of the professor)
jaunt1	stuttleikaferð, útferð, túrur (t.d.a jaunt to the shore, a jaunt around the country)
jaunt2	fara á útferð, ferðast um, flakka
jaunty	kátur, lættur, skemtiligur, spelkin;wear one’s hat at a jaunty angleganga við húgvuni heilt upp á snurr
Java	(landafr.) Java
Javanese1	1javanesi, javanesari javanes(ar)i2javanskt (mál)
Javanese2	javanskur
javelin	1(sø.) sleingispjót, kastispjót2spjót (í ítrótt);throwing the javelinspjótkast
javel water,javelle water	bleikivatn
jaw1	1kjálkabein (t.d.upper jaw; lower jaw)2høka (t.d.a strong jaw); his jaw droppedhann gjørdist so lippusíður3(tlm.)kjaftur;his jaws were sethann beit á kampi;hold your jaw (óvand.)halt kjaft;there is too much jaw about himhann brúkar seg ov illa;none of your jaw ! (tlm.)eingin mutar ímóti!4tos, kegl, kjaftaslit5moralprædika6(tøkn.)klógv7jaws fltkløur, bitkløur; kjaftur, gap;the jaws of deathdeyðans føvningur
jaw2	(tlm.)skræða seg, gorra, møsna, brúka seg, brúka kjaft; skelda (t.d.the teacher jawed the lazy boys)
jaw bation	orðaskvaldur, orðabrask, innantóm tala; moralprædika
jawbone1	kjálkabein
jawbone2	(við støði í tí myndugleikael.høgu støðu ein hevur) streingja á, kreva eitt, skora á, leggja trýst á;congresswoman Weintrob jawboned local officials about their responsibilities toward immigrant communitykongresskonan Weintrob skoraði á lokal embætisfólk um at minnast til ta ábyrgd, tey hava tilflytarum viðvíkjandi
jawboning	(am.)almenn áheitan til yrkisfeløg um at sýna hógv í samráðingum
jawbreaker	(tlm.)orð ið eru torfør at bera fram;it is a jawbreakerhatta ber ikki til at siga; málslig spruttroynd
jaw-breaking word	orð sum eingin dugir at úttala
jaw-dropping	ovfarin, steinbilsin; undranarverdur, ótrúligur (t.d.jaw-dropping displays of genius);with jaw-dropping dexterityvið ótrúligum hegni;an eye-dropping scenerylandslagið gjørdi meg ovfarnan/málleysan; skelkandi (t.d.after having seen the report I must say it is pretty jaw-dropping stuff)
jaw-jaw1	Sendaleyst prát, gorr
jaw-jaw2	Sjabbael.meyla eitt langt og annað breitt
jaw-me-dead,jaw-me-down	S suss
jay1	(dý.)gnelliskjóra(Garrulus glandarius); (fl.m.)suss, møsn; gekkur
jay2	(am., tlm.)fátæksligur, vesælur; reyvkeðiligur;a jay townbygdaslig hol
jayhawker	(am., sø.) [geriljahermaður (guer/r/illa) sum stríddist fyri at varðveita trælahaldið í amerikanska innanlandsstríðnum, 1861-65]
jayvees	(am.) [studentar ið fyrireika seg til fyrsta árið á fróðskaparsetri]
jaywalker	(um fólk til gongu) klombur (ið leggur líka í ferðslureglurnar)
jazz	1djassur2Srok, roks, hóvasták; møsn (t.d.what's all this jazz about you leaving?);reyp, geip, fupp
jazz1	2djassa; spæla í djassstíli4rokast, fáa rok í;jazz upseta lív í, fríska upp (t.d.the company wants to jazz up its image; she tried to jazz the room up with a new rug);and all that jazz Sog alt hatta har; og alt tað fjasið (t.d.oh, love, life,and all that jazz)5Spráta, tvætla, møsna6Smogga
jazzband	djassorkestur
jazzed	spentur (t.d.he was really jazzed for the game; she was jazzed (up) to be playing in the band)
jazzman	djasstónleikari
jazzy	djasskendur; við lívi í, lívligur; grefligur, áleypandi
J. C. S.	(st.)Joint Chiefs of Staff
J. D.	(st.)Doctor of Laws
jealous	1øvundsjúkur, eljusjúkur(ofinn á), svartsjúkur (t.d.a jealous husband)2strangur, vandlátur (t.d.a jealous guardian; the Lord … is a jealous God)3be jealous of one’s rightsansa væl og virðiliga eftir sínum rættindum;keep a jealous eye on his movementshava eyguni eftir hvar ið hann fer
jealousy	øvundsjúka, øvund, eljusjúka, svartsjúka, ástarøvund;(bíbl.)vandlæti
jeans	cowboybuksur
jee	=gee¹; gee²; gee³
jeep	1n (herm.)jeppur2skoyra í jeppi
jeer1	háð, spott;jeers fltháanarróp (t.d.under the taunts and jeers of the mob)
jeer2	háða, speireka, spotta; gálva, skelkja(ateftir)
jeering	háðandi, speirekandi, spottandi
Jeez	(mðlv,S)áh jesus!
Jehovah	(bíbl.)Jehova;Jehovah’s WitnessesJehova vitnir
jejune	turrgeldur, berur, soltin, turrur; andleysur; innihaldsleysur (t.d.novel);óbúgvin (t.d.behaviour)
jell	1(tlm.)stívna (til lopael.sjelé)2(fl.m.)fáa fast snið (t.d.our plans haven’t jelled yet)3(áv.)geva fast snið; frysta fast
jellied	lopakendur; í lopael.sjelé (t.d.jellied eels)
jelly1	1lopi, sjelé;beat sby into a jellysmildra ein2tjúkk saft
jelly2	leggja í lopa; lata stívna til lopa
jelly baby	gummibamsa
jelly bean	1sukrað gummibomm2bløka, ónytta,(tlm.)lortur
jellyfish	1(dý.)hvalspýggja(Schyphozoa)2(tlm.)kloddi, bløka, vøttur
jellyroll	1kjøtrullael.deiggjrulla við fyllu2Skynslív; skøpini á konufólki; elskarinna;sell jellyrollskøkjulevnaður
jemimas	(gl.)fjaðrastivlar
jemmy	1(stutt) kúbein2S (matg.)seyðarhøvd
jennet	smávaksið spanskt ross; asnaryssa
jenneting	(tíðliga búgvið) summarsúrepli
jenny	1rennikrani2spunamaskina3(um ávís dýr) kvenndýr4lkvenn- (t.d.jenny monkey, jenny wren)
jeopardize	vága, seta í váða
jeopardy	vandi, váði
jerboa	(dý.)støkkmús(Dipodidae)
jeremiad	harmagrátur, gremjan
Jeremiah	Jeremia
Jericho	Jeriko;go to Jericho !far til Bloksbjørg!;I wish you were in (el. at)Jericho hevði tú verið á Bloksbjørgum
jerk1	1hvøkkur2rykk (t.d.he gave the rope a jerk; he started the car with a jerk),nykkur, skrykking3skump; kast; spjálk4(am.) Sdólgur, neyt, bløka5(physical) jerks flt (tlm.)fimleikur, „spjálk“;put more jerk into itleggja meira orku í;by jerksí stoytum
jerk2	1rykkja, skrykkja, rippa,jerk alongflyta seg í rykkjum2hvøkka3spjálka4nikka (t.d.he jerked his head towards the door)5støkka;jerk awakestøkka upp úr svøvni;jerk out one’s wordsstøkka orðini fram úr sær, kønka6jerk off (óvand.)fleyga sær, kirna
jerk3	turka kjøtálir í sól
jerkin	troyggja við ongum ermum;(sø.)vampi, tjúkkur bjálvi
jerkwater	(am.) jerkwater townlítil og týdningarleysur býur
jerky	1í stoytum, í rykkjum2ristandi, skinklandi3(um persón) støkkin, hveppin
jeroboam	(fløska ið tekuruml3 l)
Jerome	
jerque	(sigl.) tollkanna;jerque notetollkanningarváttan, tollavgreiðsluváttan
jerrican	flatur bensindunkur
jerry1	S(nátt)pottur; ølstova
Jerry2	Stýskari, týskur hermaður
jerry-builder	byggispekulantur
jerry-building	spekulatiónsbygging; byggifusk
jerry-built	illa smíðað, klamsað saman
jerry can	flatur dunkur til bensin; t.s.s.jerrican
jersey	1troyggja; blusa við longum ermum; slag av bundnum klæði2(dý.)jerseykúgv
Jerusalem	Jerusalemartichokebøllur av sólblómu(Helianthus tuberosus)sum verður nýttur til matna;Jerusalem ponyasni
jessamine	(plfr.)jasmin(Jasminum)
jesse,jessy	give him (, get) Jessegev honum krút!
jessie	djaikari,(óvand.)rumpari; kventil
jest1	skemt, hittinorð, stuttleiki;in jesttil stuttleika, skemtandi;take a jestskilja skemt
jest2	skemta(st), siga í skemti;jest about(el.with)skemta við
jestbook	hittinorðasavn
jester	skemtari, íspegil, fívil;(sø.)hirðfívil;he is a licensed jesterhann kann siga alt, hann kann vera bersøgin
jesting	skemtandi, skemingarsamur, skemtiligur (t.d.a jesting remark)
jestingly	skemtandi, skemtliga, á skemtiligan hátt
Jesuit	jesuiti
jesuitic(al)	jesuitiskur
Jesus	Jesus Christ!tú góðasti gud!
jet1	1sprænur (t.d.of water, jets of blood spurted out)2(á slangu) strútur3(gass:) gassbrennari4gasslogi5(í stoyping) strútur6(flogm.)jetflogfar; jetmotorur
jet2	1goysa, spræna, spýta, vella2(tøkn.)buka niður (t.d. pelar)
jet3	gagat (hart brúnkol nýtt til gersemi)
jet bead	kolperla
jet-black	kolasvartur, bikasvartur, ravnsvartur
jet engine	jetmotorur
jet fighter	jetstríðsflogfar, jetjagari
jet lag	møði eftir langan flogtúr
jet pilot	jetflogskipari
jet plane	jetflogfar
jet-propelled	reaksjónsrikin
jet propulsion	reaksjónsrakstur
jetsam	1reki, strandvarp; skipbrotafæ; farmur, ið blakaður verður fyri borð til tess at lætta skip2(fl.m.um fólk) skipbrotin
jet set	glæsilið (flokkur av samfelagsins ríkastu, ið ferðast millum frítíðarstaðirnar í jetflogførum; tey ríku ungu, ið liva í gleimi)
jettison	1tað at blaka farm út til tess at lætta um skipel.flogfar2tað at rakett kastar eitt stig av sær3sblaka fyri borð, lætta um far; (um rakett, rúmdarfar) kasta av4(fl.m.)tveita av sær, tveita fyri borð, seta byrðu av sær, gera seg frían av einum, lætta um
jetty1	bryggja, atløgubryggja, brimgarður
jetty2	kolasvartur
jeu d’esprit	(franskt)heilafimleikur
jeune premier	(franskt) (sjónl.)fyrsti elskari
jeune première	(franskt) (sjónl.)fyrsta elskarinna
Jew1	gýðingur, jødi
jew2	1(eis. jew down)lumpa, svika2tingast um prís;jew downtrýsta niður (t.d.he jewed me down to $45)
Jew-baiting	gýðingajagstran
jewel	1gimsteinur; prýði, prýðislutur; gripur, dýrgripur, skartgripur; (í urverki) steinur2(fl.m.)dýrgripur3sprýðael.seta við gimsteinum
jewel beetle	(dý.) skreytklukka (Buprestidae); eis.metallic wood-boring beetle
jewel box,jewel case	skrínel.kistil til skartgripir
jewelled	við steini í (t.d.ring)
jeweller	skartgripaseljari; gullsmiður (eis.goldsmith)
jewellery,jewelry	gimsteinar, skartgripir
Jewess	gýðingakona, jødakvinna
Jewish	jødiskur, gýðinga-
Jewry	gýðingatjóðin; gýðingabýarpartur; jødar,American Jewryamerikansku jødarnir;international Jewryaltjóða jødedómur
jew’s-ear	(plfr.)slag av átusoppum(Auricularia auricula-judae)
jew’s harp	gýðingaharpa
Jezebel	1(sern.)Jesabel (1 Kong 16, 31)2nsiðleys kona
JFK	(st.)John Fitzgerald Kennedy
jib1	1bummur, lyftiarmur á krana2(sigl.)klyvari, jibbur; (á stuttleikabátum eisini) fokka3útsjónd, yvirbragd;the cut of one’s jib (fl.m.)hvussu ein er klæddur
jib2	1(um ross) vera stygt, vera støkkið(atfyri onkrum), sporðreisast(t.e.fara upp á afturbeinini); steðga knappliga, vera treiskt2(fl.m.)mótmæla, seta seg upp ímóti, vera treyður;jib at (fl.m.)biðja seg undan, mæla ímóti, vera treyður, vera trekur,jib at doing itvera trekur at gera tað; víkja fyri3(sigl.)gippa
jibber	1støkkið ross, treiskt ross2jibber the kibbervið skeivum ljósum at fáa skipa at stranda
jib boom	(sigl.)klyvarabummur, stingunebbi, spryt
jib door	tapethurð
jibe1	1speisemi, sneiðorð2jibes flt (eis.)háð, spott3s: jibe atvera speiskur við, speireka, háða4(sigl.)gippa
jibe2	(am., tlm.)samsvara (við) (t.d.our views don’t jibe)
jiff,jiffy	(tlm.)løta,in a jiffbeinavegin;wait a jiff, jiffybíða mær eitt pikkulítið sindur
jig1	1lívligur dansur2pilkur (fiskireiðskapur)3(tøkn.)borilæra, borikassi4the jig is up Sleikur er lokin
jig2	1danda, dansa, hoppa2sálda, sælda3(fiska:) royna við pilki, pilka
jigaboo	(niðr. slang.)nekari
jig-a-jig	S„eitt lítið” (samlega)
jigger	1ein ið dansarjig2ein ið sáldar; sáld3jiggari(t.e.víð konufólkatroyggja)4(dý.)sandloppa, mararmýggj(Tunga penetrans)5(sigl.)gaffilsegl; mastur á seglskipi6talja7Shurð8fongsul(sklivi)9smálutur10løgin snigil11(am.)mál til spiritus (44, 3 ml); drammur, snapsur, glas12s(um fisk) sprakla; spjálka13ssvika við;well, I’m jiggered!tað var sum tramin!jigger upoyðileggja, forkoma; pøsa, lúgva14Sspilla, oyðileggja; fløkja
jiggermast	(sigl.)fjórða mastur á seglskipi
jiggery-pokery	(tlm.)fupp
jiggle	(tlm.)danda (t.d.her cheeks jiggled),gidda, vagga, rugga; hoppa (t.d.sit still and don’t jiggle); he jiggled a finger in his earhann skriðaði sær í oyranum
jiggs	(í illbøn)by jiggs!for tramin!
jigsaw	1(lítil) motorleyvsag2putlispæl
jigsaw puzzle	putlispæl, (tlm.) puslispæl
jihad	1heilagt kríggj2(fl.m.)herferð, átak
jillion	(skemt) a jillion oførgrynni av
jilt	1jilt himsvíkja hann, narra hann, geva honum krakk2n (uml=) glýðra, koks
Jim	(st.)James
Jim Crow	(am.)S nekari; rasuskilnaður; mismunur mótvegis nekarum;Jim-Crow carjarnbreytarvognur til nekarar einans;Jim-Crow schoolskúli til nekarar einans
jim-dandy	(am., tlm.)frálíkur
jim-jams	1fjáltur;it gives me the jim-jamseg verði ørur av hesum2S brennivínsøði
jimmy1	(stutt) kúbein
jimmy2	bróta seg inn;the burglar jimmied a windowinnbrotstjóvurin breyt seg inn igjøgnum eitt vindeyga (viðel.eins og við kúbeini)
jimp	fínur, snøggur; klænur, mjáur; knappur, tepur, neyvur, ikki nóg mikil
jimsonweed	(am.)gaddepli(Datura stramonium)
jingle1	1glint, ringlan2bjølluljómur3ríma, skjaldur, ramsa4lýsingaorðing; eyðkennisljóð, eyðkennislag
jingle2	ringla (við), glinta (t.d.the keys (, coins) jingled in his pocket; he jingled the keys (, coins) …)
jingo1	(niðr.) víðgongdur tjóðskaparmaður, tjóðskaparreypari;by jingotað veit Gud; pínadoy
jingo2	tjóðskaparreypandi
jingoism	víðgongd og reypandi tjóðskaparkensla, tjóðskaparreyp
jingoistic	tjóðskaparreypandi, krígshugaður
jink	1skákrennael.snirra undan einum, ið eltir2(flogm.)flogsnirra, snirra undan skotálopi3nsnirring
jinks	high jinksskemt og rok, gildi, skemt
jinn	andi (í islam)
jinricksha,jinrikisha	rickshaw (tvíhjólaður lættur leiguvognur, ið maður dregur)
jinx1	(am.)Sófrættafuglur, lutir ið hava óeydnu við sær; óeydna, óhapp
jinx2	(am.)Svera atvold til óhapp ella vanlukku;put a jinx onganda, rúna, kasta rúnir á, veita óeydnu
jinxed	gandaður
JIT	(st.)just in time
jitney	1(am.) S5 cent (mynt)2n[lítil bussur við lágum ferðagjaldi og smidligari ferðaætlan]3lódýrur
jitter1	S rista, skelva, darra
jitter2	1skjálvti, darran2fjálturhave the jittersdarrael.skelva av fjáltri; faftra, fjáltra;throw a fit of the jittersfáa nervaherðindi
jitterbird	(tlm.)rædduskítur
jitter buffer	blaktridoyvari
jitterbug	1(dansur) jitterbug2(avelt) ein ið dansar jitterbug3sdansa jitterbug (t.d.we jitterbugged to the catchy rhythms)2S nervavrak
jittery	S nervaveikur, fjálturstungin, bangafullur; skelvandi, darrandi (av fjáltri); støkkin (t.d.caffeine makes me jittery)
jiu-jitsu	síjujitsu
jive	1n (am.)(hot) jassur; (latínamerikanskur dansur); innantómt prát2sdansa jive; arga, tvætla;it doesn’t jive withtað samsvarar ikki við
J,j	
jn	(st.)junction
Jno	(st.)John
Joan	Joanof ArcJeanne d’Arc;(gl.)bóndagenta
job1	1arbeiði, starv (t.d.he has a job in my firm; he has a job with Brown & Co.),arbeiði (t.d.it is his job to see to that)2(eis.íteld.)verk, uppgáva3akkordarbeiði,(prent.)smáprent4(tlm.)trupult arbeiði, knoss, slit (t.d.it was a job to get it all ready; I had quite a job getting the things in order; you’ll job it an awful jobtú fert at fáa nógv stríð av tí)5alment starv nýtt til egnan fyrimun6Stilburður, viðburður, søga7innbrot, rán8(um gentu) steik (t.d.look at that blonde job in the red dress);(síeisjab)9[íyms.samb.]it was a(put-up)job,síput-up; it was abad(, good) job thattað var illa (heppið) at;make the best of a bad jobroyna at fáa sum frægast burturúr (hóast okkurt er miseydnað); ikki missa mótið;give it up as a bad jobkasta tað frá sær sum vónleyst;paidbythe jobakkordløntur;payment by the jobakkordløn;work by the jobarbeiða upp á akkord;have a jobdoingithava ilt við at fáa tað gjørt;he had aneasyjob of ithann slapp lættliga úr tí;do his jobforhim (fl.m.)oyðileggja hann, koyra hann á húsagang;make agoodjob of itklára tað fínt;it was a good job that you cametað var gott at tú komst;and a good job tootil alla lukku!;be on the jobrøkta sítt; vera í arbeiði;do a jobonspilla, oyðileggja;give sth up as a bad jobgeva skarvin yvir;oddjobstilvildarligt arbeiði;beonthe jobhava úr at gera; vera til reiðar, vera vakin;beout ofa jobvera arbeiðsleysur;it was atoughjobtað var krevjandi arbeiði
job2	1gera arbeiði2gera arbeiði upp á akkord3handla við pengum, handla við virðisbrøvum4misnýta alment starv til egnan fyrimun;job him into the postskaffa honum starvið; (síeis.jab); he jobbed his brother into the posthann skaffaði beigjanum starvið5Ssvika
Job3	have the patience of Jobhava Jobs tol;poor as Job’s turkey (am.) Sikki eiga sýru í vegg
job action	síindustrialaction
jobation	(tlm.)ábreiðsla, (long) moralprædika
jobber	1peningamarknaðarhandlari, virðisbrævahandlari2akkordarbeiðari3millumhandlari4ein ið mísnýtir alment starv til egnan fyrimun
jobbery	1misnýtsla av politiskari makt til egnan fyrimun2rotinskapur, mutur, nepotisma (tað at geva kenningum fyrimunir, tá størv skulu setast)
