d-	(st.)damn
dapple	1lsprøklutur, blettutur, deplutur, skjórutur2sdepla, bletta
dapple-grey	gráskjórutur;dapple-grey horsegráskjórut ross
darbies	S handjarn
Darby andJoan	[gomul hjún ið framvegis eru eins nógv skotin í hvør øðrum];Darby and Joan clubpensionistafelag
Dardanelles	Dardanellurnar, Hellespontos
dare1	1dirvi, áræði2avbjóðing(t.d. take[taka við]a dare)
dare2	1tora, hætta (sær), vága;don’t you dare to do thattú vágar tær ikki at gera tað;I dare you to deny itnokta fyri tí um tú torir2gera ímóti boðum; bjóða av;I dare sayhelst, uttan iva, óivað, ivaleyst (t.d.you tried, I dare say3halda,I dare say he will comeeg haldi hann kemur4erta,dare sby to do stherta ein at gera eitthvørt
daredevil	1nribbaldur, bráðræsin persónur, óráðtøkin persónur2lbráðræsin, óráðtøkin
daredevilry	bráðræsi
darg	arbeiði í ein dag, dagsverk, dagsavrik
daring	1ndirvi, áræði2ldjarvur, vágin, ósmæðin, nasadjarvur, dittin
dark1	1myrkur, dimmi, skýmd, niða;after darkeftir at tað er vorðið myrkt (t.d.don’t go out after dark); be afraid of the darkvera myrkaræddur2myrkur litur3óvissa, fákunna;be in the dark aboutvera í óvissu, ikki skilja;I am in the dark about iteg veit einki um hatta;I am still in the darkeg fati tað framvegis ikki;keep sby in the darkhalda ein uttanfyri;take a leap in the darkleypa út í óvissuna;a shot in the darkeitt skot út í tóman heim
dark2	1myrkur (t.d.a dark night; it was getting dark; dark eyes; dark days; dark glasses; a dark suit; a dark voice; a dark vowel; dark weather)2(fl.m. eis.)dimmur, dapur, døkkur3loyndafullur (t.d.he was quite dark about it)4torskilin, dularfullur, óhugnaligur;dark deedsmyrkursins gerðir;have dark designshava ilt í hyggju;keep darkhalda skjúlt, halda loyniligt;look on the dark side of things, take a dark view of thingshava ringar vónir; (síeis.leap2)
dark ages	the dark agesmyrka miðøldin
dark-complexioned	døkkholdaður, døkkleittur
dark continent	myrka meginlandið(t.e.Afrika)
darken	myrkja(st), myrkna, dimma;if ever you darken my doors againum tú nakrantíð aftur setur fót inn um mínar dyr
dark energy	(stjfr.)dimmorka
darkey	nekari
dark-eyedjunco	(dý.)vetrarspurvur(Junco hyemalis)
dark green mouse-ear chikweed	(plfr.)fýrmennings-høsnagras(Cerastium diffusum)
dark horse	1ókent ross, „svart“ ross (í kappríðing)2(fl.m.)óskrivað blað, ein ókendur
darkish	nakað myrkur, døkkleittur
dark lantern	blindilykt
darkle	liggja í myrkri; myrkna, myrkja
darkling	1(skaldsk.) hjí myrkri2lmyrkur (t.d.deep and darkling forces)
darkly	1við myrkum eygnabrá (t.d.look darkly at them)2ógreiður, “ullintur” (t.d.answer darkly); hint darklysipa ógreidliga til
dark matter	(stjfr.)dimmevni
darkness	1myrkur, dimmi, skýmd;deeds of darknessmyrkursins gerningar;the prince of darknessdevulin, myrkursins harri2fákunna
darkroom	(lmynd.)myrkakamar
darky	nekari
darling	1nunnusti (-a),skattur, eygnasteinur; (í tiltalu) vinurin; góði (-a);the darling of fortuneeydnunnar yndisbarn;mother’s darlingmammudrongur; dukkudrongur;isn’t he a darlinger hann ikki fittur;be a darling and get me my glassesgóði (-a) fá mær brillurnar2lyndis-; yndisligur, undurfagur
darn1	1sstoppa(t.e.umvæla)2nstopping (t.d.a sweater full of darns)
darn2	sídamn
darned	
darnedest	
darner	ein ið stoppar(t.d.hosur); stoppiegg; stoppinál
darning	stopp; stopping
darning needle	stoppinál
dart1	1kastispjót, leysaspjót; skotpílur, sleingipílur2viðbragd, bráðkast3broddur (á skordýri)4(í klæði) lítil felling
dart2	1kveita (t.d.she darted an angry look at me)2sleingja, kasta; skjóta (úr sær) (t.d.the snake darted out its tongue)3(óáv.=make a dart)stórleypa, tuska, turna, skjótast, rúka; (síeis.darts)
dartboard	klingra (tildarts)
darter	(dý.)skutulfuglur(A anhinga)
darting	sum eitt snarljós (, fokel.skot),flogkvikur
Dartmoor	(enskt fongsul);Dartmoor cropsnøggklipt hár
darts	dart, pílaspæl
dash1	1stoytur, slag, høgg, smellur2lop;make a dashturna, leypa, skjótast(atá,foryvir til:t.d. the dog made a dash at me);rend, knapplig framsókn, atsókn (t.d.the Germans made a dash for Paris)3ferð, lív, gessur, „krút“, framføri, áræði (t.d.the officer was famous for his dash)4(av vatni) skvatl, skvams5(við penni) pennastrok6(prent osfr.)tankastrika; (í morsestavrað) strika7(lítil nøgd) slettur; sløð, sindur (t.d.coffee with a dash of brandy),dism, vet;(fl.m.)farri, vet, feril8(am.) = dashboard9cut a dashtaka seg væl út
dash2	1kasta, blaka (t.d.he dashed down his sword),senda, hirða, sleingja (t.d.the ship was dashed against the rocks)2knúsa, sorla (t.d.be dashed to pieces; the waves dashed on the rocks); his hopes were dashedvón hansara brast;he was dashedhann misti mótið3sletta (t.d.dash water on the floor (, in his face)),sprutta, skvetta;a landscape dashed with sunlighteitt landslag við sól í støðum4klína, skeina (t.d.dash colours on a canvas); dash away a tearturka eitt tár burtur;dash one’s hopestaka vónina frá einum, gera ein vónbrotnan;dash offrísla, krutla5(óáv.)tuska, turna, stórleypa6(brúkt sum eiður fyridamn): dash it!skittur í tað!
dashboard	1(í bili, flogfari) tólbretti2(teld., handilsm.)kunningarbretti3(teld.)yvirlitsskíggi4(á rossavogni) lívdarbretti (framman á vogni at verja fyri slettum)
dashing	flottur, snotiligur, bæriligur; spelkin, bráður, kvikur, lívligur, bragdligur
dashing cracker	skrubbtussa
dastard	ræðuskítur, rædduskítur, dirvisloysingur
dastardly	(gl.)ómansligur, ódjarvur, lumpin
DAT	(st.)digital audio tape
data	(vísindaligt) tilfar; sannroyndir, staðroyndir, upplýsingar, data (t.d.the data are too scant for drawing definite conclusions; further data is recorded in the scientific journal)
data bank,database	dátugrunnur
database	(teld) dátugrunnur;information databasekunningardátugrunnur
data carrier	dátuberi
data connection	upplýsingarsamband
data controller	(teld.)dátuábyrgdari
datadictionary	dátuskrá
datadiscipline	dáturøkiskapur
datagrid,data grid	(teld.)dátugrind
data integrity	dátuheilskapur
datamatic	teldufrøðiligur, teldufrøði-
data process	telda
data processing	dátuviðgerð
data protection	dátuverja
data safety	dátutrygd
data structure	dátubygnaður
data terminal	dátu(út)støð
data transmission	dátusending
date1	(plfr.)dadla, dadlupálmi(Phoenix)
date2	1dagur í mánaðinum (t.d.what’s the date today)2tíð; mund (t.d.the market value at that date)3árstal (t.d.a coin bearing the date 1701; it was 1914 — I remember the date well)4(am.)avtala, avtalaður fundur, fundur (t.d.have a date with one’s lawyer)5stevnumøti, ástarfundur; tann ein hevur stevnumøti við; tann ein fer út við6[íyms.samb.]at an early date(ógvuliga) skjótt;at some remote future dateí fjarari framtíð;no date(um bók) ikki ársmerkt;out of dateavoldaður, ótíðarhóskandi, farin úr gildi;up to datenútíma-, tíðarhóskandi;bring sth up to datedagføra eitthvørt
date3	1dagfesta (t.d.a letter dated May 1),dagseta, tíðarmerkja, tíðarfesta (t.d.an antique statue);stava (fromfrá); (t.d.ideas dating from the Renaissance); date back tofara heilt aftur til (t.d.it dates as far back as the Phoenicians)2(tlm.)fara av móta, verða ótíðarhóskandi, verða burturoldaður; (t.d.his painting shows no signs of dating); Wilde’s books datetíðin er um at fara frá bókunum eftir Wilde3(am.)avtala stevnumøti við, fara út við, bjóða út
dated	1dagfestur2(tlm.)avoldaður, burturoldaður, farin úr gildi, ótíðarhóskandi;síoutdated3tíðarbundin
dateless	tíðarleysur; elligamal; uttan tíðarmerki
date line	dagslinja
dateline	dagfestingarregla (í blað, brævi)
datemark	dagfesting; árstalsstempul
date palm	dadlupálmi
date stamp	dagstempul
date-stamp	dagstempla
dating	(fornfr., jarðfr.)aldursmeting;absolute datingavgjørd aldursmeting
dative	(máll.)hvørjumfall, dativ;in the dativeí hvørjumfalli;take(el.govern) the dativestýra hvørjumfalli
datum	(flt data)sannroynd, faktum
datura	(plfr.) (Datura)
daub1	skein(a); vánaligur málningur; klíning
daub2	klína, smyrja;daub onsmyrja á; sletta
dauber	ódugnamálari, gávuleysur málari
daughter	dóttir
daughter-in-law	sonarkona
daughterly	dótturlig
daunt	ræða, gera bangnan, geva skelk; taka mótið frá (t.d.the raging inferno didn't daunt the firefighters for a moment); nothing dauntedóræddur, fúsur
daunting	ræðandi; sum kann taka dirvið frá einum (t.d.adauntingtask;few things are more daunting than having to speak in front of a large crowd)
dauntless	óræddur, ókúgandi (t.d.adauntlesshero;dauntlessspirit)
daurian starling	(dý.)dauriskur stari(Sturnus sturnina)
davenport	1(slag av) skrivipulti2(serst. am.)stór bólstrað (sovi)sofa
Daventry	
David	
davit	(sigl.)davitur
Davy	stytting fyriDavid Davy Jones(‘s locker):go toDavy sjólátast
davy lamp	(námsarbeiðara) trygdarlampa
daw	(dý.)rókur(Corvus monedula)
dawdle	pjakast, (t.d.now get into your bath and don’t dawdle, will you), dullast, døllast (t.d.errand boys dawdled, whistling; dawdle over one’s work);letast
dawdler	pjak, dull, døll, letingi
dawn1	1nlýsing, dimmalætting, degningur2(fl.m.)(fyrsta) byrjan (t.d.the dawn of a new era),upphav;the darkest hour is before the dawntá neyðin er størst, er hjálpin næst
dawn2	1lýsa (fyri degi), blána (fyri degi), degna (t.d.the day dawns)2(fl.m.) it dawned upon himtað gjørdist honum greitt; tað rann fram fyri hann;the truth at last dawned on himendiliga skilti hann sannleikan
dawn light	morgunglæma, dagsglæma
dawn wind	morgunlot
day1	1dagur (t.d.there are seven days in a week; work day and night);samdøgur (t.d.the events of the day; five days and nights); 24 hour daysamdøgur2dagslýsi3tíð (t.d.in the days of sailing ships (, of Queen Elizabeth); the best writer of his day),(ævi)skeið, lívstíð (t.d.my day is done(er runnin));he has had his dayhann hevur sæð sínar bestu dagar4veður (t.d.it was a fine day; what sort of a day is it?); the dayaftertomorrowí ovurmorginday after daydag um dag;that isallin the(el.a) day’s worktað er heilt vanligt;that willbethe daytað er vert at bíða eftir;(spei)tað hendir ongantíð;the daybeforeyesterdayfyrradagin;bydayum dagin (t.d.we work by day); day by daydag um dag, dag undan degi; hvønn dag;callit a daynóg mikið í dag; gevast;carry(el. gain el. win) the dayvinna sigur;fordaysí (fleiri) dagar;it has had its daytað er liðugt;fromday to dayfrá degi til dags;indays of oldí gomlum døgum; í farnum tíðum;losethe daytapa dystin; spilla sær høvið; lata høvið gleppa sær av hondum;makea day of itfáa ein dag burtur úr tí; halda á allan dagin;it made my day (tlm.)tað bjargaði mær degnum;the Governmentofthe daytáverandi stjórn; sitandi stjórn;at the break of dayí lýsingini;the day of his deathdeyðadagur hansara;dayofffrídagur; fráverudagur;theotherdaynú ein dagin, hin dagin;the day is ourssigurin er okkara;day in, dayoutdag út og dag inn;savethe daybjarga støðuni;somedayeinaferð;one ofthesedaysein fagran dag;thisday month (, twelvemonth)í dag um ein mánað (, eitt ár);this day weekí dag um átta dagar;thosewere the days!tað vóru løtur!,one of those daysein rókadagur;sufficientuntothe day is the evil thereof(Matt 6, 34) hvør dagur hevur nóg mikið í síni plágu;this dayweekum átta dagar; (síeis. if, name2, order1, yesterday)
Day2	sigursdagur
day-and-night	alt samdøgrið;it’s a day-and-night jobtað gongur alt samdøgrið;day-and-night treatment centresamdøgursmiðstøð
day-and-night treatment	samdøgursviðgerð
day-and-night treatment centre	samdøgursmiðstøð
daybed	sovisofa
day boarder	kostnæmingur
day book	dagbók
day boy	dagnæmingur
daybreak	lýsing, dimmalætting, degningur
day-by-day	dagligur
day-care centre	ansingarstovnur, dagstovnur
day-care centre	dagmiðstøð, dagtilhald (t.d.during the day her old mother was at the day centre)
day-care institution	ansingarstovnur, dagstovnur
day cream	dagkrem
daydream	dagdreymur, vøkudreymur
dayduty	be on day dutyhava dagvakt
day fly	(dý, am.)sícaddisfly, mayfly
day girl	dagnæmingur
day-glo	sjálvlýsandi (um lit)
day labour	arbeiði goldið hvønn dag sær
day labourer	(bíbl.)bønarmaður, bønarfólk
daylight	1dagsljós; dagslýsi (t.d.get up before daylight); we began to see daylight (fl.m.)tað fór at lýsna;by daylight, in daylightí dagsljósi;in broad daylightá alljósum degi2(fl.m.)fullkomiliga alment;let daylight into the affairlata málið koma fyri almenningin;let the daylight into sbyskjóta ein, stinga ein3daylights flteygu, glómur;beat the daylights out oflemja, smyrja av, berja;scare the daylights out ofræða lívið úr honum
daylight saving	summartíð
day lily	(plfr.)daglilja(Hemerocallis)
daylong	dags, sum varar allan dagin (t.d.rain)
day nursery	vøggustova, barnagarður; spælikamar, barnakamar
Day of Atonement	(átr.)Yom Kippur, Sáttardagur
day ofdeparture	fráferðardagur
Day of Judgment	(átr.)dómadagur
day of reckoning	(átr.)dómadagur
day pupil,day scholar	dagnæmingur
day release course	dagsskeið (t.d. fyri lærarar)
dayroom	(herm, uml.)uppihladsstova
day rule	(løgfr.)útigonguloyvi í ein dag
dayrunner	(am.)kalendari
day shift	dagdeild
dayspring	1degningur2(fl.m.)byrjan
daystar	morgunstjørnan
daytime	dagur;in daytime, daytimesum dagin, meðan dagur er
day-to-day	dagligur (t.d.the day-to-day organization of the shipyard; the day-to-day running of the factorydagligi raksturin á verksmiðjuni)
daytrader	dagshandlari
day trading	dagshandil
day wage	dagsløn
daze	1nørviti,in a dazeí ørviti, ógreiður2sgera í ørviti, villa
dazzle1	glámlýsi
dazzle2	blinda,allow oneself to be dazzled by her beautylata seg blinda av hennara vakurleika
D. B.	(st.)Day Book; Disciplinary Board; Doomesday Book
Db	(tónl.)des;D b majorDes-dur
db1	(st.)double
dB2	(st.)decibel
DBA	(st.íhandilsm.ofta nýtt innanhýsis á skrivstovum) Doing business As
DBS	(st.)direct broad-casting by satellite
DC	(st.)District of Columbia; District Commissioner;(ravm.)direct current(st.)javnstreymur
DCC	(st.)digital compact cassette
DC L	(st.)Doctor of Civil Law dr jur
DC M	(st.)Distinguished Conduct Medal
D. Commission	(uml.)økismenningarráðið
DD	(st.)direct drive
D.D.	(st.)Doctor of Divinity dr theol
d-d	(st.)damned
D-Day	(herm.)D-dagur (tann dagur eitt álop(osfr.)skal setast í verk;(serl:6 juni 1944, tá sameinda hermegin fór um Ermarsund)
DDP	(st.)delivered duty paid latin tollaður
DE	(st.)Destroyer Escort; Department of Employment
deacon	1hjálparprestur; diakonur2s (am.)lumpa
deaconess	diakonissa
deactivate	gera óvirkið
