O.	(st.)1Officer2Order
ob.	(st.)obiit [‘obiit](la.) ob.1589 doyði/andaðist í 1589
ob-	(plfr.)øvutur
obconical	(plfr.)øvut strýtuvaksin
obcordate	(plfr.)øvut hjartavaksin
obduracy	1tvørskapur, treiskni2tvørleiki, trupulleiki
obdurate	1tvørur, treiskur, forherðaður (t.d.an obdurate sinner),stívur, stívrendur, stokksettur, tvørballaður, forgjørdur, forherðaður, ólagaligur, sum flættast ikki við(t.d. eis.tað flættast ikki við hann); harður2(um kor, umstøður) tvørligur, trupul (t.d.differences; problem)
OBE	(st.)Officer of the Order of the British Empire
obeah	1slag av gandi (í Vesturindia)2gandagripur, sigursteinur
obedience	lýdni(tovera einum lýðin)
obedient	lýðin(tovera einum lýðin);your obedient servant(í brævi) við hávirðing, virðingarfylst
obeisance	1(forml.,vísa einum) lýdni og virðing, fagnaður, at vísa viðurkenning2(forml.)djúpt bukk, níging, heilsan, høvisk heilsan (t.d.after making hisobeisanceshe approached the altar)3[íyms. samb.]do obeisance tofagna; lýða, vísa virðing;pay obeisance to1vísa virðing fyri, boyggja seg fri2fagna
obelisk	1obeliskur2(prent.)súlumerki
Oberon	
obese	ovurfeitur, ógvuliga feitur, spikafeitur, kvapsutur, fulputur
obesity	(ovur)fiti
obey	lýða, hoyra, akta
obfuscate	1(við vilja) gera eitt óskiljandiel.fløkt, fløkja, grugga (t.d.he accused the government of obfuscating the issue)2(um fólk) ørkymla, villa, gera í ørviti, órógva, gera heilavillan
obfuscation	1(við vilja) at fløkja og gera eitt óskiljandi, at grugga eitt2ørkymlan, at ørkymla
Ob-Gyn	(am., st.)burðarlækni og serlækni í kvinnusjúkum
obi	síobeah
obit	(tlm.)síobituary
obiter dicta	(lat., uml.)leysahugsanir, leysar viðmerkingar
obituary	minningarorðel.minningargrein í blaði;obituary noticeminningarorð
obj.	(st.)object
object1	1lutur, ting (t.d.a metal object)2(fakl.)ætlan, tilætlan, endamál(ofvið, t.d.the object of the investigation);mál (t.d.her object of life)3(málfr.)ávirki(offyri)4[íyms. samb.]be the object of1vera, vera fyri(t.d.vera samrøðuevni, koma undir ringt orð, vera fyri mannarópum) (t.d.admiration; ridicule)2(smb. 2)ætlaninel.endamálið við;salary is no objectlønin hevur ongan týdning;what an object he looks!sum hann sær út!
object2	1finnast at, siga, mælael.vera ímóti, tala at, mótmæla(toat, einum):object a suggestionfinnast at einum uppskoti;object to (eis.)einum dámar illa;if you don’t objectum tú ikki ert ímóti tí2(framman fyri setningi) finnast at, mótmæla (t.d.she -ed that it was too late)3[íyms. samb.]if you don’t objectum tú einki hevur ímóti tí;objectto 1(um kenslur) hava nakað ímóti (t.d.nobody could object to him);ikki dáma (einum dámar illa), ikki brýggja seg um (t.d.I object to being treated like a child)2(um framsøgn) sí1
object glass	(sjón)glas (í kikarao.tíl.)
objection	1atfinning, átala, mótmæli(toímóti);mótvilji;I have no objection to your goingeg leggi einki í, um tú fert;take objection tofinnast at, átala, mótmæla (einum)2(kenslur) misnøgd, ónøgd, óvilji
objectionable	1ringur, illramur (t.d.objectionable smell)2óhóskandi, særandi, sum líkist ongum, átaluverdur, atfinningarverdur (t.d.objectionable remark)
objective1	1mið, mál, endamál, stevnumið, setningur2(herm.)álopsmál (t.d.military -s)3(í kikarao.tíl.)sjónglas4[íyms.samb.]-(s)setningur, stevnumið, endamál;the ultimate objective of the projectendamálið við verkætlanini;pilgrimage objectivesmál fyri vallaraferðirel.pílagrímaferðir;what practical objective is achieved by this procedure?hvat praktiskt úrslit fæst burturúr, um vit nýta hesa mannagongd?;military objectives (herm.)hernaðarmál; álopsmál;the cruisers returned without reaching their objectiveskrússararnir komu aftur uttan at hava rokkið setningin, teimum varð settur/álagdur
objective2	1uttanveltaður, partleysur, uttanpartaður, óvildar-, sakligur2(málfr.)ávirkis-;the objective casehvønnfall
objectivity	partloysi, uttanveltastøða, at vera sakligur
object lesson	1(tími í) sýnisundirvísing, sýniskensla2(eis. fl.m.)dømi (lýsing) úr livandi lívi (tíðum sum ræðandi dømi), livandi (fyri)dømi, skúladømi
objector	mótstøðumaður, andstøðingur, mótmælari
objectoriented program	(teld.)heildarvent forrit
objects clause	endamálsgrein
objet d’art	listlutur
objurgate	deila, hava at einum, harta
objurgation	deila, ákoyring, ábreiðsla, harting, átala, revsiprædika
oblanceolate	(plfr.)øvut hjartavaksin
oblate	1(stfr.)pólflatur2(plfr.)rundligur
oblation	1offur (í kirkju)2olmussa
obligate1	skyldubinda, forplikta
obligate2	(plfr.)albundin
obligated	skyldubundin(toat)
obligation	1skuldbinding, skylda, binding2takksemiskuld, takkarskuld (t.d.I am under (an) obligation to him for his helpeg standi í takksemiskuld til hansara fyri …)3[íyms. samb.]be under an obligation to1vera skuldbundin til, vera forpliktaður2standa í takkarskuld til;obligation to buykeypsnoyðsla;without obligationikki bindandi, óbindandi
obligatory	skyldubundin, skyldu-, forpliktaður, pliktaður, kravdur, bindandi
obligatory wells	(oljuv.)skyldubrunnar
oblige	1vera beinasamur, hjálpsamurel.viðeiriligur;(do a favour)gera einum eina ein beinael.eina tænastu (t.d.oblige me by closing that doorger mær tann beina at lata...;now please oblige me over thistú hevði gjørt mær tann beina at); ganga (einum) á møti (t.d.we do our best to oblige him)2(binda) forplikta, noyðast, tørva (einum tørvar), vera noyddur at (t.d.no one is obliged to accept); (compel)tvinga, noyða (t.d.necessity obliged him to that action)3(viðv.undirhaldi) stíga fram,(tlm.)upptraðka (t.d.nobody was willing to oblige)4[íyms. samb.]oblige with a songvera so beinasamur at syngja ein song; (við ávirki)oblige sbygera einum ein beina, vera beinasamur við ein, vera blíður við ein;oblige me by + -ing (forml.)ger mær tann beina at (t.d.by leaving the room; keeping your thoughts to yourself); could you oblige me with a match?tygum hava ikki ein svávulpinn(el.eld)?;obligewitha song(gott í teg) syng ein song
obliged	1pliktaður, forpliktaður(totil at)2[íyms. samb.]be -dto(+ navnh.)vera noyddur til, noyðast, muga;I would be obliged if you would (forml.)eg hevði verið takksamur, um;I am much -d to you (forml.)eg eri tær//tygum ógvuliga takksamur, stóra tøkk
obligee	(løgfr.)kravánari, krevjari
obliging	beinasamur, hjálpsamur, blíður, blíður og týður, vinaligur, fryntligur, fyrikomandi, lagaligur, viðeiriligur, vegligur, góður í ávikum, góður at heita á (t.d.one of the most obliging stewards.it's very obliging of him)
obligor	skuldari
oblique	1hallur, skráur2(plfr.)skeivur3(serst. stfr.)sum er á skeivan, sum hvørki er hornrættel.javnfjart4(fl.m.;um framsøgn/útsøgn) ullintur, óbeinleiðis, umvegis; ógreiður;in oblique termstvírødd/ógreið orð
oblique angle	(stfr.)skeivur vinkul (ikki rættur), vinkul, ið er antin krappurel.gævur
oblique case	(málfr.)bent fall, hini føllini (hvørfall undantikið)
oblique fire	(herm.)skákskjóting
obliquely	ikki beinleiðis, óbeinleiðis (t.d.they referred obliquely to the afternoon disaster several times, but they avoided detailed discussion of...)
oblique narration	(málfr.) óbeinleiðis tala; eis.oblique oration
obliqueoration	(málfr.) óbeinleiðis tala; eis.oblique narration
oblique stroke	skákstrika
obliquity	(eis.íflm.) skeivleiki (í framferð, hugburði/áskoðanel.skynsemi); óskil
obliterate	týna, oyða, gera til einkis, forkoma, beina fyri
obliteration	týning, oyðing
oblivion	1gloymska2[íyms. samb.]act of oblivionnáðing;save sthfromoblivionvarðveita(el.goyma) okkurt til seinni tíðir;bomb the cityintooblivionbumba býin í sor;fall//sink into oblivionfara í gloymsku; verða (burtur)gloymdur;consign it to oblivionlata eitt fara, gloyma tað
oblivious	be oblivious of/to gloyma, ikki leggja lag í, ikki varnast, ikki geva sær far um
oblong1	avlangt skap, avlangur rætthyrningur, rektangul
oblong2	1avlangur2(prent.,um stødd) tvør- (t.d.oblong folio, oblong quarto)
obloquy	1útspilling, bakbit, baktal2vanæra, ringt orð, at vera illa kendur, vanmet (t.d.hold sby up to obloquy)
obnoxious	1(serst.um fólk) ódámligur, (ógvisligari) andstyggiligur2(gl.)sum kann koma undir;actions obnoxious to censuretiltøk sum kunnu koma undir ritskoðan3(um atburð) særandi, ljótur (t.d.remarks),ágangandi, ódámligur, ónærisligur, ósømiligur, ósámiligur, óvanda-, sum vekur mótboð, ótespiligur (t.d.obnoxious smell); obnoxious toilla dámdur
obnubilate	1draga á luftina2myrkja (sinnið); grugga
oboe	(tónl.)obo
oboist	(tónl.)oboleikari
obovate	(plfr.)øvut eggvaksin
O’Brien	
obs.	(st.)1observation2obsolete
obscene	1fúlur, ónæriligur, skendskur, ólíkiligur, illavorðin, ljótur (í munninum), óvandaligur; skendskur (t.d.obscene gesture); (serst. løgfr.)ónæra-; síobscenebooks2(íbreið. merk.)sum líkis ongum, andstyggiligur, vitleysur (t.d.it is obscene to spend so much money on food)
obscene books	ónærabøkur
obscene libel	(løgfr.)ónærilig útspilling, ónæriligt bakbit
obscene literature	ónærarit, pornografiskar bókmentir
obscene publications	ónærarit
obscenity	1ósømd, ósømiligur atburður, ósiðalæti, ólæti; ófýsni, andstygd2(serst. løgfr.)ónærarit, ónæramyndir, pornografi3(íbreið. merk.)at eitt líkist ongum4(framsøgn) fúl søga, ónæri(s)lig søga, morreyð søga, fúlheit
obscurantism	myrkastevna, illvilji móti upplýsing, mentanarfíggindaskapur (t.d.the struggle against religious obscurantism)
obscurantist1	myrkavætti, fíggindi av upplýsing
obscurantist2	myrkavættis-, illviljaður mótvegis mentan, mentanarfíggindaligur
obscuration	1myrking2tað at krógva, fjalael.hylja; at leggja lok á (eitt)
obscure1	1myrkja fyri, krógva, fjala fyri, hylja, bera uppfyri(t.d.húsini bera uppfyri) (t.d.the view)2(fl.m.)káva útyvir (t.d.the real reason),blaka torvmold í eyguni (á einum), bera blak fyri eyguni á (einum)
obscure2	1ókendur (t.d.the reasons for it are obscure; some obscure poet//provincial town);(um plásseis.)lítið kendur; fjarskotin2kámur, ótýðiligur, gruggutur, ógreiður, óklárur, fløktur (t.d.obscure text)3myrkur (t.d.obscure corner),skýmligur (t.d.the path grew more and more obscure)4[íyms. samb.]he lives an obscure lifehann livir (friðarliga og) fyri seg sjálvan;of obscure originhvørki kenna slag ella slekt, vera av smámannaætt
obscured glass	óglært glas, óskyggið glas
obscure vowel	(ljóðfr.) viknað sjálvljóð (t.d.ə is an obscure vowel)
obscurity	1at vera óansaðurel.ógáaður, at liva (friðarliga) fyri seg sjálvan, at vera ókendur2ógreiði, at eitt er óskiljandi, óklártel.ógreitt3myrkur, dimmi; at eitt er kámtel.ótýðiligt
obsecration	innilig bøn, ákallan
obsequies	jarðarferð
obsequious	undirbrotligur; eyðmjúkur, (ógvisligari) sleiskur, krúpandi (t.d.they were served by obsequious servants)
observable	sjónligur, sum sæst, sum kann eygleiðast
observance	1(forml.)hald, at (uppi)halda (t.d.observance of a law, observance the Lord’s Day)2(forml.)at tiga, tøgn (t.d.observance of two minutes’ silence)3(forml.)hátíðarhald (t.d.observance of the Queen’s birthday);at halda heilagt, halgihald (t.d.of the Lord’s Day)4(forml., átr.)siður, halgisiður, siðahald;according to old observanceeftir gomlum siði
observant	1eftirskettin, ansin, vandin, nærlagdur; sum ansar væl eftir at halda(of)2(átr.)sum heldur halgisiðir
observation	1athygging, eygleiðing, kanning, eftiransan, viðraking; eftirtekt;escape observationsleppa undan at verða sæddur2eygleiðingargáva3(um framsøgn/útsøgn) viðmerking(on/abouttil)
observational	kanningar-, eygleiðingar-
observation car	(jarnb.)útsýnisvognur, ferðamannavognur
observation post	kagstøð, kagstaður, kanningarstaður, eftirlitsstaður
observatory	stjørnukag, stjørnukanningarstøð
observe	1hyggja at, eygleiða, eygfara, eygbera (t.d.the stars; the behaviour of gorillas)2geva gætur eftir einum, geva einum gætur, sketta eftir, varnast, geva sær far um (t.d.she -d a look of anxiety on his face)3halda, uppihalda (t.d.observe rules)4hátíðarhalda, halda (t.d.observe a birthday);halda heilagan (t.d.observe the Sabbath)5(um framsøgn) viðmerkja, siga, halda fyri;observe silencetiga, einki siga
observer	1eygleiðari, kannari, áskoðari2(á ráðstevnu) eygleiðari3(um tíðindafólk) frásøgufólk, eygleiðari
observing	skettin
obsess	(um hugskot, tanka) tráseta, verða plágaður av, ikki sleppa (einum);-ed withtrásettur, bergtikin, heltikin;obsess about/withhugsa javnt og samt um;he has an -ed ideahugsanin hevur heltikið hann
obsession	1tráseting, at vera sjúkliga upptikin av einum, at vera púra burtur í einum (t.d.his obsession with computers began six months ago)2(sálfr.)neyðhugsan, tvingsilshugsan,(tlm.)tvangstanki
obsessional	sum er burtur í einum, sum líkistel.er átøkt neyðhugsan;be obsessional aboutvera sjúkliga upptikin av (einum)
obsolescence	fyrning, at vera burturoldaður (t.d.computers are famous for their rapid obsolescence)
obsolescent	sum er um at verða avlagdurel.verða avoldaður (t.d.obsolescent words)
obsolete	avlagdur, avoldaður, burturoldaður
obstacle	1forðan, forðing, hindur, meinbogi, bági, bágsteinur2(ítr.)forðing
obstacle course	(herm.)tarnbreyt
obstacle race	(ítr.)forðarenning
obstetric	(lækn.)viðvíkjandi burðarfrøðiniel.nærfrøðini, sum hoyrir upp í burðarfrøðina
obstetrical	sum hoyrir upp í nærfrøðina
obstetrician	burðarlækni, nærlækni, føðingarlækni
obstetrics	nærfrøði, burðarfrøði
obstinacy	treiskni, tvørskapur, at vera stívrendurel.óvikandi
obstinate	treiskur; tvørur, stívrendur, sjálvráðin;(as) obstinate as a muletreiskur sum eitt ross
obstreperous	1harðmæltur, rusutur, hámikil, málamikil, sum heldur gang2óstýriligur balstýrin, ólátaður, ólátin (t.d.the boy is cocky and obstreperous)
obstruct	1byrgja, steingja, læsa, loka, forða, sperra (av, fyri); girða av (t.d.obstruct the road; the runway; the entrance)2(um røro.tíl.)tippa3(akfar, sýni) forða, bera uppfyri (t.d.obstruct the view; traffic)4hindra, tarna, forða, darva ein, tálma einum (t.d.obstruct progress)5(stjm. eis.)seinka, tarna6[íyms. samb.]obstruct justiceforða fyri at rættvísin nýtur frama
obstruction	1forðing, tarn, hindur, sperring2tipping3(stjm.)seinking4(fótb.)forðing
obstructionism	seinkingarpolitikkur
obstructionist	seinkingar- (sum hevur til endamáls at forða fyri, at nakað spyrst burturúr) (t.d.policy; tactics)
obstructive	sperrandi, forðandi, hindrandi, tarnandi, darvandi, tálmandi, seinkandi;be obstructive(um fólk) leggja fótonglar fyri ein, leggja fót fyri ein, leggja ástoytingarstein fyri ein
obstructive sleep apnea	svøvnkøva; (á enskum stytt til)OSA
obtain	1fáa, útvega, røkka, náa;obtain good resultfáa gott úrslit;obtain one’s purposerøkka tað, ein ætlar;obtain his confidencegera, at ein fær álit á einum;obtain influencefáa ávirkan;obtain justicevinna rættvísi2(við ongum ávirki) galda (t.d.the rates -ing in 2002takstirnir sum komu í gildi í 2002)3vera, valda;the conditions -ing in many mental hospitalsumstøðurnar sum eru(el.valda) á mongum statshospitalum4vera tilel.til staðar (t.d.the political conditions for a coup no longer obtaineinki politiskt grundarlag er longur fyri einum ríkiskvetti; vera (t.d.the tragic situation -ing in this country)5liva enn (t.d.the custom still -s)
obtainable	fáandi, sum fæst; sum ber til at fáa, útvega særel.vinna
obtrude	1noyða, kroysta, trýsta (t.d.obtrude sth upon sby; he -s his opinions upon others)2troðka; trútta, vera átroðkandi, vera ágangandi3daga undanel.fram, dagast, daga uppundan, koma undan, koma til sjóndar (t.d.on the lower slopes rocks and bushes were already -ing through the snow)
obtruder	ágangandi fólk
obtrusion	at vera ágangandi; noyðsla
obtrusive	1eyðsýndur, eyðsýnur, eyðsýniligur, sjónskur2(um fólk) ágangandi, ágeingin, stríggin, boysin, møðsamur, naskur; sum ein marra
obtund	1(um sjón) døkkast, vikna, kámast2(um førleika) vikna
obturate	tetta
obtuse	1óhvassur2(stfr.)gævur(t.d.vinkul)3(plfr.)kubbutur4(fl.m.,um fólk) tornæmur, býttur (t.d.he seemed obtuse and paid no attention to the hints)5(um ljóð) tómligur, deyvligur, doyvdur6(um pínu) nívandi
obtuse angle	(stfr.)gævur vinkul
obverse	1tað øvuta; (t.d.the obverse of love is hate)2(á mynti, penga) framsíða, forsíða
obviate	1byrgja fyri, fyribyrgja, sleppa undan (t.d.a misunderstanding)2(um vandamál) taka burtur, beina fyri, rudda burtur (t.d.obviate a difficulty)3(um tørv) eftirlíka, ganga á møti
obvious	1eyðsýndur, eyðsæddur, týðiligur, greiður, skilligur, sum eingin ivi kann vera um, opinberur (t.d.an obvious advantage; obvious chance);sjálvsagdur, vituligur; sum liggur næstur (t.d.the obvious explanation; the obvious solution; for obvious reasonsav eyðsæddum/eyðskildum orsøkum, tað er vituligt;for no obvious reasonvið ongari ávísiligari grund2(niðr.)ov sjónskur, ov eyðsýndur; sum liggur ov nær, bíligur, lættvunnin (t.d.obvious joke)
obviously	vituliga (t.d.it is obviously not enough)eyðsæð (t.d.there is obviously something wrong with the machine)sjálvandi (t.d.he is obviously disappointed at her decision)týðiliga (t.d.they were obviously exhausted after the game)skilliga (t.d.it is obviously a huge problem getting it transported home)heilt klárt, heilt greitt, greidliga, sjálvsagt (t.d.it is obviously your fault)
OC	(st.)Officer Commanding
ocarina	(tónl.)okarina (ljóðføri)
occasion1	1(stór)hending, hátíðarlig hending (t.d.her wedding was quite an occasion; a historic occasion)2(sum hevur avleiðing við sær) høvi, føri, orsøk, grund, atvold(for, oftil) (t.d.it was the occasion rather than the cause of the war; there is no occasion for alarm)3(forml.,um tíð) høvi, føri, atstøða, líkindi, umstøður(flt.),kjansur, kansur, møguleiki, tíð, vegur tilelving(for + -ing//totil at, t.d.a fitting occasion announcing the wedding; I have had no occasion to visit him)4[íyms. samb.]be the occasion ofhava við sær, bera við sær, vera atvoldin/orsøkin til (t.d.demonstrations); it is not the occasion for merrimenthetta er ikki løtan, har við skulu stuttleika okkum;take occasion tonýta høvi at;-s flt (eis. gl.)mál sum leika á5[ísamb. viðfs]writtenforthe occasionskrivaður til høvið;onoccasiontá ið til ber; av og á, við hvørt, so hissini, stundum;on an earlier occasion einaferð frammanundan/fyrr; on that occasionta ferðina, tá;on the occasion of his marriage1av tí/vegna tess at hann giftist/verður giftur2nú ið hann giftist, í sambandi við at hann verður giftur;on the slightest occasiontá ið høvi býðst;rise/be equaltothe occasionmegna tað ið fyri er
occasion2	gera, vera atvold til (eitt), vera atvoldin at (einum), birta í, elva til
occasional	1sum kemur fyri av og á,hissini, tilfallandi, fyrifallandi, tilvildarligur; (t.d.occasional thunderstorms//visitor)2(um tekst) gjørdur til høvi, tilburðar- (t.d.occasional poem);(sum er) til serligt brúk
occasionally	av og á, stundum, so hissini
occasional table	lítið borð, roykiborðo.tíl.
Occident	(form. el. skaldsk.)the Occident Vesturlond, Evropa og Amerika (mótvegisthe OrientEysturlond)
Occidental	vesturlendskur, vestur-
occipital	nakka-
occiput	nakki
occlude	1steingja (úti), tippa, útihýsa, byrgja fyri (t.d.occlude light);myrkja, standa (uppi) í ljósinum2(veðurfr.)renna saman (hita- og kuldabrýrel.kuldabrúgvar)
occlusion	1afturlating, loking, tipping2(veðurfr.)samkomael.tipping av hita- og kuldabrúmel.kuldabrúgvum
occult1	1hylja, krógva, fjala2(stjfr.)myrkja fyri
occult2	duldur, dularfullur, gandakendur, ganda-, loyniligur; yvirnatúrligur
occultation	(stjfr.)myrking (himmalknøttur fjalir annan himmalknøtt)
occulting light	(sigl.)myrkingarviti (fasta ljósið verður brotið av stuttum myrkingum)
occultism	duldartrúgv, loynispeki, at kanna ókendu duldarfullu vísindagreinarnar, trúgv á tað yvirnáttúrliga, okkultisma
occultist	duldartrúarfólk; ein, sum dyrkar tað dulda; okkultistur
occupancy	1(um hús, íbúð) bústaður2(um gistingarhús, sjúkrahús) nýtslustig, seingjarpláss, sjúklingatal3(um jørð) jarðarogn, ognarhald, at hava jørð í hondum
occupant	1(forml.)íbúgvi, búfólk, tann ið eigurel.býr2(forml.;um starv) tann ið røkir starvið, tann sum situr við starvinumel.hevur starvið3[íyms. samb.]the -s of the boat//carriagefólkini ið vóru í bátinum//akfarinum
occupation	1(sum ein livir av) arbeiði, starv, vinnustarv, atvinnustarv2ítriv (t.d.his favourite occupation is fishing; cardplaying is a harmless occupation)3(av húsum, íbúð) at búgva í4(herm.)herseting5[íyms. samb.]army of occupationhersetingarherur;period of occupationhersetingartíð;during the occupationí hersetingartíðini, meðan landið var hersett;occupation authoritieshersetingarmyndugleikar;ready for immediate occupation(um húso.tíl.)liðug/klár at flyta inn í
occupational	vinnu-, yrkis-, starvs-; vinnuligur, starvsligur, yrkisligur, fakligur
occupational competence	virkisførleiki
occupational disease	yrkissjúka
occupational hazard	vandi, ið stendst av (ávisum) yrki; yrkisvandi
occupational injury	arbeiðsskaði, yrkissjúka
occupational medicine	arbeiðsmedisin
occupational therapist	menningarviðgeri, ergoterapeutur
occupational therapy	menningarviðgerð, ergoterapi
occupier	búfólk, íbúgvi, leigari, eigari, ánari, handhavi; sí eis.occupant
occupy	1búgva í (t.d.the house next door has not been occupied for over a year)2(um starv) hava, sita í (t.d.occupy a seat)3(um pláss) skroyva upp, rúgva upp (t.d.occupy a lot of space)4fevna um (t.d.occupy 120 acres)5(um tíð) vera, taka, vara (t.d.occupy two hours)6(um sinni) hugsa nógv um, fáast við, takast við7(herm.)herseta, hertaka (t.d.occupy a country);hava (t.d.occupy a strategic position)
occupying-owner	óðalsbóndi
occupying power	(herm.)hersetingarvald
occupying troops	hersetingarhermenn
occur	1koma fyri, henda, bera á (t.d.child abuse occurs in all classes of society)2(um plantu, dýro.tíl.)vaksa, vera3[íyms. samb.]occurtosbykoma/renna fram fyri ein, einum dettur í hug, koma einum til hugs;it -red to me thattað kom/rann fram fyri meg at; mær kom/ran í hug/til hugs
occurrence	1hending, tilburður, viðburður; fyrikoming; (t.d.an unforseen occurrence); it is of frequent//daily//rare occurrencetað kemur ofta//dagliga//sjáldan fyri;that is an everyday occurrenceslíkt/tað hendir dagliga2(jarðfr.)fyrikoming (t.d.the occurrence of gold in a rock); a crystal of common occurrencealgongt krystall3(plfr.)tilvist (stað- og tíðarbundin)
ocean	1hav, heimshav, úthav, meginhav, stórhav2[íyms. samb.]-s (flt) ofovmikið av, ivaleyst av, ivaleysa nógv av (t.d.-s of time)
ocean-going	hav-;ocean-going shiphavskip
ocean-going ship	(um fiskiskip og onnur skip) havskip
oceangraphic	havfrøðiligur, havfrøði-
ocean green	havgrønur
ocean greyhound	skjótsiglandi havskip
Oceania	(sern., landafr.)Osiania
oceanic	1hav-2ovurstórur, risastórur (t.d.failure)
oceanic crust	djúphavsskorpa
ocean lane	siglingarleið,el.siglingargeil um meginhav
ocean liner	stórt ferðamannaskip (sum flytur ferðafólk úr A til B í regluligari sigling)
oceanographer	havgranskari, djúhavsgranskari, havfrøðingur
oceanographic,oceanographical	havgranskingar-, havfrøðiligur, havfrøði-; (t.d.expedition);oceanographic explorationhavgransking
oceanography	havfrøði, havvísindi(flt)
ocean ranching	havbit
Ocean State	eyknevni fyriRhode Island(stakríki í USA)
ocean station vessel	(sigl.)veðurskip
ocean tramp	farmaskip (sum ikki er í fastari rutu)
ocellated,ocellate	1(plfr.) sum líkist eygum2(dý.) sum hevur eygnalík merki3flekkutur, blettutur, deplutur
ocellus	1(dý.) depileyga(t.d.á fjøðurel.á skordýrum við samansettum eygum)2(á fjøðuro.ø.) eyga
ocelot	1(dý.)osilottur(Felis pardalis)2(Suðuram.)villkattur, villkøttur
ochre1	reyðleir, okkur;burnt ochrebrent okkur;yellow ochregultel.ljóst okkur;brown ochremorreytt okkur;red ochrereytt okkur
ochre2	reyðgulur, okkurgulur
ochrea	(plfr.)akslarslíðri
ochre-coloured	okkurlittur
ochreous	okkurkendur, reyðgulur, okkurgulur
ochre red	okkurreyður
ochre yellow	reyðgulur, okkurgulur
ochtoploid	(plfr.)áttlitla-
o’clock	klokkan;at five o’clockklokkan fimm,it is five o’clockklokkan er fimm;he knows what o’clock it is (fl.m.)hann er kvikurel.snildur;what o’clock is it?hvat er klokkan?, hvat er fram?
OCR	(st.)síopticalcharacter reader
Oct.1	(st.)October
oct.2	(st.)octavo
octagon	áttakantur, átthyrningur
octagonal	áttakantaður, átthyrntur
octahedron	áttafletingur
octane	(evnafr.)oktan
octane number	oktantal
octave	(tónl.)áttund, oktavur
octavo	áttingsbrot (bóka-el.arkastødd)
octennial	sum varir í átta ár; sum berst á áttanda hvørt ár
octet	(tónl.)tónaverk til átta ymisk ljóðføriel.røddir, oktett
October	oktobur, oktober
octogenarian	áttati ára gamal, fólk ið er í áttatiárunum
octoploid	(lívfr.)áttlitla-
octopus	1(dý.)áttermdurel.áttaarmaður høgguslokkur(Octopoda, Cephalopoda)2(fl.m.)margermt ódjór
octopus strap	toyggistroppur
octoroon	áttandapartsnekari
octosyllabic	áttastava-, sum hevur átta stavilsi
octosyllable	orð (ørindisregla) við átta stavilsum
octroi	tollur (kravdur við býarmark); tollbúð; tollari
OCTU,Octu	(st.)Officer Cadets Training Unit
octuple	áttafaldur
