O.	(st.)1Officer2Order
ob.	(st.)obiit [‘obiit](la.) ob.1589 doyði/andaðist í 1589
ob-	(plfr.)øvutur
obconical	(plfr.)øvut strýtuvaksin
obcordate	(plfr.)øvut hjartavaksin
obduracy	1tvørskapur, treiskni2tvørleiki, trupulleiki
obdurate	1tvørur, treiskur, forherðaður (t.d.an obdurate sinner),stívur, stívrendur, stokksettur, tvørballaður, forgjørdur, forherðaður, ólagaligur, sum flættast ikki við(t.d. eis.tað flættast ikki við hann); harður2(um kor, umstøður) tvørligur, trupul (t.d.differences; problem)
OBE	(st.)Officer of the Order of the British Empire
obeah	1slag av gandi (í Vesturindia)2gandagripur, sigursteinur
obedience	lýdni(tovera einum lýðin)
obedient	lýðin(tovera einum lýðin);your obedient servant(í brævi) við hávirðing, virðingarfylst
obeisance	1(forml.,vísa einum) lýdni og virðing, fagnaður, at vísa viðurkenning2(forml.)djúpt bukk, níging, heilsan, høvisk heilsan (t.d.after making hisobeisanceshe approached the altar)3[íyms. samb.]do obeisance tofagna; lýða, vísa virðing;pay obeisance to1vísa virðing fyri, boyggja seg fri2fagna
obelisk	1obeliskur2(prent.)súlumerki
Oberon	
obese	ovurfeitur, ógvuliga feitur, spikafeitur, kvapsutur, fulputur
obesity	(ovur)fiti
obey	lýða, hoyra, akta
obfuscate	1(við vilja) gera eitt óskiljandiel.fløkt, fløkja, grugga (t.d.he accused the government of obfuscating the issue)2(um fólk) ørkymla, villa, gera í ørviti, órógva, gera heilavillan
obfuscation	1(við vilja) at fløkja og gera eitt óskiljandi, at grugga eitt2ørkymlan, at ørkymla
Ob-Gyn	(am., st.)burðarlækni og serlækni í kvinnusjúkum
obi	síobeah
obit	(tlm.)síobituary
obiter dicta	(lat., uml.)leysahugsanir, leysar viðmerkingar
obituary	minningarorðel.minningargrein í blaði;obituary noticeminningarorð
obj.	(st.)object
object1	1lutur, ting (t.d.a metal object)2(fakl.)ætlan, tilætlan, endamál(ofvið, t.d.the object of the investigation);mál (t.d.her object of life)3(málfr.)ávirki(offyri)4[íyms. samb.]be the object of1vera, vera fyri(t.d.vera samrøðuevni, koma undir ringt orð, vera fyri mannarópum) (t.d.admiration; ridicule)2(smb. 2)ætlaninel.endamálið við;salary is no objectlønin hevur ongan týdning;what an object he looks!sum hann sær út!
object2	1finnast at, siga, mælael.vera ímóti, tala at, mótmæla(toat, einum):object a suggestionfinnast at einum uppskoti;object to (eis.)einum dámar illa;if you don’t objectum tú ikki ert ímóti tí2(framman fyri setningi) finnast at, mótmæla (t.d.she -ed that it was too late)3[íyms. samb.]if you don’t objectum tú einki hevur ímóti tí;objectto 1(um kenslur) hava nakað ímóti (t.d.nobody could object to him);ikki dáma (einum dámar illa), ikki brýggja seg um (t.d.I object to being treated like a child)2(um framsøgn) sí1
object glass	(sjón)glas (í kikarao.tíl.)
objection	1atfinning, átala, mótmæli(toímóti);mótvilji;I have no objection to your goingeg leggi einki í, um tú fert;take objection tofinnast at, átala, mótmæla (einum)2(kenslur) misnøgd, ónøgd, óvilji
objectionable	1ringur, illramur (t.d.objectionable smell)2óhóskandi, særandi, sum líkist ongum, átaluverdur, atfinningarverdur (t.d.objectionable remark)
objective1	1mið, mál, endamál, stevnumið, setningur2(herm.)álopsmál (t.d.military -s)3(í kikarao.tíl.)sjónglas4[íyms.samb.]-(s)setningur, stevnumið, endamál;the ultimate objective of the projectendamálið við verkætlanini;pilgrimage objectivesmál fyri vallaraferðirel.pílagrímaferðir;what practical objective is achieved by this procedure?hvat praktiskt úrslit fæst burturúr, um vit nýta hesa mannagongd?;military objectives (herm.)hernaðarmál; álopsmál;the cruisers returned without reaching their objectiveskrússararnir komu aftur uttan at hava rokkið setningin, teimum varð settur/álagdur
objective2	1uttanveltaður, partleysur, uttanpartaður, óvildar-, sakligur2(málfr.)ávirkis-;the objective casehvønnfall
objectivity	partloysi, uttanveltastøða, at vera sakligur
object lesson	1(tími í) sýnisundirvísing, sýniskensla2(eis. fl.m.)dømi (lýsing) úr livandi lívi (tíðum sum ræðandi dømi), livandi (fyri)dømi, skúladømi
objector	mótstøðumaður, andstøðingur, mótmælari
objectoriented program	(teld.)heildarvent forrit
objects clause	endamálsgrein
objet d’art	listlutur
objurgate	deila, hava at einum, harta
objurgation	deila, ákoyring, ábreiðsla, harting, átala, revsiprædika
oblanceolate	(plfr.)øvut hjartavaksin
oblate	1(stfr.)pólflatur2(plfr.)rundligur
oblation	1offur (í kirkju)2olmussa
obligate1	skyldubinda, forplikta
obligate2	(plfr.)albundin
obligated	skyldubundin(toat)
obligation	1skuldbinding, skylda, binding2takksemiskuld, takkarskuld (t.d.I am under (an) obligation to him for his helpeg standi í takksemiskuld til hansara fyri …)3[íyms. samb.]be under an obligation to1vera skuldbundin til, vera forpliktaður2standa í takkarskuld til;obligation to buykeypsnoyðsla;without obligationikki bindandi, óbindandi
obligatory	skyldubundin, skyldu-, forpliktaður, pliktaður, kravdur, bindandi
obligatory wells	(oljuv.)skyldubrunnar
oblige	1vera beinasamur, hjálpsamurel.viðeiriligur;(do a favour)gera einum eina ein beinael.eina tænastu (t.d.oblige me by closing that doorger mær tann beina at lata...;now please oblige me over thistú hevði gjørt mær tann beina at); ganga (einum) á møti (t.d.we do our best to oblige him)2(binda) forplikta, noyðast, tørva (einum tørvar), vera noyddur at (t.d.no one is obliged to accept); (compel)tvinga, noyða (t.d.necessity obliged him to that action)3(viðv.undirhaldi) stíga fram,(tlm.)upptraðka (t.d.nobody was willing to oblige)4[íyms. samb.]oblige with a songvera so beinasamur at syngja ein song; (við ávirki)oblige sbygera einum ein beina, vera beinasamur við ein, vera blíður við ein;oblige me by + -ing (forml.)ger mær tann beina at (t.d.by leaving the room; keeping your thoughts to yourself); could you oblige me with a match?tygum hava ikki ein svávulpinn(el.eld)?;obligewitha song(gott í teg) syng ein song
obliged	1pliktaður, forpliktaður(totil at)2[íyms. samb.]be -dto(+ navnh.)vera noyddur til, noyðast, muga;I would be obliged if you would (forml.)eg hevði verið takksamur, um;I am much -d to you (forml.)eg eri tær//tygum ógvuliga takksamur, stóra tøkk
obligee	(løgfr.)kravánari, krevjari
obliging	beinasamur, hjálpsamur, blíður, blíður og týður, vinaligur, fryntligur, fyrikomandi, lagaligur, viðeiriligur, vegligur, góður í ávikum, góður at heita á (t.d.one of the most obliging stewards.it's very obliging of him)
obligor	skuldari
oblique	1hallur, skráur2(plfr.)skeivur3(serst. stfr.)sum er á skeivan, sum hvørki er hornrættel.javnfjart4(fl.m.;um framsøgn/útsøgn) ullintur, óbeinleiðis, umvegis; ógreiður;in oblique termstvírødd/ógreið orð
oblique angle	(stfr.)skeivur vinkul (ikki rættur), vinkul, ið er antin krappurel.gævur
oblique case	(málfr.)bent fall, hini føllini (hvørfall undantikið)
oblique fire	(herm.)skákskjóting
obliquely	ikki beinleiðis, óbeinleiðis (t.d.they referred obliquely to the afternoon disaster several times, but they avoided detailed discussion of...)
oblique narration	(málfr.) óbeinleiðis tala; eis.oblique oration
obliqueoration	(málfr.) óbeinleiðis tala; eis.oblique narration
oblique stroke	skákstrika
obliquity	(eis.íflm.) skeivleiki (í framferð, hugburði/áskoðanel.skynsemi); óskil
obliterate	týna, oyða, gera til einkis, forkoma, beina fyri
