E.	(st.)East India(n); East Indies
earnest1	1tryggingarfæ; veð, veðhald, prógv (t.d.as an earnest of his good intentions)2forsmakkur (t.d.an earnest of future favours); an earnest of things to comeforsmakkur av tí ein kann vænta sær
earnest2	1lálvarsamur; inniligur, sannur, falsleysur2nálvara, álvarsemi;in earnestí álvara;are you in earnest ?álvaratos?in good (el. dead) earnestí ramasta álvara
earnest money	handpeningur; festarfæ; tryggingarfæ
earnestness	álvara, álvarsemi
earning capacity,earning power	vinnuevni
earnings	løn, inntøka, vinningur
earnings beforetax	(handilsm.)úrslit undan skatti
earnings-related	inntøkuásettur, lønarásettur, inntøkutongdur (t.d.benefits; pension);eis.income-related
ear pendant	(prýði) oyralokkur
earphone	høvuðlurt
earpiece	oyrnasnigil
earplug	oyraproppur; oyrastikk
earreach	hoyrnarringur
earring	oyrnaringur, oyrnalokkur
earshot	hoyrnarringur
ear-splitting	ræðuligur (gangur)
earstud	oyrnasteyti
ear tag	oyramerki
earth1	1jørð (t.d.heaven and earth; earth and water; the plane fell to (the) earth)2mold (t.d.a lump of earth; clayey earth); the history of the earthjarðarsøgan3the earthjarðarknøttur, jørðin (t.d.the earth revolves round the sun);fold4(ravm.)jarðfesti, jarðsamband5revabøli; híð6[íyms.samb.]comeback(el.down) toearth (fl.m.)koma niður aftur á jørðina;down to earthjarðbundin, turrisligur;it is not the earth (tlm.)tað er ikki øll verðin; (síeis.cost2); moveheaven andearthseta himmal og jørð í røring;how(, what, where) on earth ?hvussu í víðu verð? hvussu í Guðs garði?feel likenothing onearth (tlm.)vera illa fyri, vera ússaligur;look like nothing on earth (tlm.)líkjast ongum, síggja út sum eitt hím;paythe earthrinda í dýrum dómum;run toearth (áv.)jagstra(t.d.ein rev) inn í holuna;(fl.m.)finna fram til; fáa endaliga greiðu á;takeearth, go (el. run) to earthkrúpa inn í sína holu
earth2	1gróðurseta, seta niður; hyppa, breiða mold á2jagstra(t.d.ein rev) inn í holuna;(óáv.t.d.um rev) leita sær inn í holuna3(ravm.)jarðfesta, (streym) jarða
earthborn	menniskjaligur
earthbound	jarðfestur; jarðbundin; við kós móti jørðini
earth closet	turrklosett, bukka
earth crust	jarðskorpan, jarðarskorpan
earth crust movements	jarðskorpurøringar
earthen	mold-; leir-
earthenware	leirvørur, -ker, -íløt
earth folding hole	(jarðfr.) sjúnki
earthing-up	(landb.) tað at hyppael.ryggja
earth lead	jarðleiðing
earthling	jarðarbúgvi, jarðbúgvi; deyðiligur; barn av hesum heimi
earthly	jarðligur, verðsligur, veraldarligur; jarðar-; jarðbundin; hugsandi;of no earthly usetil onga verðsins nyttu;not an earthly Sikki vet av møguleika
earthly-minded	jarðbundin, verðsligur
