w.	(st.)1weight2with
wady	1síwadi2[fólk sum úr Meksiko roynir at sníkja seg inn í USA]
wafer1	1(tunn keks) ísvafla, vafla;thin as a waferpappírstunnur2(átr.)altarbreyð3(reytt) pappírsinnsigli (at líma á brævbjálva)
wafer2	innsiglael.lata aftur við pappírsinnsigli
wafer biscuit	vafla (sum verðure etin aftur við ísi)
wafer-thin	1(um fólk) pappírsligur, ógvuliga klænur2ógvuliga tepur (t.d.majority)
waffle1	1(kaka) vafla2(tlm.)tvætl, møsn, roksan aftur og fram, vevjan uppísaman; at tøva
waffle2	1tvætla, møsna, roksa, vevja uppísaman2(serst. am.)tosa uttanum, mala uttanum, tøva
waffle iron	vaflujarn
waffling	(tlm.)ógreiður, óklárur, óskilligur
waft1	1lot2angi, roykur
waft2	(gl., sigl.) langt signalflagg (sum gongur út í spíss)
waft3	verða borin, koma rekandi, reka (ígjøgnum luftina) (t.d.cooking smells -ed along the hall; the smell of bacon -ed out from the kitchen)
wag1	1(um hund) at láta við halanum2skálkur, íspegil, kúllur, stavnur;play the wag from school (avstr.)skulka
wag2	1peiggja við, flyta eitt (spakuliga upp og niðurel.aftur og fram), (um høvdið) rista við, skaka við (høvur), (um halan á hundi) láta; (um fugl) drifta(t.d.fuglurin drifti velinum)2(við ongum ávirki) sveiggja, dingla, darla, rørast3rýma, sleppa sær búrtur; skulka4[íyms. samb.]his tongue -s incessantlyhatta tegir ongantíð, leikindini ganga í heilum á honum;tongues are waggingtað gongur sum rótasúpan;he wagged his finger at me (uml.)hann lyfti fremstafingri ávarandi ímóti mær
wage1	løn, arbeiðsløn;the -s of sin is deathløn syndarinnar er deyði (Róm. 6, 23)
wage2	wage war fara í hernað ímóti, kríggjast, hava kríggj, fara í kríggj við
wage bill	lønarútreiðslur (flt), lønarkostnaður; lønir
wage bracket	lønarflokkur
wage contract	lønarsáttmáli
wage differential	lønarmunur
wage dispute	lønarstríð, lønarósemja
wage drift	lønarvøkstur, lønarglíðing
wage-earner	løntakari, yrkistakari; eis.salary earner
wage freeze	lønarsteðgur; eis.pay freeze, salary freeze
wage hike	(am.) lønarhækking; sípay increaseel.wage increase
wage increase	lønarhækking; eis.pay increase
wage level	lønarstig
wage packet	lønarbjálvi
wage pause	lønarsteðgur
wage-push inflation	(bú.)dýrtíð/inflatión sum stavar frá lønartrýsti/lønarglíðing
wager1	1tað ið er lagt á í vedding, spælipeningur, puljael.innsatsur2vedding
wager2	vedda, vedda um, seta í veð, satsa uppá;I’ll wager that (gl.)eg veddi uppá at
wage rate	lønarstig, lønarsatsur
wage restraint	hóvsemi í lønarkrøvum, at vera hóvligur í lønarkrøvum
wage scale	lønartalva; eis.wage table
wage settlement	(eftir samráðingar) lønarsemja
wage sheet	1lønarlisti2lønarkostnaður
wages office	lønarskrivstova
wage talks	lønarsamráðingar
wageworker	arbeiðsmaður, verkamaður
waggery	fjákalótir, fjant, fják, skálkabrøgd, skemt
waggish	(gl. tlm.)skemtandi, skemtingarsamur, kátur
waggle1	1sveiggjan, dandan, ristan, vríggjan2(um hala) at láta við
waggle2	1sveiggja, fara aftur og fram, vríggja, danda, rista2(um hala á hundi) láta við
waggly	1óstøðugur, vinglandi2vríggjandi, sum vríggjar3sum letur við (halanum)
wagon	1vognur, arbeiðsvognur2(jarnbr.)góðsvognur3(hjá børnum) spælivognur4[íyms. samb.]be/go on the (water) wagonStað at vera turrlagdur, verða/gerast fráhaldsmaður;fall off the wagondetta útí (fara at drekka aftur);hitch one’s wagon to a starseta sær høg mál
wagoner	vognstýrari
wagonette	(gl.)[fýrahjólaður vognur við tveimum síðubeinkjum aftan fyri vognstýraran]
wagon-lit	(fr.)svøvnvognur, sovivognur (í toki)
wagtail	(dý.)citrine wagtail mýrierla(Motacilla citreola); grey wagtailáarerla(Motacilla cinera); white wagtailerla kongsdóttir(Motacilla alba)
wahhey,wahoo	síyahoo
waif	1(um fólk) heimleyst barn, vanrøkt barn2strokahundur, útiløgukattur;waifs and straysbørn ið ongan góðan eiga og sum reika runt og bidda
wail1	1gremjan, venan, eymkan; harmur2(um lúður, vind) ýl, ýlan
wail2	gremja seg, geva seg, eymka seg, vena seg, lemja seg, gráta og illa láta; gráta; gremja seg um, gráta um, sorka, vera harmur um;the Wailing Wallgrátimúrurin (í Jerusalem)
WailingWall	the Wailing Wallgrátumúrurin (í Jerúsalem)
wain	(gl., skaldsk.)vognur, vagnur
wainscot1	bróstaviður, bróstaklæðing, veggklædningur, panel
wainscot2	brósta, klæða við viði
wainscoted	klæddur við viði
wainscoting	bróstaklæðing, panel; tilfar til bróstaklæðing
waist	1lív, miðja (t.d.he put his arms around her waist); stripped to the waistberur upptil2(mál) síwaistline3(partur av kjólao.tíl.)lív4(am. eis.)blusa; kjólalív5miðjan á einum6(partur av luti) miðja (av einum)
waistband	1líning (á skjúrti), kjólalíning; buksulíning, brókalíning2belti, reim
waistbelt	belti, reim
waistcoat	vestur, troyggja
waist-deep	sum røkkur upp á miðju (t.d.she was waist-deep in water)
waist-high	sum røkkur upp á miðju
waistline	1miðjuvídd, vídd um miðjuna2(sum partur av kjóla) miðja, lív
waistliner	it is a -liner hatta fitar
waist pettie	undirskjúrt (við elastikki)
wait1	1at bíða, bíðitíð, bíðingartíð (t.d.a long wait; there is a 10-minutes’ wait between the trains)2[íyms.samb.]lie in wait forliggja og lúra eftir einum; (sí eis.waits)
wait2	1bíða; vita, hvussu fer2(um akfar) bíða (t.d.the car was -ing at the door)3(við ávirki) bíða eftir einum;wait one’s chancetaka sær løgir;wait one’s turnbíða til tess ein eigur4[íyms. samb.]be -ingliggja og bíða (t.d.the report was -ing when we came back)5[ísamb. viðfs//hj]waitabout/aroundsita (stillur) og einki gera(t.d.tí ein bíðar eftir onkrum);waitattable(s) (forml.)ganga fyri borðum, ganga til handa,(tlm.)varta upp;waitbehindsita eftir, eftir at hini eru farin;waitforbíða eftir;wait dinner for sbyikki fara til borðs, fyrr enn ein er komin;wait for it! (tlm.)1bint frið!; sissa teg!2(sum inngangsorð ísamb.við eitthvørt, sum fer at gera fólk kløkk) ja bíðið, nú skulu tit hoyra!;waitforsby//sthtobíða eftir einum at (t.d.wait for her to make the first move; wait for the weather to improve); waitinbíða heima eftir onkrum;waiton 1bíða eftir (t.d.the outcome)2borðreiða, ganga fyri borðum; borðreiða fyri einum, seta á borðið, varta ein upp; avgreiða ein (t.d.will you wait on me?)3(am.)bíða eftir4avgreiða (viðskiftafólk)5(gl.)vitja ein; fara í fríggjaraørindum til ein(s);wait on sby hand and footvera findarblíður við ein, bera ein á lógvum;may good luck waitup onyougóð lukka í teg, eydnan fylgi tær;wait sthoutbíða inntil eitt er av (t.d.we sheltered in a doorway to wait out the storm); wait tobíða eftir at (t.d.get on the bus);-ing to happensum kann henda hvørja løtu; sum liggur og bølirwaitup(am.)bíða//bíðið eftir mær (gakk//gangið ikki so skjótt); bíða//bíðið eitt sindur;waitup forsita uppi og bíða eftir (t.d.for sby)
waiter	1tænari2bakki at hava matel.drykkjuvørur á
waitestate	(teld.)bíðistøða
