a’	(skotskt.) =all(t.d.for a’ that)
about1	umleið, um; ymsastaðir (t.d.walk about the streets),hjá, uppi á (t.d.I have no money about me);við (t.d.there is sth about him that I don’t like; I wonder what it was about him that made me like him);yvir (t.d.there is something nervous about him);um, viðvíkjandi, í sambandi við; (t.d.a story about animals; do you know anything about it?; it is something about chemistry; it is all nonsense about that legacy; angry about it; there is some resentment about it); be aboutvera um, snúgva seg um;he was nice about ithann var fattur;what about that?hvat halda tygum um tað?;what about it?og hvat so? hvat verður tað til? íðan, hvat so?;what (el. how) about you?hvussu við tær?; í holt við (t.d.I think I’ll finish the book while I am about it; he knows what he is about)
about2	um; ymsastaðni, her og har;(tlm.)í nánd; um at vera (t.d.I’m about tired of all that); be aboutvera um, snúgva seg um (t.d.what is the story about);vera tøkur (t.d.not until there is more petrol about); there is a lot of flu abouttað gongur so ringt krím;be (up and) aboutvera uppi, vera á fótum, vera frammi;be about to do sthætla sær, vera um at gera eitthvørt;I’m not about to (am.)eg ætli mær ikki
about-face1	1(kú)vending2(fl.m.)kúvending
about-face2	venda, kúvenda
about-ship	(sigl.)venda
about-turn	1n(kú)vending;(fl.m.)kúvending2svenda, kúvenda
above1	1uppiyvir, omanfyri; uppiá; í erva (t.d.the aeroplane was just above; he lives in the flat above; the family above);longri uppi (t.d.the bridge is two miles above);úr erva, omanífrá (t.d.from above; by order from above)2í himli (t.d.the Powers above)3(í bók) omanfyri (t.d.as stated abovesum nevnt omanfyri;the above list)
above2	1fsyvir, oman fyri, uppi yvir (t.d.the stars above us; the branch above his head; above the clouds; the number above the door; above 80 years)2(fl.m.)oman fyri, (hevjaður) yvir, meira enn; (t.d.a general is above a colonel in rank; above the average; the lecture was above their level); koma fram um (t.d.filial piety is above self-interest); above allfram um alt;be above oneselferpin, pretin
above-board	ærligur, reiðiligur, skikkiligur;open and above-boardopið og reiðiligt;everything has got to be above-boardalt skal fara regluliga fram
above-ground	1uppi yvir jørðini2livandi, á lívi
above-mentioned	nevndur omanfyri, áðurnevndur
abovestairs	uppiá (t.d.we sat abovestairs; the room abovestairs)
above-water	yvir vatni, yvir vatnskorpu
AB P	(st.)Arterial Blood Pressure; Associated Book Publishers; Associated British Picture
Abp.	(st.)Archbishop
abr.	(st.)abridged; abridgement
abrade	skava, gníggja; skursla; slíta (av); (um húð ogfl.m.)erta
Abraham	
abrasion	skeina, skursl; niðurbrýning; slit (á tonnum)
abrasion platform	(jarðfr.) sævarflati
abrasive	1nslípievni, brýningarevni2lslípandi; slípi-, óslættur, sum skøvar3(fl.m.)særandi (t.d.unnecessarily abrasive to their feelings), ótolandi; abrasiverelationshipsamband súrgað av ósemju
abreact	(sál.)lætta av sær
abreast	1lið um lið (t.d.cyclists should not ride two abreast on a narrow road); overtake threeabreast koyra fram um tríggjar bilar ið koyra lið um lið2abreast ofájavnt við, fylgja við (t.d.be abreast of developments; bring the firm abreast of modern requirements; keep abreast of events; keep abreast of the times)3(sigl. eis.)út fyri, upp á tvørs
abridge	stytta, draga saman (t.d.a book, a play, a film);avmarka (t.d.his power)
abridg(e)ment	stytting, samandráttur; avmarking
abrim	á tremur
abroad	1uttanlands, uttanlendis; í útlondum;at home and abroadburtur og heima;from abroadúr útlondum2út (t.d.walk abroad after lunch; send him abroad on a horse to try to get some food);úti (t.d.he was witty abroad and dull at home; few people were abroad; games abroadútidystir); úti millum manna,publish (el. spread) abroadbreiða út, bera(t.d.ósonn tíðindi);there is a rumour abroad thattað frættist at;it got abroadtað kom í ljósmála; (vála)wander abroad3langt út (t.d.a tree spreading its branches abroad)4(av allari leið)all abroad
abrogate	taka av (t.d.special privileges),seta úr gildi (t.d.a law)
abrogation	avtøka, ógilding
abrupt	1brádligur, knappligur (t.d.turn, transition; come to[fáa]an abrupt end);óvæntaður (t.d.departure)2(um persón) kvettin, bitutur, snipsur3(um stíl) leypandi, ósamanhangandi4(um brekku) reyst, brøtt (t.d.ascent, rise, slope)
abruptness	brattleiki; kvettutur atburður; tvørrandi samanhangur
abscess	svullur
abscissa	(stfr.)miðlinja, abscissa
abscond	rýma (undan), stinga av (t.d.three Borstal boys absconded)
absconder	rýmingur
abseiling	(BrEn)sig (t.d.there are facilities for abseiling and rock climbing); smbr.rappel
absence	1frávera (t.d.in his absence; sick absence; lawful(el.unavoidable) absence);burturvera,during his absence in Americameðan hann var í Amerika2(lækn.)frávera, fráverurið3absence of mindat vera burtur í øðrum heimi4trot(ofá, t.d.trained leaders); in the absence of prooftá ið prógv vanta
absent1	1fráverandi, burturstaddur, ikki til staðar (t.d.I was absent at the time),absent from home (, school)ikki við hús (, í skúla); burtur, ikki at finna2burtur í øðrum heimi
absent2	absent oneself halda seg burtur frá, ikki fara á (til)(fromfrá);absent oneself from schoolikki koma í skúla
absentee	(ein) sum er frá, sum ikki er hjá, sum er uttan fyri sítt øki
absentee ballot	brævatkvøða
absenteeism	frávera, burturvera,absenteeism ratefráverutídd
absent-minded	hugspjaddur, burtur í øðrum heimi, burturhugaður
absinthe	absint
absolute1	treytaleysur sannleiki,the four absolutes (átr.)teir fýra treytaleysu sannleikarnir; absolutezerotað absolutta nullpunktið
absolute2	1avgjørdur (t.d.necessity; majority);fullkomin (t.d.freedom; justice);treytaleysur (t.d.trust, promise);óvikandi (t.d.fact, proof);endaligur (t.d.resignation);algildur2óavmarkaður, einveldis- (t.d.ruler, power, dictator)3gjørdur (t.d.fool, genius);heilur (t.d.absolute mountains of bread and butter)
absolutely	treytaleysa (t.d.absolutely the best; he is absolutely my favourite);fullkomiliga (t.d.necessary, impossible);púrasta (t.d.nothing, exhausted);púra víst
absolute monarch	einavaldskongur, einavaldskeisari
absolute monarchy	einavaldskongsríki
absolution	syndafyrigeving, avloysing
absolutism	einaveldi
absolutist	einaveldisviðhaldsfólk
absolutize	geva (t.d.hugtaki) treytaleyst virðiel.treytaleysa viðurkenning, ganga treytaleyst inn fyri e-m
absolve	1loysa(fromfrá, úr)2(løgfr.)loysa undan skyldu, skuldel.ábyrgd3(átr.)geva syndanna fyrigeving
absorb	1súgva (upp) í seg (t.d.sponges absorb water; light rays are absorbed by dark surfaces);súgva til sín (t.d.knowledge)2(um stoyteis.)taka, doyva3- absorbed inhava gloymt seg burtur í, vera sokkin í (t.d.he was completely absorbed in his task; the work absorbed him completely);absorbed in thoughtí djúpum tonkum;he was completely absorbed in(el.by) the spectaclehann var púrasta burturi í tí hann sá
absorbent	ísúgvin, ísúgvandi, sum sýgur til sín/í seg, vatnsúgvandi, atsúgvin, atsúgvandi;absorbent cotton (am.)vatt
absorbing	spennandi (t.d.studies, interests), hugtakandi (t.d.novel; task); of absorbing interestav størsta áhuga
absorption	1uppísúgving, ísoga2tað at gloyma seg burtur(iní) (t.d.a subject; one’s employment; sport)3innslúsan (t.d.of immigrants); absorption centreflóttarfólkamóttøka4upptøka (t.d.the absorption of nourishment in the small intestine; the process of digestion and absorption; absorption of nutrients through the roots)
absquatulate	(tlm.)rýma
abstain	1halda seg(fromfrá) (t.d.abstain from wine);lata vera við (t.d.to comment)2lata vera við at atkvøða,abstain!atkvøði ikki!
abstainer	fráhaldsmaður; ein ið ikki atkvøðir
abstemious	hóvsamur
abstention	fráhald; (tað) ikki at atkvøða;with 20 abstentionsog 20 atkvøddu ikki
abstinence	fráhald,total abstinencefullkomið fráhald
abstinent	fráhalds-, fráhaldandi
abstract1	1samandráttur, úrtøka(eis.íteld.);úrdráttur,an abstract of the accountskontuúrrit, kontuútskrift;abstract of title (løgfr.)málskjalaavrit av ognarheimildum í tingbókini, úrdráttur úr heimildarbrævi viðv føstum ognum2hugsað hugtak
abstract2	1taka burtur; fáael.draga burturúr2(tlm.)stjala, draga inn undir seg3loysa seg(fromfrá)4taka samanum; endurgeva
abstract3	úrtøkiligur, úrtøkur, abstraktur (t.d.word; ideas; reasoning; art; philosophy is an abstract subject); in the abstractástøðiliga; hugsaður
abstracted	(um fólk) (burtur) í øðrum heimi
abstraction	1burturbeining; úrdráttur2sertikið hugtak3burturhugi
abstractionist	listafólk ið málar úrtøkiliga list, abstrakt listafólk
abstruse	torskildur
absurd	skilaleysur, vitleysur, høpisleysur, burtur úr vón og viti; láturverdur, býttisligur
absurdity	skilaloysi, høpisloysi, vitloysi; býttisskapur;the absurdity of the suspicionhøpisloysið í illgrunanum;the absurdity of maintaining thattað vitleysa í at halda uppá at
abt	(st.)about
abundance	yvirflóð (t.d.live in abundance), ovurnøgd (t.d.an abundance of …);out of the abundance of the heart the mouth speakethmuður mælir tað ið hjartað er fult av(Matt 12, 24)
abundant	ríkiligur (t.d.an abundant supply of …; fruit was abundant), í ovurmát, í yvirflóð;abundant infullur av (t.d.a river abundant in salmon);øtiligur, ómetaligur (t.d.his abundant vitality)
aburst	aburst with murrandi fult av
abuse1	1misbrúk, misnýtsla (t.d.of one’s power), ranglæti;abuses fltsvik2ágangur (t.d.psychological abuse)3skemdarorð, ókvæmisorð (t.d.a torrent of abuse; a term of abuse)4(gl.)skammferð
abuse2	1misbrúka (eis.kynsliga), misnýta (t.d.a privilege; one’s power)2fara illa við (t.d.one’s horse);oyðileggja,abuse one’s eyes (, health)oyðileggja sær eyguni (, heilsuna)3(gl.)svíkja
abusive	1grovur í munninum (t.d.be abusive; he became abusive; abusive language; abusive expressions)2korruptur, sum tolir ikki dagsins ljós (t.d.financial practices)
abut	abutonliggja upp ímóti, vera áfastur við, marka til (t.d.his garden abuts on the road; the two lots abut each other)
abutment	stytta, skorða, stólpi; undirlag; endastólpi (til brúgv)abutment pier; abutment wallstuðulsveggur
abuzz	be abuzzsjóða, kóka (t.d.the city was abuzz with rumours)
abysmal	botnleysur, bládýpis- (t.d.precipice);skelkandi (t.d.ignorance; misery)
abyss	djúp gjógv; avgrund, djúp, dýpi;(fl.m.) an abyss of(t.d.ignorance, despair)
abyssal	djúphavs-
abyssal plain	(jarðfr.) djúphavsslætti
AC	(st.)alternating current skiftistreymursmb DC
ACA	(st.)Associate of the Institute of Chartered Accountants
A/C,a/c	(st.)A/C, a/c
acacia	(plfr.)mimosa(Acacia); false,common acacia (Robinia pseudoacacia)
academia	akademiski heimurin
academic1	akademikari;academics flt.akademiskt kjak
academic2	1akademiskur (t.d.the academic world; academic works; academic qualifications; academic freedom; academic year)2teoretiskur (t.d.a purely academic discussion)3bókligur; heimsfjarur (t.d.theories, thinkers)
academicals	universitetsbúni
academician	limur av vísindafelagel.akademii(serst. the Royal Academy);akademikari
academy	1akademi (t.d.academy of art, military academy); business academyhandilsháskúli;academy of musicmusikkkonservatorium;(am.) = high school2vísindafelag, listafelag
acadian flycatcher	(dý.)grønt driftivel(Empidonax virescens)
acalculia	(lækn.) talblindi
acanthus	(plfr.)akantus(Acanthus)
ACAS	(st.)Advisory Conciliation and Arbitration Service(semingsstovnur)
accede	1ganga við til, samtykkja (t.d.sby’s proposal);ganga einum á møti (t.d.a request)2gerast limur í (t.d.a party)3accede totaka við (t.d.an estate, an office); accede to the thronearva trónuna
accelerate	økja ferðina á, verða skjótari; vinda upp á seg, íðkast, akselerera
acceleration	(alisfr.) dik, ferðøking, akselerasjón; ferðøkingarevni
accelerator	(í bili) spidari, skyndil;(al.)díkjari, akselleratorur
accent1	1tónalag, máldámur (t.d.speak with a foreign accent; he has a pronounced German accent)2(ljóðl.)herðing (t.d.the accent is on the first syllable)3tónalag4(tlm.)áherðsla
accent2	taka fram; leggja dent á (t.d.a defenceprogramme which accents air power), leggja áherðslu á, hava herðing á (t.d.the firstsyllable)
accentuate	taka fram, draga fram
accentuation	áherðsla, dentur
accept	1taka við(el.ímóti); játta, siga ja til (t.d.an invitation);siga ja (t.d.he proposed to[fríggjaði til]her and she accepted him)2góðkenna (t.d.my article was accepted …);viðurkenna (t.d.a bill); góðtaka (t.d.accept the terms (, bargain, offer))3fáa undirtøku (t.d.his views were accepted)4lata sær lynda (t.d.they refused to accept the dangerous working conditions)5taka til eftirtektar (t.d.a committee report)6acceptedalment viðurkendur (t.d.the accepted custom)
acceptability	góðkenning, viðurkenning
acceptable	1nýtiligur, hóskiligur (t.d.will that date (, price)be acceptable to you?);toluligur (t.d.livingconditions)2kærkomin, vælkomin (t.d.the basket of fruitwas very acceptable; t.d.compliments arealways acceptable to ladies)
acceptance	1móttøka; játtan, siga ja til, takka fyri (t.d.of aninvitation; of the crown)2góðkenning,meet one’s acceptancefáa sína góðkenning; viðurkenning (t.d.his theory didnot meet acceptance)3(handilsm.)veksilgóðtøka(eis.um viðskiftabrøv annars: kekk, skuldarbrævosfr.);góðkendur veksil
acceptation	(viðurkend) merking (av einum orði) (t.d.the acceptation of the word);(t.d.ask his acceptation of the termsspyrja hvussu hann skilir(el.lesur)...
accepted	viðurkendur (t.d.truth, rule; the accepted meaning of the word); (handilsm.)í góðkendum standiduly accepted
acceptor	viðtøkumaður (ein ið tekur við, játtar ella viðurkennir)
access1	1atgongd (t.d.get (, give) access to; with access to the sea; students must have easy access to good books);vegur(totil) (t.d.the only access to his hut was across some fields)2innsigling (t.d.the access to the harbour)3herðindi (t.d.of a disease; of pessimism; of self-reproach)4vøkstur, øking (t.d.be given a new access of strengthfáa nýggja styrki;in an access of fearovurtikin av angist)5skjalainnlit;right of access (to files)6møguleiki til kynsliga samveru(løgfr., uml.)[samlega meðan kona gongur við barni];(løgfr.): have access to the childrenhava samverurætt7(teld.)atgongd (access timeatgongdartíð);random accessbeinleiðis atgongd8atgeingi, atgongdarrættur(t.d.hjá fólki at síggja og nýta skjøl hjá tí almenna)
access2	fáa atgongd til;easy access tolætt atkomiligur, lættur at koma á tal við
accessary	síaccessory
access code	(tlf.)altjóða koda, atgongumerki
accessibility	síaccessible
accessible	1tøkur, algongdur (t.d.a book accessible toall students; accessible to thenon-professional reader)2atkomiligur, gongdur (t.d.the lake is notaccessible by motor car (, rail))3ávirkiligur; sum tekur ímóti, sum letur seg ávirka (t.d.to flattery, to bribery); accessible totaka ímóti (t.d.reason)4sum gevur atgongd
accession	1tað at taka við (t.d.a convention, a treaty; an inheritance, an office[embæti];a proposale-m uppskoti)2vøkstur (t.d.the river receives copious accession of thaw water in June), øking3(smb. accede)viðtøka; yvirtøka (t.d.accession to power); after his accession to power (eis.)tá ið hann var komin til valdið; accessionto the thronetrónfylgja4atgongd5(løgfr.)tilvøkstur; undirtøka;instrument of accessionundirtøkuløgskjal
accessory1	1flt accessorieseykaútgerð, tilhoyr, fylgilutir, leysalutir (t.d.lamp, tool-bag and other bicycle accessories)2(løgfr.)samsekur (t.d.accessory after (, before) the factsamsekur eftir (, fyri) brotsverk)
accessory2	1undir-, eyka-, hjá-2(løgfr.)samsekur(toí)
access point	atgongustað, atgongupunkt
access server	atgonguambætari, atgonguvertur
access warning	atgonguávaring
accidence	(máll.)bendingalæra
